Dataset,aa,ea,er,jipa,lapsyd,phoible,ra,saphon,upsid
aa,0.6514084507042254,0.0,0.0,0.017605633802816902,0.08450704225352113,0.13732394366197184,0.0,0.0,0.10915492957746478
ea,0.0,0.4991243432574431,0.0,0.0840630472854641,0.13485113835376533,0.12259194395796848,0.05253940455341506,0.0,0.10683012259194395
er,0.0,0.0,0.8052256532066508,0.007125890736342043,0.10926365795724466,0.026128266033254157,0.0,0.0,0.052256532066508314
jipa,0.012690355329949238,0.1218274111675127,0.007614213197969543,0.36548223350253806,0.14213197969543148,0.2233502538071066,0.015228426395939087,0.015228426395939087,0.09644670050761421
lapsyd,0.01800450112528132,0.05776444111027757,0.0345086271567892,0.042010502625656414,0.43810952738184544,0.09077269317329333,0.018754688672168042,0.072768192048012,0.22730682670667668
phoible,0.030564263322884012,0.054858934169279,0.008620689655172414,0.06896551724137931,0.09482758620689655,0.6575235109717869,0.012539184952978056,0.02821316614420063,0.0438871473354232
ra,0.0,0.16042780748663102,0.0,0.03208556149732621,0.13368983957219252,0.0855614973262032,0.5080213903743316,0.0,0.08021390374331551
saphon,0.0,0.0,0.0,0.011385199240986717,0.1840607210626186,0.0683111954459203,0.0,0.6242884250474383,0.11195445920303605
upsid,0.02995169082125604,0.05893719806763285,0.021256038647342997,0.03671497584541063,0.2927536231884058,0.05410628019323672,0.014492753623188406,0.057004830917874394,0.43478260869565216
