Grapheme	Dataset	Absolute	Relative
iɤ	lapsyd	1	0.0001
nˠ	lapsyd	1	0.0001
ɤi	lapsyd	1	0.0001
kpʰ	lapsyd	1	0.0001
ɒ̃ː	lapsyd	1	0.0001
ʰq	lapsyd	1	0.0001
ʰkʷ	lapsyd	1	0.0001
ʰts	lapsyd	1	0.0001
oʊ	lapsyd	1	0.0001
ʊə	lapsyd	1	0.0001
ɛə	lapsyd	1	0.0001
aˤ	lapsyd	1	0.0001
ʃʲ	lapsyd	1	0.0001
dz̪ʲ	lapsyd	1	0.0001
ts̪ʲ	lapsyd	1	0.0001
dʒʲ	lapsyd	1	0.0001
tʃʲ	lapsyd	1	0.0001
ʋʲ	lapsyd	1	0.0001
ʃˠ	lapsyd	1	0.0001
ʒʲ	lapsyd	1	0.0001
ʒˠ	lapsyd	1	0.0001
ɟʱ	lapsyd	1	0.0001
ɹ̰	lapsyd	1	0.0001
aɨ	lapsyd	1	0.0001
uɨ	lapsyd	1	0.0001
oɨ	lapsyd	1	0.0001
θ̠	lapsyd	1	0.0001
əɨ	lapsyd	1	0.0001
ɨu	lapsyd	1	0.0001
aːɨ	lapsyd	1	0.0001
ⁿs	lapsyd	1	0.0001
ã̰ṵ̃	lapsyd	1	0.0001
l̪̥	lapsyd	1	0.0001
ã̰ḭ̃	lapsyd	1	0.0001
a̰ḭ	lapsyd	1	0.0001
a̰ṵ	lapsyd	1	0.0001
s̪ʼ	lapsyd	1	0.0001
ɓʲ	lapsyd	1	0.0001
ʀʲ	lapsyd	1	0.0001
aə	lapsyd	1	0.0001
œ̃	lapsyd	1	0.0001
ʈɻ̝̊	lapsyd	1	0.0001
œy	lapsyd	1	0.0001
ɵ̃	lapsyd	1	0.0001
θ̞	lapsyd	1	0.0001
ɸʼ	lapsyd	1	0.0001
ⁿbβ	lapsyd	1	0.0001
ɱ	lapsyd	1	0.0001
ⁿr	lapsyd	1	0.0001
χʼ	lapsyd	1	0.0001
χʼʷ	lapsyd	1	0.0001
d̪ⁿ	lapsyd	1	0.0001
ɟⁿ	lapsyd	1	0.0001
dˡ	lapsyd	1	0.0001
ɟˡ	lapsyd	1	0.0001
ɖⁿ	lapsyd	1	0.0001
ɖˡ	lapsyd	1	0.0001
dⁿ	lapsyd	1	0.0001
ɵː	lapsyd	1	0.0001
ⁿdʑ	lapsyd	1	0.0001
ø̆	lapsyd	1	0.0001
tʃː	lapsyd	1	0.0001
yø	lapsyd	1	0.0001
œː	lapsyd	1	0.0001
l̪ˤ	lapsyd	1	0.0001
kˤ	lapsyd	1	0.0001
tsʲ	lapsyd	1	0.0001
tsʲʰ	lapsyd	1	0.0001
ɯ̞	lapsyd	1	0.0001
βʷ	lapsyd	1	0.0001
eʊ	lapsyd	1	0.0001
xː	lapsyd	1	0.0001
fː	lapsyd	1	0.0001
ɬ̪ː	lapsyd	1	0.0001
χː	lapsyd	1	0.0001
ⁿs̪	lapsyd	1	0.0001
u̠ː	lapsyd	1	0.0001
g̰	lapsyd	1	0.0001
z̰	lapsyd	1	0.0001
ɖ̰	lapsyd	1	0.0001
g̰ʷ	lapsyd	1	0.0001
t̪̰	lapsyd	1	0.0001
s̪̰	lapsyd	1	0.0001
tʃ̰	lapsyd	1	0.0001
oʉ	lapsyd	1	0.0001
ɔa	lapsyd	1	0.0001
a	SAPHON	354	0.0392
t	SAPHON	353	0.0390
i	SAPHON	352	0.0389
k	SAPHON	350	0.0387
p	SAPHON	334	0.0369
n	SAPHON	321	0.0355
m	SAPHON	319	0.0353
j	SAPHON	291	0.0322
w	SAPHON	290	0.0321
ɾ	SAPHON	290	0.0321
u	SAPHON	286	0.0316
e	SAPHON	280	0.0310
o	SAPHON	267	0.0295
s	SAPHON	266	0.0294
h	SAPHON	255	0.0282
tʃ	SAPHON	215	0.0238
ɨ	SAPHON	200	0.0221
ʔ	SAPHON	172	0.0190
ʃ	SAPHON	162	0.0179
b	SAPHON	148	0.0164
ã	SAPHON	147	0.0163
ĩ	SAPHON	147	0.0163
ɲ	SAPHON	143	0.0158
d	SAPHON	136	0.0150
ũ	SAPHON	124	0.0137
ẽ	SAPHON	120	0.0133
ts	SAPHON	119	0.0132
l	SAPHON	117	0.0129
õ	SAPHON	116	0.0128
ɨ̃	SAPHON	98	0.0108
g	SAPHON	95	0.0105
aː	SAPHON	85	0.0094
iː	SAPHON	85	0.0094
ŋ	SAPHON	74	0.0082
kʷ	SAPHON	71	0.0079
eː	SAPHON	65	0.0072
oː	SAPHON	63	0.0070
x	SAPHON	58	0.0064
β	SAPHON	57	0.0063
ə	SAPHON	56	0.0062
uː	SAPHON	54	0.0060
tʰ	SAPHON	47	0.0052
dʒ	SAPHON	47	0.0052
kʰ	SAPHON	42	0.0046
ɛ	SAPHON	38	0.0042
ʎ	SAPHON	37	0.0041
ɸ	SAPHON	36	0.0040
pʰ	SAPHON	36	0.0040
ʂ	SAPHON	33	0.0037
ɔ	SAPHON	33	0.0037
ɯ	SAPHON	31	0.0034
q	SAPHON	30	0.0033
ɨː	SAPHON	29	0.0032
kʼ	SAPHON	25	0.0028
tʼ	SAPHON	25	0.0028
pʼ	SAPHON	23	0.0025
c	SAPHON	23	0.0025
ə̃	SAPHON	23	0.0025
ʈʂ	SAPHON	22	0.0024
tʲ	SAPHON	22	0.0024
z	SAPHON	21	0.0023
ʒ	SAPHON	18	0.0020
tʃʰ	SAPHON	18	0.0020
ɛ̃	SAPHON	18	0.0020
ɟ	SAPHON	17	0.0019
ɣ	SAPHON	16	0.0018
ĩː	SAPHON	16	0.0018
tʃʼ	SAPHON	16	0.0018
ɤ	SAPHON	16	0.0018
f	SAPHON	15	0.0017
ɯ̃	SAPHON	15	0.0017
ɔ̃	SAPHON	15	0.0017
dz	SAPHON	14	0.0015
r	SAPHON	14	0.0015
əː	SAPHON	14	0.0015
kʲ	SAPHON	13	0.0014
qʼ	SAPHON	13	0.0014
ⁿb	SAPHON	12	0.0013
ɬ	SAPHON	12	0.0013
ŋʷ	SAPHON	12	0.0013
tsʰ	SAPHON	11	0.0012
ɾʲ	SAPHON	11	0.0012
ⁿd	SAPHON	11	0.0012
æ	SAPHON	10	0.0011
ʐ	SAPHON	10	0.0011
ç	SAPHON	10	0.0011
dʲ	SAPHON	10	0.0011
ɗ	SAPHON	10	0.0011
gʷ	SAPHON	10	0.0011
ⁿg	SAPHON	10	0.0011
ẽː	SAPHON	9	0.0010
ʋ	SAPHON	9	0.0010
ɺ	SAPHON	9	0.0010
χ	SAPHON	9	0.0010
hʷ	SAPHON	9	0.0010
ɯː	SAPHON	8	0.0009
a̰	SAPHON	8	0.0009
ḭ	SAPHON	8	0.0009
ɓ	SAPHON	8	0.0009
tsʼ	SAPHON	8	0.0009
ãː	SAPHON	7	0.0008
ɽ	SAPHON	7	0.0008
ṵ	SAPHON	7	0.0008
qʰ	SAPHON	7	0.0008
ʌ	SAPHON	7	0.0008
ɪ	SAPHON	7	0.0008
ḛ	SAPHON	7	0.0008
ɰ	SAPHON	6	0.0007
õː	SAPHON	6	0.0007
v	SAPHON	6	0.0007
o̰	SAPHON	6	0.0007
cç	SAPHON	5	0.0006
mʲ	SAPHON	5	0.0006
pʲ	SAPHON	5	0.0006
ʊ	SAPHON	5	0.0006
j̰	SAPHON	5	0.0006
t̪	SAPHON	4	0.0004
θ	SAPHON	4	0.0004
m̥	SAPHON	4	0.0004
n̥	SAPHON	4	0.0004
ɲ̊	SAPHON	4	0.0004
ɤ̃	SAPHON	4	0.0004
ɢ	SAPHON	4	0.0004
ʁ	SAPHON	4	0.0004
ɑ	SAPHON	4	0.0004
æ̃	SAPHON	4	0.0004
ʉ	SAPHON	4	0.0004
w̰	SAPHON	4	0.0004
ʌ̃	SAPHON	4	0.0004
ð	SAPHON	4	0.0004
ə̃ː	SAPHON	4	0.0004
ã̰	SAPHON	4	0.0004
ḭ̃	SAPHON	4	0.0004
ʝ	SAPHON	4	0.0004
βʲ	SAPHON	3	0.0003
ɨi	SAPHON	3	0.0003
ɛː	SAPHON	3	0.0003
ɭ	SAPHON	3	0.0003
tʲʰ	SAPHON	3	0.0003
hʲ	SAPHON	3	0.0003
ɹ̪	SAPHON	3	0.0003
ũː	SAPHON	3	0.0003
mː	SAPHON	3	0.0003
nː	SAPHON	3	0.0003
b̰	SAPHON	3	0.0003
d̰	SAPHON	3	0.0003
ⁿdʒ	SAPHON	3	0.0003
ɘ	SAPHON	3	0.0003
xʷ	SAPHON	3	0.0003
ḛ̃	SAPHON	3	0.0003
ṵ̃	SAPHON	3	0.0003
cʼ	SAPHON	2	0.0002
ɨ̃ː	SAPHON	2	0.0002
ɻ	SAPHON	2	0.0002
ʰm	SAPHON	2	0.0002
ʱn	SAPHON	2	0.0002
ʱw	SAPHON	2	0.0002
ʱɾ	SAPHON	2	0.0002
ɖ	SAPHON	2	0.0002
ʀ	SAPHON	2	0.0002
nʲ	SAPHON	2	0.0002
ʈ	SAPHON	2	0.0002
ai	SAPHON	2	0.0002
ø	SAPHON	2	0.0002
m̰	SAPHON	2	0.0002
n̰	SAPHON	2	0.0002
y	SAPHON	2	0.0002
bː	SAPHON	2	0.0002
dː	SAPHON	2	0.0002
kː	SAPHON	2	0.0002
tː	SAPHON	2	0.0002
gː	SAPHON	2	0.0002
lː	SAPHON	2	0.0002
ʈʂʼ	SAPHON	2	0.0002
ʱd	SAPHON	2	0.0002
tʶ	SAPHON	2	0.0002
ɤː	SAPHON	2	0.0002
ⁿp	SAPHON	2	0.0002
tʷ	SAPHON	2	0.0002
lʲ	SAPHON	2	0.0002
xʲ	SAPHON	2	0.0002
fʷ	SAPHON	2	0.0002
æː	SAPHON	2	0.0002
g̰	SAPHON	2	0.0002
ɜ	SAPHON	2	0.0002
ⁿgʷ	SAPHON	2	0.0002
qʷ	SAPHON	2	0.0002
ɟ̰	SAPHON	2	0.0002
õ̰	SAPHON	2	0.0002
ɪ̃	SAPHON	2	0.0002
l̪	SAPHON	1	0.0001
n̪	SAPHON	1	0.0001
wʲ	SAPHON	1	0.0001
dʱ	SAPHON	1	0.0001
mʱ	SAPHON	1	0.0001
nʱ	SAPHON	1	0.0001
wʱ	SAPHON	1	0.0001
ɲʱ	SAPHON	1	0.0001
bʲ	SAPHON	1	0.0001
ɺ̥	SAPHON	1	0.0001
r̥	SAPHON	1	0.0001
h̃	SAPHON	1	0.0001
cʰ	SAPHON	1	0.0001
tʼʲ	SAPHON	1	0.0001
ʈʰ	SAPHON	1	0.0001
ʈʼ	SAPHON	1	0.0001
kʲʰ	SAPHON	1	0.0001
pʲʰ	SAPHON	1	0.0001
ʔʲ	SAPHON	1	0.0001
aiː	SAPHON	1	0.0001
ˀr	SAPHON	1	0.0001
tʳ	SAPHON	1	0.0001
ʏ	SAPHON	1	0.0001
kp	SAPHON	1	0.0001
kʷː	SAPHON	1	0.0001
pː	SAPHON	1	0.0001
w̃	SAPHON	1	0.0001
sʰ	SAPHON	1	0.0001
sʼ	SAPHON	1	0.0001
ɠ	SAPHON	1	0.0001
l̥	SAPHON	1	0.0001
jː	SAPHON	1	0.0001
wː	SAPHON	1	0.0001
ʕ	SAPHON	1	0.0001
ɑː	SAPHON	1	0.0001
ɒ	SAPHON	1	0.0001
ɒː	SAPHON	1	0.0001
ɒ̃	SAPHON	1	0.0001
ⁿt	SAPHON	1	0.0001
ⁿts	SAPHON	1	0.0001
ⁿtʃ	SAPHON	1	0.0001
ⁿk	SAPHON	1	0.0001
ⁿʈʂ	SAPHON	1	0.0001
bʷ	SAPHON	1	0.0001
mʷ	SAPHON	1	0.0001
pʷ	SAPHON	1	0.0001
ãi	SAPHON	1	0.0001
oi	SAPHON	1	0.0001
õi	SAPHON	1	0.0001
ɵ	SAPHON	1	0.0001
ɵː	SAPHON	1	0.0001
ⁿbʲ	SAPHON	1	0.0001
ⁿdz	SAPHON	1	0.0001
ⁿdzʲ	SAPHON	1	0.0001
ⁿdʲ	SAPHON	1	0.0001
sʲ	SAPHON	1	0.0001
tsʲ	SAPHON	1	0.0001
tsʲʰ	SAPHON	1	0.0001
ɸʲ	SAPHON	1	0.0001
a̤	SAPHON	1	0.0001
e̤	SAPHON	1	0.0001
i̤	SAPHON	1	0.0001
ṳ	SAPHON	1	0.0001
ɯ̰	SAPHON	1	0.0001
ɨ̰	SAPHON	1	0.0001
t̪ʼ	SAPHON	1	0.0001
æ̃ː	SAPHON	1	0.0001
bˢ	SAPHON	1	0.0001
pˢ	SAPHON	1	0.0001
ɨ̘	SAPHON	1	0.0001
ɔː	SAPHON	1	0.0001
ɔ̃ː	SAPHON	1	0.0001
ɛ̃ː	SAPHON	1	0.0001
ɯ̃ː	SAPHON	1	0.0001
ʌː	SAPHON	1	0.0001
ʌ̃ː	SAPHON	1	0.0001
ŋ̊	SAPHON	1	0.0001
ɐ̃	SAPHON	1	0.0001
kˡ	SAPHON	1	0.0001
kʼʲ	SAPHON	1	0.0001
ɲ̰	SAPHON	1	0.0001
cˀ	SAPHON	1	0.0001
kˀ	SAPHON	1	0.0001
β̞	SAPHON	1	0.0001
bβ	SAPHON	1	0.0001
ɖʐ	SAPHON	1	0.0001
ʊː	SAPHON	1	0.0001
kʼʷ	SAPHON	1	0.0001
ɓ̥	SAPHON	1	0.0001
ɗ̥	SAPHON	1	0.0001
ⁿɖʐ	SAPHON	1	0.0001
ɟʝ	SAPHON	1	0.0001
ɣʷ	SAPHON	1	0.0001
ə̰	SAPHON	1	0.0001
ə̰̃	SAPHON	1	0.0001
j̃	SAPHON	1	0.0001
ʰc	SAPHON	1	0.0001
ʰk	SAPHON	1	0.0001
ʰkʷ	SAPHON	1	0.0001
ʰt	SAPHON	1	0.0001
ʱb	SAPHON	1	0.0001
ʱj	SAPHON	1	0.0001
ʱɟ	SAPHON	1	0.0001
œ	SAPHON	1	0.0001
ʉ̃	SAPHON	1	0.0001
ɾ̃	SAPHON	1	0.0001
s̪	SAPHON	1	0.0001
ʈʂʰ	SAPHON	1	0.0001
χʷ	SAPHON	1	0.0001
ɲː	SAPHON	1	0.0001
ɹ	SAPHON	1	0.0001
ɪː	SAPHON	1	0.0001
m	UPSID	424	0.0304
k	UPSID	402	0.0289
i	UPSID	392	0.0281
a	UPSID	391	0.0281
j	UPSID	377	0.0271
p	UPSID	374	0.0268
u	UPSID	368	0.0264
n	UPSID	361	0.0259
t	UPSID	332	0.0238
w	UPSID	331	0.0238
s	UPSID	330	0.0237
l	UPSID	309	0.0222
b	UPSID	287	0.0206
h	UPSID	279	0.0200
g	UPSID	253	0.0182
ŋ	UPSID	237	0.0170
ʔ	UPSID	215	0.0154
d	UPSID	211	0.0151
r	UPSID	192	0.0138
tʃ	UPSID	187	0.0134
ʃ	UPSID	186	0.0134
ɛ	UPSID	186	0.0134
o̞	UPSID	180	0.0129
f	UPSID	179	0.0128
e̞	UPSID	168	0.0121
ɔ	UPSID	162	0.0116
ɲ	UPSID	141	0.0101
o	UPSID	131	0.0094
e	UPSID	124	0.0089
ɾ	UPSID	124	0.0089
dʒ	UPSID	113	0.0081
t̪	UPSID	106	0.0076
ts	UPSID	106	0.0076
z	UPSID	105	0.0075
kʰ	UPSID	103	0.0074
pʰ	UPSID	101	0.0073
v	UPSID	95	0.0068
x	UPSID	93	0.0067
tʰ	UPSID	83	0.0060
n̪	UPSID	83	0.0060
ã	UPSID	83	0.0060
ĩ	UPSID	82	0.0059
d̪	UPSID	80	0.0057
ə	UPSID	76	0.0055
ɪ	UPSID	74	0.0053
ũ	UPSID	74	0.0053
ʊ	UPSID	66	0.0047
kʼ	UPSID	63	0.0045
ʒ	UPSID	61	0.0044
ɨ	UPSID	61	0.0044
kʷ	UPSID	60	0.0043
ɣ	UPSID	55	0.0039
c	UPSID	54	0.0039
β	UPSID	54	0.0039
q	UPSID	52	0.0037
tʃʰ	UPSID	51	0.0037
ɓ	UPSID	49	0.0035
tʼ	UPSID	48	0.0034
ⁿb	UPSID	48	0.0034
ɬ	UPSID	46	0.0033
n̠	UPSID	45	0.0032
ⁿg	UPSID	45	0.0032
χ	UPSID	44	0.0032
dz	UPSID	44	0.0032
tʃʼ	UPSID	44	0.0032
pʼ	UPSID	44	0.0032
ɟ	UPSID	43	0.0031
tsʼ	UPSID	43	0.0031
ⁿd	UPSID	43	0.0031
tsʰ	UPSID	42	0.0030
s̪	UPSID	42	0.0030
ɯ	UPSID	41	0.0029
ɗ	UPSID	40	0.0029
iː	UPSID	40	0.0029
gb	UPSID	39	0.0028
æ	UPSID	39	0.0028
ɸ	UPSID	39	0.0028
uː	UPSID	36	0.0026
kp	UPSID	35	0.0025
ɛ̃	UPSID	35	0.0025
õ̞	UPSID	35	0.0025
aː	UPSID	34	0.0024
l̪	UPSID	34	0.0024
ʈ	UPSID	34	0.0024
ẽ̞	UPSID	33	0.0024
ɔ̃	UPSID	32	0.0023
t̪ʰ	UPSID	30	0.0022
ɭ	UPSID	27	0.0019
õ	UPSID	27	0.0019
ɖ	UPSID	27	0.0019
a̟	UPSID	26	0.0019
qʼ	UPSID	26	0.0019
xʷ	UPSID	25	0.0018
ɑ	UPSID	24	0.0017
ɳ	UPSID	24	0.0017
y	UPSID	24	0.0017
gʷ	UPSID	24	0.0017
oː	UPSID	24	0.0017
kʼʷ	UPSID	23	0.0017
ʂ	UPSID	23	0.0017
ʁ	UPSID	22	0.0016
ð	UPSID	22	0.0016
kʷʰ	UPSID	21	0.0015
eː	UPSID	21	0.0015
t̠	UPSID	20	0.0014
tɬʼ	UPSID	20	0.0014
ʎ	UPSID	20	0.0014
ɘ	UPSID	20	0.0014
ai	UPSID	19	0.0014
ɒ	UPSID	19	0.0014
ħ	UPSID	19	0.0014
β̞	UPSID	19	0.0014
au	UPSID	18	0.0013
θ	UPSID	18	0.0013
ẽ	UPSID	18	0.0013
ɻ	UPSID	17	0.0012
qʰ	UPSID	17	0.0012
m̥	UPSID	17	0.0012
z̪	UPSID	17	0.0012
ŋʷ	UPSID	17	0.0012
cʰ	UPSID	17	0.0012
j̰	UPSID	17	0.0012
w̰	UPSID	17	0.0012
t̪ʼ	UPSID	16	0.0011
ʈʂ	UPSID	16	0.0011
ts̪	UPSID	16	0.0011
ɦ	UPSID	16	0.0011
ʍ	UPSID	15	0.0011
ɜ	UPSID	15	0.0011
b̰	UPSID	15	0.0011
ɢ	UPSID	14	0.0010
ɐ	UPSID	14	0.0010
ɽ	UPSID	14	0.0010
χʷ	UPSID	14	0.0010
tʲ	UPSID	14	0.0010
ɛː	UPSID	14	0.0010
m̰	UPSID	14	0.0010
n̥	UPSID	13	0.0009
ɹ	UPSID	13	0.0009
pʲ	UPSID	13	0.0009
kʲ	UPSID	13	0.0009
ɤ	UPSID	12	0.0009
ɰ	UPSID	12	0.0009
o̞ː	UPSID	12	0.0009
l̠	UPSID	12	0.0009
ʝ	UPSID	12	0.0009
ɺ	UPSID	12	0.0009
cç	UPSID	12	0.0009
ə̃	UPSID	12	0.0009
qʷ	UPSID	12	0.0009
ø	UPSID	12	0.0009
l̥	UPSID	12	0.0009
l̰	UPSID	12	0.0009
n̰	UPSID	12	0.0009
ɮ	UPSID	11	0.0008
ɨ̃	UPSID	11	0.0008
qʼʷ	UPSID	11	0.0008
ç	UPSID	11	0.0008
tɬ	UPSID	11	0.0008
e̞ː	UPSID	11	0.0008
ʌ	UPSID	10	0.0007
ɪ̃	UPSID	10	0.0007
lʲ	UPSID	10	0.0007
mʲ	UPSID	10	0.0007
æ̃	UPSID	10	0.0007
ʄ	UPSID	10	0.0007
r̪	UPSID	10	0.0007
ʕ	UPSID	10	0.0007
dz̪	UPSID	10	0.0007
ⁿdʒ	UPSID	10	0.0007
gʱ	UPSID	10	0.0007
ʈʰ	UPSID	10	0.0007
d̰	UPSID	10	0.0007
ⁿgʷ	UPSID	10	0.0007
cʼ	UPSID	9	0.0006
j̊	UPSID	9	0.0006
ʊ̃	UPSID	9	0.0006
ŋ̊	UPSID	9	0.0006
ʈʂʰ	UPSID	9	0.0006
ʐ	UPSID	9	0.0006
bʱ	UPSID	9	0.0006
ɕ	UPSID	9	0.0006
sʲ	UPSID	9	0.0006
dɮ	UPSID	8	0.0006
ɟʝ	UPSID	8	0.0006
bʲ	UPSID	8	0.0006
æː	UPSID	8	0.0006
ɤ̞	UPSID	8	0.0006
ts̪ʰ	UPSID	8	0.0006
ɑː	UPSID	8	0.0006
nʲ	UPSID	8	0.0006
œ	UPSID	8	0.0006
ĩː	UPSID	8	0.0006
ɔː	UPSID	8	0.0006
ɺ̠	UPSID	8	0.0006
ɲ̊	UPSID	8	0.0006
ui	UPSID	8	0.0006
sʼ	UPSID	8	0.0006
ŋm	UPSID	7	0.0005
lˠ	UPSID	7	0.0005
ɯ̃	UPSID	7	0.0005
dʒʱ	UPSID	7	0.0005
ʑ	UPSID	7	0.0005
tɕ	UPSID	7	0.0005
gʲ	UPSID	7	0.0005
ãː	UPSID	7	0.0005
ũː	UPSID	7	0.0005
e̞i	UPSID	7	0.0005
dʲ	UPSID	7	0.0005
tɬʰ	UPSID	6	0.0004
ɥ	UPSID	6	0.0004
ɔi	UPSID	6	0.0004
ɑ̃	UPSID	6	0.0004
ⁿɟ	UPSID	6	0.0004
ts̪ʼ	UPSID	6	0.0004
ⁿp	UPSID	6	0.0004
ⁿk	UPSID	6	0.0004
ɖʱ	UPSID	6	0.0004
d̠	UPSID	6	0.0004
ɣʷ	UPSID	6	0.0004
ⁿd̪	UPSID	6	0.0004
o̞i	UPSID	6	0.0004
ie̞	UPSID	6	0.0004
ⁿgb	UPSID	6	0.0004
ʉ	UPSID	6	0.0004
ʋ	UPSID	6	0.0004
ɯ̞	UPSID	5	0.0004
ɠ	UPSID	5	0.0004
hʷ	UPSID	5	0.0004
ã̟	UPSID	5	0.0004
sː	UPSID	5	0.0004
ɢʷ	UPSID	5	0.0004
ⁿt	UPSID	5	0.0004
d̪ʱ	UPSID	5	0.0004
rʲ	UPSID	5	0.0004
a̤	UPSID	5	0.0004
e̤	UPSID	5	0.0004
i̤	UPSID	5	0.0004
o̤	UPSID	5	0.0004
ṳ	UPSID	5	0.0004
vʲ	UPSID	5	0.0004
uə	UPSID	5	0.0004
ǀ͓	UPSID	5	0.0004
ⁿdz	UPSID	5	0.0004
ŋǀ͓	UPSID	5	0.0004
o̞u	UPSID	5	0.0004
a̟ː	UPSID	5	0.0004
mʷ	UPSID	5	0.0004
kˀ	UPSID	5	0.0004
ɵ̞	UPSID	5	0.0004
ia	UPSID	5	0.0004
ə̆	UPSID	4	0.0003
ⁿd̠	UPSID	4	0.0003
e̞ˤ	UPSID	4	0.0003
qχ	UPSID	4	0.0003
ʁʷ	UPSID	4	0.0003
χː	UPSID	4	0.0003
ɻ̝	UPSID	4	0.0003
xː	UPSID	4	0.0003
ʏ	UPSID	4	0.0003
ʀ	UPSID	4	0.0003
ɵ	UPSID	4	0.0003
ɨ̞	UPSID	4	0.0003
ao̞	UPSID	4	0.0003
ɔ̤	UPSID	4	0.0003
ɛ̤	UPSID	4	0.0003
ɖʐ	UPSID	4	0.0003
r̥	UPSID	4	0.0003
iə	UPSID	4	0.0003
əu	UPSID	4	0.0003
yː	UPSID	4	0.0003
a̰	UPSID	4	0.0003
ḭ	UPSID	4	0.0003
ⁿv	UPSID	4	0.0003
ŋʲ	UPSID	4	0.0003
õː	UPSID	4	0.0003
qʷʰ	UPSID	4	0.0003
mʱ	UPSID	4	0.0003
ǁ͓	UPSID	4	0.0003
ǃ̠	UPSID	4	0.0003
dʱ	UPSID	4	0.0003
pʷ	UPSID	4	0.0003
pˀ	UPSID	4	0.0003
ɛ̃ː	UPSID	4	0.0003
ʃʼ	UPSID	4	0.0003
uo	UPSID	4	0.0003
r̰	UPSID	4	0.0003
bv	UPSID	3	0.0002
sʷ	UPSID	3	0.0002
ɒ̃	UPSID	3	0.0002
ɨː	UPSID	3	0.0002
kː	UPSID	3	0.0002
pː	UPSID	3	0.0002
tʃʷʰ	UPSID	3	0.0002
tʃʼʷ	UPSID	3	0.0002
tsʷʰ	UPSID	3	0.0002
tsʼʷ	UPSID	3	0.0002
tː	UPSID	3	0.0002
ʃʷ	UPSID	3	0.0002
ʃː	UPSID	3	0.0002
aˤ	UPSID	3	0.0002
o̞ˤ	UPSID	3	0.0002
tsː	UPSID	3	0.0002
ʕ̝	UPSID	3	0.0002
ⁿtʃ	UPSID	3	0.0002
pf	UPSID	3	0.0002
ɛi	UPSID	3	0.0002
ɤ̤	UPSID	3	0.0002
ɯ̤	UPSID	3	0.0002
fʲ	UPSID	3	0.0002
l̪ˠ	UPSID	3	0.0002
ð̠	UPSID	3	0.0002
ə˞	UPSID	3	0.0002
pʲʰ	UPSID	3	0.0002
tɕʰ	UPSID	3	0.0002
ⁿt̪	UPSID	3	0.0002
aɯ	UPSID	3	0.0002
i̥	UPSID	3	0.0002
u̥	UPSID	3	0.0002
ɔ̰	UPSID	3	0.0002
ɛ̰	UPSID	3	0.0002
e̞u	UPSID	3	0.0002
ă	UPSID	3	0.0002
kʲʰ	UPSID	3	0.0002
kʼʲ	UPSID	3	0.0002
sˀ	UPSID	3	0.0002
ŋ̰	UPSID	3	0.0002
lʱ	UPSID	3	0.0002
ɜ̃	UPSID	3	0.0002
ǀʰ͓	UPSID	3	0.0002
ǁʰ͓	UPSID	3	0.0002
ŋǁ͓	UPSID	3	0.0002
ŋǃ̠	UPSID	3	0.0002
ⁿǀˀ͓	UPSID	3	0.0002
ʈʂʼ	UPSID	3	0.0002
ʃʲ	UPSID	3	0.0002
ae̞	UPSID	3	0.0002
ua	UPSID	3	0.0002
e̞o̞	UPSID	3	0.0002
sʰ	UPSID	3	0.0002
dzʱ	UPSID	3	0.0002
mː	UPSID	3	0.0002
tsʲ	UPSID	3	0.0002
ɲ̰	UPSID	3	0.0002
ⁿʒ	UPSID	3	0.0002
ṵ	UPSID	3	0.0002
nː	UPSID	3	0.0002
tθʼ	UPSID	2	0.0001
tʃʲʰ	UPSID	2	0.0001
ɔˤ	UPSID	2	0.0001
ɪˤ	UPSID	2	0.0001
ʊˤ	UPSID	2	0.0001
kʷː	UPSID	2	0.0001
qχʷ	UPSID	2	0.0001
qχʼː	UPSID	2	0.0001
tʃʼː	UPSID	2	0.0001
tsʼː	UPSID	2	0.0001
ɬː	UPSID	2	0.0001
ʁʷˤ	UPSID	2	0.0001
ʁˤ	UPSID	2	0.0001
ʃʷː	UPSID	2	0.0001
χʷː	UPSID	2	0.0001
χʷˤ	UPSID	2	0.0001
χˤ	UPSID	2	0.0001
iˤ	UPSID	2	0.0001
uˤ	UPSID	2	0.0001
d̪ˤ	UPSID	2	0.0001
t̪ˤ	UPSID	2	0.0001
z̪ˤ	UPSID	2	0.0001
tʃː	UPSID	2	0.0001
ɤ̟	UPSID	2	0.0001
ɿ	UPSID	2	0.0001
d̪ʲ	UPSID	2	0.0001
l̪ʲ	UPSID	2	0.0001
s̪ʲ	UPSID	2	0.0001
t̪ʲ	UPSID	2	0.0001
z̪ʲ	UPSID	2	0.0001
ɯə	UPSID	2	0.0001
ɘ̃	UPSID	2	0.0001
kxʰ	UPSID	2	0.0001
tθ	UPSID	2	0.0001
n̠̥	UPSID	2	0.0001
ɔ̆	UPSID	2	0.0001
ⁿdʲ	UPSID	2	0.0001
ɬʲ	UPSID	2	0.0001
j̃	UPSID	2	0.0001
w̃	UPSID	2	0.0001
ⁿpʰ	UPSID	2	0.0001
ⁿt̪ʰ	UPSID	2	0.0001
n̪̥	UPSID	2	0.0001
ɤ̞̃	UPSID	2	0.0001
øː	UPSID	2	0.0001
ḛ	UPSID	2	0.0001
o̰	UPSID	2	0.0001
ŋ̥ʷ	UPSID	2	0.0001
ɑ̃ː	UPSID	2	0.0001
aɨ	UPSID	2	0.0001
ĭ	UPSID	2	0.0001
