Grapheme	Dataset	Absolute	Relative
ĩː	lapsyd	24	0.0013
j̰	lapsyd	23	0.0013
ãː	lapsyd	23	0.0013
m̰	lapsyd	22	0.0012
æː	lapsyd	22	0.0012
θ	lapsyd	22	0.0012
ɨː	lapsyd	21	0.0011
ts̪	lapsyd	21	0.0011
ɒ	lapsyd	21	0.0011
n̰	lapsyd	21	0.0011
m̥	lapsyd	21	0.0011
ʍ	lapsyd	20	0.0011
tʲ	lapsyd	20	0.0011
z̪	lapsyd	19	0.0010
ɤ	lapsyd	19	0.0010
ʊː	lapsyd	19	0.0010
ⁿgʷ	lapsyd	19	0.0010
tɕ	lapsyd	19	0.0010
ŋʷ	lapsyd	18	0.0010
ɪː	lapsyd	18	0.0010
ɰ	lapsyd	18	0.0010
əː	lapsyd	18	0.0010
ʋ	lapsyd	18	0.0010
ʄ	lapsyd	17	0.0009
ʈʰ	lapsyd	17	0.0009
n̥	lapsyd	16	0.0009
ç	lapsyd	16	0.0009
mʷ	lapsyd	16	0.0009
ħ	lapsyd	16	0.0009
kʲ	lapsyd	16	0.0009
õː	lapsyd	16	0.0009
ẽː	lapsyd	16	0.0009
ũː	lapsyd	16	0.0009
ⁿdʒ	lapsyd	16	0.0009
ɯː	lapsyd	15	0.0008
ɑː	lapsyd	15	0.0008
ⁿd̪	lapsyd	15	0.0008
qʰ	lapsyd	15	0.0008
ɕ	lapsyd	15	0.0008
ə̃	lapsyd	15	0.0008
ⁿɟ	lapsyd	14	0.0008
tɬʼ	lapsyd	14	0.0008
ʈʂ	lapsyd	14	0.0008
gʱ	lapsyd	14	0.0008
bʱ	lapsyd	14	0.0008
pʲ	lapsyd	13	0.0007
qʷ	lapsyd	13	0.0007
l̥	lapsyd	13	0.0007
tɬ	lapsyd	13	0.0007
a̟	lapsyd	13	0.0007
ei	lapsyd	13	0.0007
æ̃	lapsyd	13	0.0007
nʲ	lapsyd	13	0.0007
ɦ	lapsyd	12	0.0007
øː	lapsyd	12	0.0007
ŋ̊	lapsyd	12	0.0007
pʷ	lapsyd	12	0.0007
œ	lapsyd	12	0.0007
oi	lapsyd	12	0.0007
ʐ	lapsyd	11	0.0006
mʲ	lapsyd	11	0.0006
r̪	lapsyd	11	0.0006
yː	lapsyd	11	0.0006
j̊	lapsyd	11	0.0006
l̰	lapsyd	11	0.0006
hʷ	lapsyd	11	0.0006
ou	lapsyd	11	0.0006
d̪ʱ	lapsyd	11	0.0006
ⁿgb	lapsyd	11	0.0006
ʕ	lapsyd	11	0.0006
ʉ	lapsyd	11	0.0006
l̠	lapsyd	11	0.0006
ɜ	lapsyd	10	0.0005
ɖʱ	lapsyd	10	0.0005
ɠ	lapsyd	10	0.0005
lʲ	lapsyd	10	0.0005
ɯ̃	lapsyd	10	0.0005
χʷ	lapsyd	9	0.0005
ia	lapsyd	9	0.0005
kʷʰ	lapsyd	9	0.0005
a̰	lapsyd	9	0.0005
ɲ̊	lapsyd	9	0.0005
ɢ	lapsyd	9	0.0005
cʰ	lapsyd	9	0.0005
gʲ	lapsyd	9	0.0005
ɔ̃ː	lapsyd	9	0.0005
ɣʷ	lapsyd	9	0.0005
qʼʷ	lapsyd	9	0.0005
dʑ	lapsyd	9	0.0005
dʲ	lapsyd	9	0.0005
ɵ	lapsyd	8	0.0004
bʲ	lapsyd	8	0.0004
zˤ	lapsyd	8	0.0004
sˤ	lapsyd	8	0.0004
ḭ	lapsyd	8	0.0004
ts̪ʰ	lapsyd	8	0.0004
ʝ	lapsyd	8	0.0004
ui	lapsyd	8	0.0004
dˤ	lapsyd	7	0.0004
o̰	lapsyd	7	0.0004
ie	lapsyd	7	0.0004
dʒʱ	lapsyd	7	0.0004
ɑ̃	lapsyd	7	0.0004
sʼ	lapsyd	7	0.0004
ⁿv	lapsyd	7	0.0004
bʷ	lapsyd	7	0.0004
ʌ	lapsyd	7	0.0004
ɬ̪	lapsyd	7	0.0004
ɪ̃	lapsyd	7	0.0004
ae	lapsyd	7	0.0004
ⁿp	lapsyd	7	0.0004
ⁿk	lapsyd	7	0.0004
ɮ	lapsyd	7	0.0004
tˤ	lapsyd	6	0.0003
ṵ	lapsyd	6	0.0003
ḛ	lapsyd	6	0.0003
ʈʂʰ	lapsyd	6	0.0003
ɾ̪	lapsyd	6	0.0003
kʼʲ	lapsyd	6	0.0003
ʏ	lapsyd	6	0.0003
ua	lapsyd	6	0.0003
ʊ̃	lapsyd	6	0.0003
ɛi	lapsyd	6	0.0003
ɛ̃ː	lapsyd	6	0.0003
tɕʰ	lapsyd	6	0.0003
t̪ʲ	lapsyd	6	0.0003
d̠	lapsyd	6	0.0003
ɾˤ	lapsyd	5	0.0003
lˤ	lapsyd	5	0.0003
iə	lapsyd	5	0.0003
ã̰	lapsyd	5	0.0003
ɲ̰	lapsyd	5	0.0003
uə	lapsyd	5	0.0003
ḭ̃	lapsyd	5	0.0003
uo	lapsyd	5	0.0003
ⁿbʷ	lapsyd	5	0.0003
ʑ	lapsyd	5	0.0003
ts̪ʼ	lapsyd	5	0.0003
fʷ	lapsyd	5	0.0003
cʼ	lapsyd	5	0.0003
n̪̥	lapsyd	5	0.0003
ⁿz	lapsyd	5	0.0003
ɨ̃ː	lapsyd	5	0.0003
ʈʂʼ	lapsyd	5	0.0003
ⁿt	lapsyd	5	0.0003
ŋm	lapsyd	5	0.0003
aɪ	lapsyd	5	0.0003
aʊ	lapsyd	5	0.0003
ao	lapsyd	5	0.0003
ʁʷ	lapsyd	4	0.0002
dz̪	lapsyd	4	0.0002
ḛ̃	lapsyd	4	0.0002
dɮ	lapsyd	4	0.0002
dʱ	lapsyd	4	0.0002
oa	lapsyd	4	0.0002
ɾ̥	lapsyd	4	0.0002
ɛu	lapsyd	4	0.0002
ɔi	lapsyd	4	0.0002
j̃	lapsyd	4	0.0002
ɒ̃	lapsyd	4	0.0002
l̪ˠ	lapsyd	4	0.0002
vʲ	lapsyd	4	0.0002
mʱ	lapsyd	4	0.0002
kʲʰ	lapsyd	4	0.0002
d̪ʲ	lapsyd	4	0.0002
ʌ̃	lapsyd	4	0.0002
lˠ	lapsyd	4	0.0002
xʲ	lapsyd	4	0.0002
ãĩ	lapsyd	4	0.0002
ⁿɖ	lapsyd	4	0.0002
eu	lapsyd	4	0.0002
ⁿt̪	lapsyd	4	0.0002
tʲʰ	lapsyd	4	0.0002
ɺ̣	lapsyd	4	0.0002
tɬʰ	lapsyd	4	0.0002
ʜ	lapsyd	3	0.0002
r̥	lapsyd	3	0.0002
nː	lapsyd	3	0.0002
tɕʲ	lapsyd	3	0.0002
ea	lapsyd	3	0.0002
ɒː	lapsyd	3	0.0002
ʡ	lapsyd	3	0.0002
tʼʷ	lapsyd	3	0.0002
ɤ̃	lapsyd	3	0.0002
ʔʲ	lapsyd	3	0.0002
a̟ː	lapsyd	3	0.0002
ʉ̃	lapsyd	3	0.0002
fʲ	lapsyd	3	0.0002
ɐ̃	lapsyd	3	0.0002
dzʱ	lapsyd	3	0.0002
nʱ	lapsyd	3	0.0002
lʱ	lapsyd	3	0.0002
ã̟	lapsyd	3	0.0002
pʲʰ	lapsyd	3	0.0002
t̪ʲʰ	lapsyd	3	0.0002
ɜ̃	lapsyd	3	0.0002
ə̃ː	lapsyd	3	0.0002
rʲ	lapsyd	3	0.0002
ɾ̰	lapsyd	3	0.0002
n̪̰	lapsyd	3	0.0002
ɬʼ	lapsyd	3	0.0002
ʃʼ	lapsyd	3	0.0002
ɯ̃ː	lapsyd	3	0.0002
βʲ	lapsyd	3	0.0002
æ̃ː	lapsyd	3	0.0002
ɳ̊	lapsyd	3	0.0002
ɔu	lapsyd	3	0.0002
k̰	lapsyd	3	0.0002
iu	lapsyd	3	0.0002
õ̰	lapsyd	3	0.0002
pf	lapsyd	3	0.0002
bv	lapsyd	3	0.0002
ʀ	lapsyd	3	0.0002
l̪̰	lapsyd	3	0.0002
ãũ	lapsyd	3	0.0002
ⁿdz	lapsyd	3	0.0002
əu	lapsyd	3	0.0002
xʼ	lapsyd	3	0.0002
ʟ	lapsyd	3	0.0002
ɲː	lapsyd	3	0.0002
n̪ʲ	lapsyd	3	0.0002
l̪ʲ	lapsyd	3	0.0002
mˤ	lapsyd	2	0.0001
r̰	lapsyd	2	0.0001
ɛ̰	lapsyd	2	0.0001
io	lapsyd	2	0.0001
ɛ̰̃	lapsyd	2	0.0001
ŋ̰	lapsyd	2	0.0001
mː	lapsyd	2	0.0001
ḭː	lapsyd	2	0.0001
a̰ː	lapsyd	2	0.0001
ṵː	lapsyd	2	0.0001
ɑu	lapsyd	2	0.0001
ɥ	lapsyd	2	0.0001
tɕʲʰ	lapsyd	2	0.0001
ɨə	lapsyd	2	0.0001
ɸ̞	lapsyd	2	0.0001
ᶑ	lapsyd	2	0.0001
tʷ	lapsyd	2	0.0001
nʷ	lapsyd	2	0.0001
cç	lapsyd	2	0.0001
rˤ	lapsyd	2	0.0001
w̃	lapsyd	2	0.0001
n̠ʲ	lapsyd	2	0.0001
t̠ʲ	lapsyd	2	0.0001
tsʼʷ	lapsyd	2	0.0001
tsʷ	lapsyd	2	0.0001
wʲ	lapsyd	2	0.0001
ɢʷ	lapsyd	2	0.0001
øy	lapsyd	2	0.0001
ʉː	lapsyd	2	0.0001
ɤː	lapsyd	2	0.0001
ɐː	lapsyd	2	0.0001
ɮ̪	lapsyd	2	0.0001
ⁿt̠	lapsyd	2	0.0001
ⁿʈ	lapsyd	2	0.0001
ɑ̃ː	lapsyd	2	0.0001
ɭ̊	lapsyd	2	0.0001
m̥ʷ	lapsyd	2	0.0001
ŋǀ	lapsyd	2	0.0001
ǃ	lapsyd	2	0.0001
ǀ	lapsyd	2	0.0001
ǁ	lapsyd	2	0.0001
ŋǃ	lapsyd	2	0.0001
ŋǁ	lapsyd	2	0.0001
n̪ʱ	lapsyd	2	0.0001
ⁿtʃ	lapsyd	2	0.0001
ts̰	lapsyd	2	0.0001
ɦ̃	lapsyd	2	0.0001
ⁿdʲ	lapsyd	2	0.0001
ⁿʒ	lapsyd	2	0.0001
i̝	lapsyd	2	0.0001
u̝	lapsyd	2	0.0001
vʷ	lapsyd	2	0.0001
ɔɪ	lapsyd	2	0.0001
d̪ˤ	lapsyd	2	0.0001
t̪ˤ	lapsyd	2	0.0001
hʲ	lapsyd	2	0.0001
ʔʷ	lapsyd	2	0.0001
p̰	lapsyd	2	0.0001
a̤	lapsyd	2	0.0001
i̤	lapsyd	2	0.0001
ṳ	lapsyd	2	0.0001
aʉ	lapsyd	2	0.0001
b̰	lapsyd	2	0.0001
sʰ	lapsyd	2	0.0001
əi	lapsyd	2	0.0001
ʰp	lapsyd	2	0.0001
