Dataset_A	Dataset_B	Glottocodes	Inventories A	Inventories B	Mean size A	Mean size B	Average_Intersection_Ratio
aa	ALL	185	388	598	37.0515	36.8194	0.9273
aa	ea	0	0	0			
aa	er	0	0	0			
aa	jipa	5	12	10	36.5	40.6	0.7115
aa	lapsyd	24	54	48	33.7037	35.2083	0.7099
aa	ra	0	0	0			
aa	saphon	0	0	0			
aa	upsid	31	68	62	35.0588	33.8387	0.6233
ea	ALL	285	724	1326	42.5304	41.3152	0.831
ea	er	0	0	0			
ea	jipa	48	108	100	41.8519	45.48	0.5574
ea	ra	30	62	62	42.1613	44.2581	0.4603
er	ALL	339	782	946	24.0384	24.0888	0.9487
er	jipa	3	8	6	28.5	33.6667	0.6333
jipa	ALL	144	294	840	41.6259	39.5714	0.8152
lapsyd	ALL	584	1168	2798	31.2877	31.9857	0.8203
lapsyd	ea	77	154	190	37.2078	40.8	0.4999
lapsyd	er	46	92	122	24.413	22.4426	0.5039
lapsyd	jipa	56	112	114	34.8571	40.3158	0.6397
lapsyd	ra	25	50	52	39.52	42.7308	0.4603
lapsyd	saphon	97	194	214	27.5979	26.5981	0.6429
lapsyd	upsid	303	606	606	31.1782	29.0297	0.6687
phoible	ALL	839	1798	2762	37.0823	36.7111	0.9265
phoible	aa	39	90	82	38.3111	35.6341	0.665
phoible	ea	70	164	208	39.6829	38.875	0.5332
phoible	er	11	22	24	25.5455	28.3333	0.4218
phoible	jipa	88	206	180	39.9709	41.8444	0.7134
phoible	lapsyd	121	278	242	37.9137	33.5537	0.6352
phoible	ra	16	32	32	43.5625	44.75	0.4413
phoible	saphon	36	72	84	26.3333	26.381	0.7422
phoible	upsid	56	122	112	41.6885	33.3393	0.49
ra	ALL	95	196	382	41.9898	41.9634	0.828
ra	er	0	0	0			
ra	jipa	6	12	12	49.5	60.5	0.3883
saphon	ALL	329	710	1106	25.4676	25.9729	0.9085
saphon	ea	0	0	0			
saphon	er	0	0	0			
saphon	jipa	6	12	12	25.5	26.3333	0.8311
saphon	ra	0	0	0			
saphon	upsid	59	126	118	26.619	26.0847	0.517
upsid	ALL	450	900	2146	30.9578	32.7372	0.8014
upsid	ea	61	122	164	36.5738	40.2805	0.4059
upsid	er	22	44	52	22.2727	22.6154	0.4058
upsid	jipa	38	76	76	36.5526	45.6053	0.4226
upsid	ra	15	30	32	36.3333	44.5625	0.4414
