SizeA,SizeB,Glottocode,Parameter,DataA,DataB
44.0,47.0,sand1273,Consonants,JIPA,LAPSyD
18.0,17.0,seri1257,Consonants,JIPA,LAPSyD
16.0,15.0,ship1254,Consonants,JIPA,LAPSyD
17.0,18.0,jebe1250,Consonants,JIPA,LAPSyD
46.0,46.0,sind1272,Consonants,JIPA,LAPSyD
21.0,21.0,slov1268,Consonants,JIPA,LAPSyD
28.0,28.0,nucl1302,Consonants,JIPA,LAPSyD
18.0,21.0,mode1248,Consonants,JIPA,LAPSyD
18.0,18.0,swed1254,Consonants,JIPA,LAPSyD
31.0,18.0,east2440,Consonants,JIPA,LAPSyD
16.0,16.0,malo1243,Consonants,JIPA,LAPSyD
16.0,24.0,tami1289,Consonants,JIPA,LAPSyD
66.0,36.0,tach1250,Consonants,JIPA,LAPSyD
20.0,17.0,taus1251,Consonants,JIPA,LAPSyD
19.0,17.0,timn1235,Consonants,JIPA,LAPSyD
43.0,43.0,tera1251,Consonants,JIPA,LAPSyD
21.0,21.0,thai1261,Consonants,JIPA,LAPSyD
24.0,22.0,tuka1248,Consonants,JIPA,LAPSyD
25.0,24.0,nucl1301,Consonants,JIPA,LAPSyD
29.0,26.0,uppe1395,Consonants,JIPA,LAPSyD
16.0,16.0,yine1238,Consonants,JIPA,LAPSyD
7.0,7.0,amha1245,Vowels,JIPA,LAPSyD
8.0,15.0,assa1263,Vowels,JIPA,LAPSyD
9.0,9.0,nort2697,Vowels,JIPA,LAPSyD
7.0,7.0,bard1255,Vowels,JIPA,LAPSyD
23.0,14.0,beng1280,Vowels,JIPA,LAPSyD
19.5,19.0,stan1293,Vowels,JIPA,LAPSyD
8.0,6.0,bulg1262,Vowels,JIPA,LAPSyD
21.0,13.0,nucl1310,Vowels,JIPA,LAPSyD
7.0,7.0,stan1289,Vowels,JIPA,LAPSyD
13.0,13.0,czec1258,Vowels,JIPA,LAPSyD
22.0,16.0,dutc1256,Vowels,JIPA,LAPSyD
14.0,14.0,stan1290,Vowels,JIPA,LAPSyD
19.0,19.0,stan1295,Vowels,JIPA,LAPSyD
12.0,14.0,viet1252,Vowels,JIPA,LAPSyD
10.0,12.0,haus1257,Vowels,JIPA,LAPSyD
5.0,5.0,hebr1245,Vowels,JIPA,LAPSyD
21.0,20.0,hind1269,Vowels,JIPA,LAPSyD
18.0,14.0,hung1274,Vowels,JIPA,LAPSyD
11.0,8.0,nucl1417,Vowels,JIPA,LAPSyD
9.0,6.0,indo1316,Vowels,JIPA,LAPSyD
15.0,14.0,iris1253,Vowels,JIPA,LAPSyD
7.0,7.0,ital1282,Vowels,JIPA,LAPSyD
5.0,10.0,nucl1643,Vowels,JIPA,LAPSyD
18.0,18.0,jica1244,Vowels,JIPA,LAPSyD
17.0,12.0,kera1255,Vowels,JIPA,LAPSyD
28.0,11.0,kore1280,Vowels,JIPA,LAPSyD
10.0,13.0,kuna1268,Vowels,JIPA,LAPSyD
5.0,5.0,maka1311,Vowels,JIPA,LAPSyD
6.0,6.0,mapu1245,Vowels,JIPA,LAPSyD
12.0,10.0,nara1262,Vowels,JIPA,LAPSyD
11.0,11.0,nepa1254,Vowels,JIPA,LAPSyD
6.0,6.0,west2369,Vowels,JIPA,LAPSyD
8.0,6.0,pitj1243,Vowels,JIPA,LAPSyD
6.0,8.0,poli1260,Vowels,JIPA,LAPSyD
6.0,5.0,russ1263,Vowels,JIPA,LAPSyD
15.0,15.0,sand1273,Vowels,JIPA,LAPSyD
8.0,8.0,seri1257,Vowels,JIPA,LAPSyD
8.0,8.0,ship1254,Vowels,JIPA,LAPSyD
4.0,4.0,jebe1250,Vowels,JIPA,LAPSyD
20.0,20.0,sind1272,Vowels,JIPA,LAPSyD
8.0,8.0,slov1268,Vowels,JIPA,LAPSyD
5.0,5.0,nucl1302,Vowels,JIPA,LAPSyD
5.0,5.0,mode1248,Vowels,JIPA,LAPSyD
17.0,17.0,swed1254,Vowels,JIPA,LAPSyD
5.0,5.0,east2440,Vowels,JIPA,LAPSyD
5.0,5.0,malo1243,Vowels,JIPA,LAPSyD
12.0,12.0,tami1289,Vowels,JIPA,LAPSyD
3.0,3.0,tach1250,Vowels,JIPA,LAPSyD
3.0,5.0,taus1251,Vowels,JIPA,LAPSyD
9.0,9.0,timn1235,Vowels,JIPA,LAPSyD
15.0,11.0,tera1251,Vowels,JIPA,LAPSyD
21.0,21.0,thai1261,Vowels,JIPA,LAPSyD
5.0,5.0,tuka1248,Vowels,JIPA,LAPSyD
12.0,12.0,nucl1301,Vowels,JIPA,LAPSyD
8.0,7.0,uppe1395,Vowels,JIPA,LAPSyD
10.0,5.0,yine1238,Vowels,JIPA,LAPSyD
73.0,37.0,amha1245,Sounds,JIPA,UPSID
35.0,33.0,nort2697,Sounds,JIPA,UPSID
24.0,24.0,bard1255,Sounds,JIPA,UPSID
79.0,43.0,beng1280,Sounds,JIPA,UPSID
50.0,45.0,bret1244,Sounds,JIPA,UPSID
30.0,42.0,bulg1262,Sounds,JIPA,UPSID
55.0,46.0,nucl1310,Sounds,JIPA,UPSID
52.0,30.0,east2379,Sounds,JIPA,UPSID
54.0,25.0,yuec1235,Sounds,JIPA,UPSID
35.0,37.0,stan1290,Sounds,JIPA,UPSID
41.0,41.0,stan1295,Sounds,JIPA,UPSID
35.0,36.0,viet1252,Sounds,JIPA,UPSID
42.0,38.0,haus1257,Sounds,JIPA,UPSID
85.0,61.0,hind1269,Sounds,JIPA,UPSID
68.0,40.0,hung1274,Sounds,JIPA,UPSID
38.0,59.0,nucl1417,Sounds,JIPA,UPSID
50.0,69.0,iris1253,Sounds,JIPA,UPSID
47.0,40.0,lish1246,Sounds,JIPA,UPSID
22.0,20.0,nucl1643,Sounds,JIPA,UPSID
41.0,30.0,kera1255,Sounds,JIPA,UPSID
48.0,32.0,kore1280,Sounds,JIPA,UPSID
53.0,26.0,kuna1268,Sounds,JIPA,UPSID
28.0,26.0,mapu1245,Sounds,JIPA,UPSID
54.0,22.0,nara1262,Sounds,JIPA,UPSID
67.0,39.0,nepa1254,Sounds,JIPA,UPSID
42.0,42.0,nuuc1236,Sounds,JIPA,UPSID
29.0,30.0,west2369,Sounds,JIPA,UPSID
42.0,38.0,russ1263,Sounds,JIPA,UPSID
59.0,54.0,sand1273,Sounds,JIPA,UPSID
44.0,34.0,wuch1236,Sounds,JIPA,UPSID
