Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB
stan1293	jipa	britishenglishreceivedpronunciation	46	24	22	phoible	stan1293-2179	45	24	21	0.40	0.69	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h w r j l ɪ e æ ʌ ɒ ʊ ə iː ɑː ɔː uː ɛː eɪ aɪ ɔi əʊ aʊ ɪə eə ʊə i u	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
stan1293	jipa	britishenglishreceivedpronunciation	46	24	22	phoible	stan1293-2180	39	24	15	0.52	0.79	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h w r j l ɪ e æ ʌ ɒ ʊ ə iː ɑː ɔː uː ɛː eɪ aɪ ɔi əʊ aʊ ɪə eə ʊə i u	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	jipa	liverpoolenglish	41	24	17	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	0.71	0.84	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ
stan1293	jipa	liverpoolenglish	41	24	17	phoible	stan1293-2175	39	24	15	0.54	0.85	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ
stan1293	jipa	liverpoolenglish	41	24	17	phoible	stan1293-2176	39	24	15	0.57	0.85	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ
stan1293	jipa	liverpoolenglish	41	24	17	phoible	stan1293-2177	44	25	19	0.44	0.75	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ
stan1293	jipa	liverpoolenglish	41	24	17	phoible	stan1293-2178	40	24	16	0.62	0.90	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ
stan1293	jipa	liverpoolenglish	41	24	17	phoible	stan1293-2179	45	24	21	0.41	0.68	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
stan1293	jipa	liverpoolenglish	41	24	17	phoible	stan1293-2180	39	24	15	0.54	0.80	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h r j w l i ɪ e eː ɛ a ʉ ə ʊ ɔ ɑ ɒ iɛ eɪ aɪ aʊ ɔɪ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	phoible	stan1293-2175	39	24	15	0.58	0.86	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ
stan1293	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	phoible	stan1293-2176	39	24	15	0.64	0.89	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ
stan1293	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	phoible	stan1293-2177	44	25	19	0.45	0.75	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ
stan1293	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	phoible	stan1293-2178	40	24	16	0.57	0.81	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ
stan1293	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	phoible	stan1293-2179	45	24	21	0.44	0.71	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
stan1293	lapsyd	englishstandardsouthernbritish_stan1293	43	24	19	phoible	stan1293-2180	39	24	15	0.49	0.75	aʊ s p ɪ w ɑ ʃ z ɐ ə ʊ b oʊ ɔɪ f ɔ dʒ ɒ v ɛ tʃ ɹ ʒ i ð n ɜ t ʊə g ŋ k ɛə d l u iə aɪ eɪ m h j θ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2175	39	24	15	phoible	stan1293-2176	39	24	15	0.77	0.92	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ
