Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB	normal vowels A	normal vowels B	long vowels A	long vowels B	odd-length vowels A	odd-length vowels B	diphthongs A	diphthongs B	normal consonants A	normal consonants B	long consonants A	long consonants B	odd-length consonants A	odd-length consonants B	unknowns A	unknowns B
assa1263	jipa	assamese	31	23	8	ea	assa1263-2598	36	22	14	0.56	0.75	e i o u ɑ ɔ ɛ ʊ b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ	e i o u ɑ ɔ ɛ ʊ	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃							b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ						
assa1263	lapsyd	assamese_assa1263	38	23	15	phoible	assa1263-2159	33	23	10	0.58	0.75	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃ b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃							b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ						
assa1263	lapsyd	assamese_assa1263	38	23	15	ra	assa1263-1706	37	22	15	0.42	0.76	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃ ũː b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃		ũː					b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ						
assa1263	lapsyd	assamese_assa1263	38	23	15	ea	assa1263-2598	36	22	14	0.85	0.88	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃							b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ						
assa1263	phoible	assa1263-2159	33	23	10	ra	assa1263-1706	37	22	15	0.43	0.71	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃ b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃ ũː b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃		ũː					b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ						
assa1263	phoible	assa1263-2159	33	23	10	ea	assa1263-2598	36	22	14	0.60	0.77	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃ b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃							b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ						
assa1263	ra	assa1263-1706	37	22	15	ea	assa1263-2598	36	22	14	0.46	0.81	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃ ũː b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃	a ã e ẽ i ĩ o õ u ũ ɒ ɔ ɛ ɛ̃	ũː						b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ	b bʱ d dʱ g gʱ j k kʰ l m n p pʰ r s t tʰ w x z ŋ						
nort2697	jipa	azerbaijani	35	26	9	lapsyd	azerbaijaninorthern_nort2697	33	24	9	0.51	0.73	e i o u y æ œ ɑ ɯ b c d dz dʒ f g h j k l m n p s t ts tʃ v x z ɟ ɣ ɾ ʃ ʒ	a̟ o ø ɑ ɛ ɤ ɪ ʊ ʏ b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	e i o u y æ œ ɑ ɯ	a̟ o ø ɑ ɛ ɤ ɪ ʊ ʏ							b c d dz dʒ f g h j k l m n p s t ts tʃ v x z ɟ ɣ ɾ ʃ ʒ	b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ						
nort2697	jipa	azerbaijani	35	26	9	upsid	nort2697-236	33	24	9	0.51	0.74	e i o u y æ œ ɑ ɯ b c d dz dʒ f g h j k l m n p s t ts tʃ v x z ɟ ɣ ɾ ʃ ʒ	a̟ o ø ɑ ɛ ɤ̟ ɪ ʊ ʏ b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	e i o u y æ œ ɑ ɯ	a̟ o ø ɑ ɛ ɤ̟ ɪ ʊ ʏ							b c d dz dʒ f g h j k l m n p s t ts tʃ v x z ɟ ɣ ɾ ʃ ʒ	b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ						
nort2697	jipa	azerbaijani	35	26	9	ea	nort2697-2296	39	24	15	0.37	0.67	e i o u y æ œ ɑ ɯ b c d dz dʒ f g h j k l m n p s t ts tʃ v x z ɟ ɣ ɾ ʃ ʒ	e̞ i o̞ u y æ œ̞ ɑ ɯ e̞ː iː uː æː œ̞ː ɑː b̥ c dʒ d̪ f g̊ h j k l m n̪ pʰ s̪ tʃ t̪ v z̪ ɟ ɾ ʁ ʃ ʒ χ	e i o u y æ œ ɑ ɯ	e̞ i o̞ u y æ œ̞ ɑ ɯ		e̞ː iː uː æː œ̞ː ɑː					b c d dz dʒ f g h j k l m n p s t ts tʃ v x z ɟ ɣ ɾ ʃ ʒ	b̥ c dʒ d̪ f g̊ h j k l m n̪ pʰ s̪ tʃ t̪ v z̪ ɟ ɾ ʁ ʃ ʒ χ						
nort2697	lapsyd	azerbaijaninorthern_nort2697	33	24	9	upsid	nort2697-236	33	24	9	0.94	0.99	a̟ o ø ɑ ɛ ɤ ɪ ʊ ʏ b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	a̟ o ø ɑ ɛ ɤ̟ ɪ ʊ ʏ b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	a̟ o ø ɑ ɛ ɤ ɪ ʊ ʏ	a̟ o ø ɑ ɛ ɤ̟ ɪ ʊ ʏ							b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ						
nort2697	lapsyd	azerbaijaninorthern_nort2697	33	24	9	ea	nort2697-2296	39	24	15	0.33	0.72	a̟ o ø ɑ ɛ ɤ ɪ ʊ ʏ b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	e̞ i o̞ u y æ œ̞ ɑ ɯ e̞ː iː uː æː œ̞ː ɑː b̥ c dʒ d̪ f g̊ h j k l m n̪ pʰ s̪ tʃ t̪ v z̪ ɟ ɾ ʁ ʃ ʒ χ	a̟ o ø ɑ ɛ ɤ ɪ ʊ ʏ	e̞ i o̞ u y æ œ̞ ɑ ɯ		e̞ː iː uː æː œ̞ː ɑː					b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	b̥ c dʒ d̪ f g̊ h j k l m n̪ pʰ s̪ tʃ t̪ v z̪ ɟ ɾ ʁ ʃ ʒ χ						
nort2697	upsid	nort2697-236	33	24	9	ea	nort2697-2296	39	24	15	0.33	0.72	a̟ o ø ɑ ɛ ɤ̟ ɪ ʊ ʏ b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	e̞ i o̞ u y æ œ̞ ɑ ɯ e̞ː iː uː æː œ̞ː ɑː b̥ c dʒ d̪ f g̊ h j k l m n̪ pʰ s̪ tʃ t̪ v z̪ ɟ ɾ ʁ ʃ ʒ χ	a̟ o ø ɑ ɛ ɤ̟ ɪ ʊ ʏ	e̞ i o̞ u y æ œ̞ ɑ ɯ		e̞ː iː uː æː œ̞ː ɑː					b c dʒ d̪ f g h j k l m n̪ p s tʃ t̪ v x z ɟ ɣ ɾ ʃ ʒ	b̥ c dʒ d̪ f g̊ h j k l m n̪ pʰ s̪ tʃ t̪ v z̪ ɟ ɾ ʁ ʃ ʒ χ						
bard1255	jipa	bardi	24	17	7	lapsyd	bardi_bard1255	24	17	7	1.00	1.00	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i o u	a i o u	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ						
bard1255	jipa	bardi	24	17	7	upsid	bard1255-245	24	17	7	0.71	0.86	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i u ɔ aː iː uː j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ	a i o u	a i u ɔ	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ						
bard1255	jipa	bardi	24	17	7	phoible	bard1255-2160	25	18	7	0.53	0.92	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i o u aː iː uː c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻	a i o u	a i o u	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻						
bard1255	jipa	bardi	24	17	7	er	bard1255-2697	24	17	7	0.78	0.89	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i o u aː iː uː j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ	a i o u	a i o u	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ						
bard1255	lapsyd	bardi_bard1255	24	17	7	upsid	bard1255-245	24	17	7	0.71	0.89	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i u ɔ aː iː uː j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ	a i o u	a i u ɔ	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ						
bard1255	lapsyd	bardi_bard1255	24	17	7	phoible	bard1255-2160	25	18	7	0.53	0.92	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i o u aː iː uː c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻	a i o u	a i o u	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻						
bard1255	lapsyd	bardi_bard1255	24	17	7	er	bard1255-2697	24	17	7	0.78	0.91	a i o u aː iː uː c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	a i o u aː iː uː j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ	a i o u	a i o u	aː iː uː	aː iː uː					c j k l m n p r t w ŋ ɭ ɲ ɳ ɻ ʈ ʎ	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ						
bard1255	upsid	bard1255-245	24	17	7	phoible	bard1255-2160	25	18	7	0.48	0.76	a i u ɔ aː iː uː j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ	a i o u aː iː uː c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻	a i u ɔ	a i o u	aː iː uː	aː iː uː					j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ	c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻						
bard1255	upsid	bard1255-245	24	17	7	er	bard1255-2697	24	17	7	0.71	0.84	a i u ɔ aː iː uː j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ	a i o u aː iː uː j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ	a i u ɔ	a i o u	aː iː uː	aː iː uː					j k l l̠ m n n̠ p r t t̠ w ŋ ɭ ɳ ɻ ʈ	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ						
