Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB	normal vowels A	normal vowels B	long vowels A	long vowels B	odd-length vowels A	odd-length vowels B	diphthongs A	diphthongs B	normal consonants A	normal consonants B	long consonants A	long consonants B	odd-length consonants A	odd-length consonants B	unknowns A	unknowns B
amha1245	jipa	amharic	73	66	7	lapsyd	amharic_amha1245	39	32	7	0.53	0.71	a e i o u ə ɨ b bʷ d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w z ŋ ɲ ʃ ʒ bʷː bː dʒː dː fʷː fː gʷː gː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sʷː sː tʃʼː tʃː tʼː tː wː zː ŋː ɲː ʃː ʒː	a e i o u ə ɨ b d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w ɲ ʃ	a e i o u ə ɨ	a e i o u ə ɨ							b bʷ d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w z ŋ ɲ ʃ ʒ	b d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w ɲ ʃ	bʷː bː dʒː dː fʷː fː gʷː gː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sʷː sː tʃʼː tʃː tʼː tː wː zː ŋː ɲː ʃː ʒː					
amha1245	jipa	amharic	73	66	7	upsid	amha1245-219	37	30	7	0.43	0.64	a e i o u ə ɨ b bʷ d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w z ŋ ɲ ʃ ʒ bʷː bː dʒː dː fʷː fː gʷː gː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sʷː sː tʃʼː tʃː tʼː tː wː zː ŋː ɲː ʃː ʒː	a e̞ i o̞ u ə ɨ b d dʒ f g gʷ h hʷ j k kʷ kʼ kʼʷ l m n p pʼ s sʷ t tʃ tʃʼ tʼ w z ɲ ɾ ʃ ʒ	a e i o u ə ɨ	a e̞ i o̞ u ə ɨ							b bʷ d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w z ŋ ɲ ʃ ʒ	b d dʒ f g gʷ h hʷ j k kʷ kʼ kʼʷ l m n p pʼ s sʷ t tʃ tʃʼ tʼ w z ɲ ɾ ʃ ʒ	bʷː bː dʒː dː fʷː fː gʷː gː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sʷː sː tʃʼː tʃː tʼː tː wː zː ŋː ɲː ʃː ʒː					
amha1245	jipa	amharic	73	66	7	phoible	amha1245-2156	68	61	7	0.91	0.93	a e i o u ə ɨ b bʷ d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w z ŋ ɲ ʃ ʒ bʷː bː dʒː dː fʷː fː gʷː gː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sʷː sː tʃʼː tʃː tʼː tː wː zː ŋː ɲː ʃː ʒː	a e i o u ə ɨ b bʷ d dʒ f fʷ g gʷ h j k kʷ kʼʷ l m mʷ n p pʼ pʼʷ r s t tʃ tʃʼ tʼ w z ŋ ɲ ʃ ʒ bʷː bː dʒː dː fʷː fː gʷː gː hː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sː tʃʼː tʃː tʼː tː wː zː ŋː ʃː ʒː	a e i o u ə ɨ	a e i o u ə ɨ							b bʷ d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w z ŋ ɲ ʃ ʒ	b bʷ d dʒ f fʷ g gʷ h j k kʷ kʼʷ l m mʷ n p pʼ pʼʷ r s t tʃ tʃʼ tʼ w z ŋ ɲ ʃ ʒ	bʷː bː dʒː dː fʷː fː gʷː gː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sʷː sː tʃʼː tʃː tʼː tː wː zː ŋː ɲː ʃː ʒː	bʷː bː dʒː dː fʷː fː gʷː gː hː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sː tʃʼː tʃː tʼː tː wː zː ŋː ʃː ʒː				
amha1245	lapsyd	amharic_amha1245	39	32	7	upsid	amha1245-219	37	30	7	0.69	0.87	a e i o u ə ɨ b d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w ɲ ʃ	a e̞ i o̞ u ə ɨ b d dʒ f g gʷ h hʷ j k kʷ kʼ kʼʷ l m n p pʼ s sʷ t tʃ tʃʼ tʼ w z ɲ ɾ ʃ ʒ	a e i o u ə ɨ	a e̞ i o̞ u ə ɨ							b d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w ɲ ʃ	b d dʒ f g gʷ h hʷ j k kʷ kʼ kʼʷ l m n p pʼ s sʷ t tʃ tʃʼ tʼ w z ɲ ɾ ʃ ʒ						
amha1245	lapsyd	amharic_amha1245	39	32	7	phoible	amha1245-2156	68	61	7	0.49	0.63	a e i o u ə ɨ b d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w ɲ ʃ	a e i o u ə ɨ b bʷ d dʒ f fʷ g gʷ h j k kʷ kʼʷ l m mʷ n p pʼ pʼʷ r s t tʃ tʃʼ tʼ w z ŋ ɲ ʃ ʒ bʷː bː dʒː dː fʷː fː gʷː gː hː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sː tʃʼː tʃː tʼː tː wː zː ŋː ʃː ʒː	a e i o u ə ɨ	a e i o u ə ɨ							b d dʒ f fʷ g gʷ h hʷ j k kʷ kʼ kʼʷ l m mʷ n p pʼ pʼʷ r s sʼ t tʃ tʃʼ tʼ tʼʷ w ɲ ʃ	b bʷ d dʒ f fʷ g gʷ h j k kʷ kʼʷ l m mʷ n p pʼ pʼʷ r s t tʃ tʃʼ tʼ w z ŋ ɲ ʃ ʒ		bʷː bː dʒː dː fʷː fː gʷː gː hː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sː tʃʼː tʃː tʼː tː wː zː ŋː ʃː ʒː				
amha1245	upsid	amha1245-219	37	30	7	phoible	amha1245-2156	68	61	7	0.42	0.59	a e̞ i o̞ u ə ɨ b d dʒ f g gʷ h hʷ j k kʷ kʼ kʼʷ l m n p pʼ s sʷ t tʃ tʃʼ tʼ w z ɲ ɾ ʃ ʒ	a e i o u ə ɨ b bʷ d dʒ f fʷ g gʷ h j k kʷ kʼʷ l m mʷ n p pʼ pʼʷ r s t tʃ tʃʼ tʼ w z ŋ ɲ ʃ ʒ bʷː bː dʒː dː fʷː fː gʷː gː hː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sː tʃʼː tʃː tʼː tː wː zː ŋː ʃː ʒː	a e̞ i o̞ u ə ɨ	a e i o u ə ɨ							b d dʒ f g gʷ h hʷ j k kʷ kʼ kʼʷ l m n p pʼ s sʷ t tʃ tʃʼ tʼ w z ɲ ɾ ʃ ʒ	b bʷ d dʒ f fʷ g gʷ h j k kʷ kʼʷ l m mʷ n p pʼ pʼʷ r s t tʃ tʃʼ tʼ w z ŋ ɲ ʃ ʒ		bʷː bː dʒː dː fʷː fː gʷː gː hː jː kʷː kʼʷː kː lː mʷː mː nː pʼː rː sː tʃʼː tʃː tʼː tː wː zː ŋː ʃː ʒː				
stan1318	jipa	arabic	37	29	8	phoible	stan1318-2157	37	29	8	0.51	0.84	a i u aː iː u̯ː au au̯ b d dʒ dˤ f h j k l lˤ m n q r s sˤ t tˤ w x z ð ðˤ ħ ɣ ʃ ʔ ʕ θ	a i u aː i̯ː u̯ː ai au b dʒ d̙ˤ d̪ f h j kʰ l lˤ m n̪ q r s s̙ˤ t̪ʰ t̪̙ˤ w xʀ̥ z ð ð̙ˤ ħ ɣ ʃ ʔ ʕ̙ θ	a i u	a i u	aː iː u̯ː	aː i̯ː u̯ː			au au̯	ai au	b d dʒ dˤ f h j k l lˤ m n q r s sˤ t tˤ w x z ð ðˤ ħ ɣ ʃ ʔ ʕ θ	b dʒ d̙ˤ d̪ f h j kʰ l lˤ m n̪ q r s s̙ˤ t̪ʰ t̪̙ˤ w xʀ̥ z ð ð̙ˤ ħ ɣ ʃ ʔ ʕ̙ θ						
assa1263	jipa	assamese	31	23	8	lapsyd	assamese_assa1263	38	23	15	0.53	0.77	e i o u ɑ ɔ ɛ ʊ b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃ b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞	e i o u ɑ ɔ ɛ ʊ	a ã e ẽ i ĩ o õ u ũ ɒ ɒ̃ ɔ ɛ ɛ̃							b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	b bʱ d dʱ g gʱ j k kʰ l m n p pʰ s t tʰ x z ŋ ɦ ɹ β̞						
assa1263	jipa	assamese	31	23	8	phoible	assa1263-2159	33	23	10	0.73	0.88	e i o u ɑ ɔ ɛ ʊ b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃ b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	e i o u ɑ ɔ ɛ ʊ	i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃							b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	b bʱ d dʱ g gʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ						
assa1263	jipa	assamese	31	23	8	ra	assa1263-1706	37	22	15	0.39	0.69	e i o u ɑ ɔ ɛ ʊ b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃ ũː b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ	e i o u ɑ ɔ ɛ ʊ	a e ẽ̞ i o õ̞ u u̞ æ̞̃ ɔ ɛ ɪ̃ ʊ̃ ʌ̃		ũː					b bʰ d dʰ g gʰ h j k kʰ l m n p pʰ s t tʰ w x z ŋ ɹ	b bʱ d̪ d̪ʱ g gʱ j k kʰ l m n̪ p pʰ r s t̪ t̪ʰ w z ŋ ɦ						
