Phoneme,Dataset,Dataset Pair,Absolute Count (DatasetA),Absolute Count (DatasetB),Relative Count (DatasetA),Relative Count (DatasetB),Total Inventories,Percent (DatasetA),Percent (DatasetB)
i̯œ,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
i̯œ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i̯œ̞,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
i̯œ̞,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i̯ɑ,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
i̯ɑ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i̯ɒ,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
i̯ɒ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i̯ɔ,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
i̯ɔ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i̯ɛ,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
i̯ɛ,jipa,jipa-lapsyd,1,0,0.0004,0.0000,57,0.0175,0.0000
i̯ɛ,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
i̯ɛ,jipa,jipa-upsid,1,0,0.0006,0.0000,38,0.0263,0.0000
i̯ɛ,phoible,phoible-ea,4,0,0.0009,0.0000,121,0.0331,0.0000
i̯ɛ,phoible,phoible-jipa,0,2,0.0000,0.0004,111,0.0000,0.0180
i̯ɛ,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
i̯ʌ,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
i̯ʌ,jipa,jipa-lapsyd,1,0,0.0004,0.0000,57,0.0175,0.0000
i̯ʌ,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
i̯ʌ,jipa,jipa-upsid,1,0,0.0006,0.0000,38,0.0263,0.0000
i̯ʌ,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
i̯ʌ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i̯ː,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
i̯ː,ea,ea-upsid,0,1,0.0000,0.0003,82,0.0000,0.0122
i̯ː,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
ĩ̯,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
ĩ̯,ea,ea-lapsyd,0,2,0.0000,0.0005,95,0.0000,0.0211
ĩ̯,ea,ea-upsid,0,1,0.0000,0.0003,82,0.0000,0.0122
ḭ,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ḭ,jipa,jipa-phoible,2,0,0.0004,0.0000,111,0.0180,0.0000
ḭ,jipa,jipa-saphon,1,0,0.0063,0.0000,6,0.1667,0.0000
ḭ,lapsyd,lapsyd-ea,1,0,0.0003,0.0000,95,0.0105,0.0000
ḭ,lapsyd,lapsyd-phoible,2,0,0.0004,0.0000,139,0.0144,0.0000
ḭ,lapsyd,lapsyd-saphon,2,0,0.0007,0.0000,107,0.0187,0.0000
ḭ,lapsyd,lapsyd-upsid,6,0,0.0006,0.0000,303,0.0198,0.0000
ḭ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
ḭ,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
ḭ,phoible,phoible-saphon,1,0,0.0009,0.0000,42,0.0238,0.0000
ḭ,saphon,saphon-lapsyd,0,4,0.0000,0.0014,107,0.0000,0.0374
ḭ,saphon,saphon-phoible,0,1,0.0000,0.0009,42,0.0000,0.0238
ḭ,saphon,saphon-upsid,0,3,0.0000,0.0018,63,0.0000,0.0476
ḭ,upsid,upsid-lapsyd,0,3,0.0000,0.0003,303,0.0000,0.0099
ḭḛ,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
ḭu,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
ḭə̰,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
ḭː,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
ḭː,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ḭː,ea,ea-upsid,0,1,0.0000,0.0003,82,0.0000,0.0122
ḭː,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
ḭ̃,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
ḭ̃,lapsyd,lapsyd-phoible,1,0,0.0002,0.0000,139,0.0072,0.0000
ḭ̃,lapsyd,lapsyd-saphon,2,0,0.0007,0.0000,107,0.0187,0.0000
ḭ̃,lapsyd,lapsyd-upsid,4,0,0.0004,0.0000,303,0.0132,0.0000
ḭ̃,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
ḭ̃,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
ḭ̃,phoible,phoible-saphon,1,0,0.0009,0.0000,42,0.0238,0.0000
ḭ̃,saphon,saphon-lapsyd,0,1,0.0000,0.0004,107,0.0000,0.0093
ḭ̃,saphon,saphon-phoible,0,1,0.0000,0.0009,42,0.0000,0.0238
ḭ̃,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
ḭ̃ə̰̃,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
i̽,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
i͓,upsid,upsid-aa,1,0,0.0009,0.0000,34,0.0294,0.0000
i͓,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
j,aa,aa-jipa,0,6,0.0000,0.0274,6,0.0000,1.0000
j,aa,aa-lapsyd,0,26,0.0000,0.0286,27,0.0000,0.9630
j,aa,aa-phoible,0,46,0.0000,0.0280,47,0.0000,0.9787
j,aa,aa-upsid,0,33,0.0000,0.0277,34,0.0000,0.9706
j,ea,ea-jipa,0,49,0.0000,0.0201,57,0.0000,0.8596
j,ea,ea-lapsyd,0,83,0.0000,0.0214,95,0.0000,0.8737
j,ea,ea-phoible,0,110,0.0000,0.0230,121,0.0000,0.9091
j,ea,ea-ra,0,29,0.0000,0.0217,32,0.0000,0.9062
j,ea,ea-upsid,0,71,0.0000,0.0215,82,0.0000,0.8659
j,er,er-jipa,0,4,0.0000,0.0351,4,0.0000,1.0000
j,er,er-lapsyd,0,61,0.0000,0.0446,61,0.0000,1.0000
j,er,er-phoible,0,12,0.0000,0.0353,12,0.0000,1.0000
j,er,er-upsid,0,26,0.0000,0.0442,26,0.0000,1.0000
j,jipa,jipa-aa,6,0,0.0245,0.0000,6,1.0000,0.0000
j,jipa,jipa-ea,51,0,0.0198,0.0000,57,0.8947,0.0000
j,jipa,jipa-er,4,0,0.0317,0.0000,4,1.0000,0.0000
j,jipa,jipa-lapsyd,50,0,0.0218,0.0000,57,0.8772,0.0000
j,jipa,jipa-phoible,102,0,0.0217,0.0000,111,0.9189,0.0000
j,jipa,jipa-ra,5,0,0.0138,0.0000,6,0.8333,0.0000
j,jipa,jipa-saphon,6,0,0.0380,0.0000,6,1.0000,0.0000
j,jipa,jipa-upsid,34,0,0.0196,0.0000,38,0.8947,0.0000
j,lapsyd,lapsyd-aa,27,0,0.0282,0.0000,27,1.0000,0.0000
j,lapsyd,lapsyd-ea,86,0,0.0239,0.0000,95,0.9053,0.0000
j,lapsyd,lapsyd-er,61,0,0.0433,0.0000,61,1.0000,0.0000
j,lapsyd,lapsyd-jipa,0,52,0.0000,0.0261,57,0.0000,0.9123
j,lapsyd,lapsyd-phoible,124,0,0.0263,0.0000,139,0.8921,0.0000
j,lapsyd,lapsyd-ra,25,0,0.0247,0.0000,26,0.9615,0.0000
j,lapsyd,lapsyd-saphon,92,0,0.0313,0.0000,107,0.8598,0.0000
j,lapsyd,lapsyd-upsid,268,0,0.0284,0.0000,303,0.8845,0.0000
j,phoible,phoible-aa,43,0,0.0238,0.0000,47,0.9149,0.0000
j,phoible,phoible-ea,107,0,0.0228,0.0000,121,0.8843,0.0000
j,phoible,phoible-er,11,0,0.0359,0.0000,12,0.9167,0.0000
j,phoible,phoible-jipa,0,97,0.0000,0.0216,111,0.0000,0.8739
j,phoible,phoible-lapsyd,0,114,0.0000,0.0216,139,0.0000,0.8201
j,phoible,phoible-ra,12,0,0.0172,0.0000,16,0.7500,0.0000
j,phoible,phoible-saphon,35,0,0.0310,0.0000,42,0.8333,0.0000
j,phoible,phoible-upsid,0,51,0.0000,0.0201,61,0.0000,0.8361
j,ra,ra-ea,27,0,0.0188,0.0000,32,0.8438,0.0000
j,ra,ra-jipa,0,6,0.0000,0.0202,6,0.0000,1.0000
j,ra,ra-lapsyd,0,23,0.0000,0.0207,26,0.0000,0.8846
j,ra,ra-phoible,0,13,0.0000,0.0182,16,0.0000,0.8125
j,ra,ra-upsid,0,15,0.0000,0.0210,16,0.0000,0.9375
j,saphon,saphon-jipa,0,6,0.0000,0.0392,6,0.0000,1.0000
j,saphon,saphon-lapsyd,0,88,0.0000,0.0309,107,0.0000,0.8224
j,saphon,saphon-phoible,0,33,0.0000,0.0298,42,0.0000,0.7857
j,saphon,saphon-upsid,0,52,0.0000,0.0310,63,0.0000,0.8254
j,upsid,upsid-aa,33,0,0.0286,0.0000,34,0.9706,0.0000
j,upsid,upsid-ea,69,0,0.0225,0.0000,82,0.8415,0.0000
j,upsid,upsid-er,26,0,0.0457,0.0000,26,1.0000,0.0000
j,upsid,upsid-jipa,0,35,0.0000,0.0252,38,0.0000,0.9211
j,upsid,upsid-lapsyd,0,247,0.0000,0.0281,303,0.0000,0.8152
j,upsid,upsid-phoible,54,0,0.0268,0.0000,61,0.8852,0.0000
j,upsid,upsid-ra,14,0,0.0241,0.0000,16,0.8750,0.0000
j,upsid,upsid-saphon,48,0,0.0294,0.0000,63,0.7619,0.0000
jʷ,er,er-jipa,0,1,0.0000,0.0088,4,0.0000,0.2500
jʷ,er,er-phoible,0,3,0.0000,0.0088,12,0.0000,0.2500
jʷ,er,er-upsid,0,1,0.0000,0.0017,26,0.0000,0.0385
jʷ,jipa,jipa-er,1,0,0.0079,0.0000,4,0.2500,0.0000
jʷ,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
jʷ,jipa,jipa-upsid,1,0,0.0006,0.0000,38,0.0263,0.0000
jʷ,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
jˀ,phoible,phoible-aa,1,0,0.0006,0.0000,47,0.0213,0.0000
jː,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
jː,jipa,jipa-ea,3,0,0.0012,0.0000,57,0.0526,0.0000
jː,jipa,jipa-lapsyd,6,0,0.0026,0.0000,57,0.1053,0.0000
jː,jipa,jipa-phoible,7,0,0.0015,0.0000,111,0.0631,0.0000
jː,jipa,jipa-ra,1,0,0.0028,0.0000,6,0.1667,0.0000
jː,jipa,jipa-upsid,6,0,0.0035,0.0000,38,0.1579,0.0000
jː,phoible,phoible-aa,2,0,0.0011,0.0000,47,0.0426,0.0000
jː,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
jː,phoible,phoible-jipa,0,4,0.0000,0.0009,111,0.0000,0.0360
jː,phoible,phoible-lapsyd,0,11,0.0000,0.0021,139,0.0000,0.0791
jː,phoible,phoible-saphon,1,0,0.0009,0.0000,42,0.0238,0.0000
jː,phoible,phoible-upsid,0,6,0.0000,0.0024,61,0.0000,0.0984
jː,saphon,saphon-phoible,0,1,0.0000,0.0009,42,0.0000,0.0238
j̃,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
j̃,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
j̃,ea,ea-upsid,0,2,0.0000,0.0006,82,0.0000,0.0244
j̃,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
j̃,jipa,jipa-lapsyd,1,0,0.0004,0.0000,57,0.0175,0.0000
j̃,lapsyd,lapsyd-aa,1,0,0.0010,0.0000,27,0.0370,0.0000
j̃,lapsyd,lapsyd-ea,1,0,0.0003,0.0000,95,0.0105,0.0000
j̃,lapsyd,lapsyd-phoible,2,0,0.0004,0.0000,139,0.0144,0.0000
j̃,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
j̃,phoible,phoible-aa,1,0,0.0006,0.0000,47,0.0213,0.0000
j̃,phoible,phoible-lapsyd,0,2,0.0000,0.0004,139,0.0000,0.0144
j̃,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
j̃,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
j̊,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
j̊,ea,ea-upsid,0,2,0.0000,0.0006,82,0.0000,0.0244
j̊,lapsyd,lapsyd-upsid,7,0,0.0007,0.0000,303,0.0231,0.0000
j̊,upsid,upsid-lapsyd,0,6,0.0000,0.0007,303,0.0000,0.0198
j̟,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
j̟,upsid,upsid-phoible,1,0,0.0005,0.0000,61,0.0164,0.0000
j̰,lapsyd,lapsyd-aa,1,0,0.0010,0.0000,27,0.0370,0.0000
j̰,lapsyd,lapsyd-phoible,3,0,0.0006,0.0000,139,0.0216,0.0000
j̰,lapsyd,lapsyd-saphon,3,0,0.0010,0.0000,107,0.0280,0.0000
j̰,lapsyd,lapsyd-upsid,17,0,0.0018,0.0000,303,0.0561,0.0000
j̰,phoible,phoible-jipa,0,2,0.0000,0.0004,111,0.0000,0.0180
j̰,phoible,phoible-lapsyd,0,2,0.0000,0.0004,139,0.0000,0.0144
j̰,phoible,phoible-saphon,1,0,0.0009,0.0000,42,0.0238,0.0000
j̰,phoible,phoible-upsid,0,2,0.0000,0.0008,61,0.0000,0.0328
j̰,saphon,saphon-lapsyd,0,3,0.0000,0.0011,107,0.0000,0.0280
j̰,saphon,saphon-phoible,0,1,0.0000,0.0009,42,0.0000,0.0238
j̰,saphon,saphon-upsid,0,2,0.0000,0.0012,63,0.0000,0.0317
j̰,upsid,upsid-aa,3,0,0.0026,0.0000,34,0.0882,0.0000
j̰,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
j̰,upsid,upsid-jipa,0,2,0.0000,0.0014,38,0.0000,0.0526
j̰,upsid,upsid-lapsyd,0,10,0.0000,0.0011,303,0.0000,0.0330
j̰,upsid,upsid-phoible,3,0,0.0015,0.0000,61,0.0492,0.0000
j̻,phoible,phoible-er,1,0,0.0033,0.0000,12,0.0833,0.0000
j̻,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
j̻,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
j̻,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
k,aa,aa-jipa,0,6,0.0000,0.0274,6,0.0000,1.0000
k,aa,aa-lapsyd,0,27,0.0000,0.0297,27,0.0000,1.0000
k,aa,aa-phoible,0,47,0.0000,0.0286,47,0.0000,1.0000
k,aa,aa-upsid,0,34,0.0000,0.0285,34,0.0000,1.0000
k,ea,ea-jipa,0,49,0.0000,0.0201,57,0.0000,0.8596
k,ea,ea-lapsyd,0,75,0.0000,0.0193,95,0.0000,0.7895
k,ea,ea-phoible,0,98,0.0000,0.0205,121,0.0000,0.8099
k,ea,ea-ra,0,32,0.0000,0.0240,32,0.0000,1.0000
k,ea,ea-upsid,0,65,0.0000,0.0197,82,0.0000,0.7927
k,er,er-jipa,0,4,0.0000,0.0351,4,0.0000,1.0000
k,er,er-lapsyd,0,51,0.0000,0.0373,61,0.0000,0.8361
k,er,er-phoible,0,10,0.0000,0.0294,12,0.0000,0.8333
k,er,er-upsid,0,22,0.0000,0.0374,26,0.0000,0.8462
k,jipa,jipa-aa,6,0,0.0245,0.0000,6,1.0000,0.0000
k,jipa,jipa-ea,55,0,0.0213,0.0000,57,0.9649,0.0000
k,jipa,jipa-er,4,0,0.0317,0.0000,4,1.0000,0.0000
k,jipa,jipa-lapsyd,56,0,0.0244,0.0000,57,0.9825,0.0000
k,jipa,jipa-phoible,108,0,0.0230,0.0000,111,0.9730,0.0000
k,jipa,jipa-ra,6,0,0.0165,0.0000,6,1.0000,0.0000
k,jipa,jipa-saphon,6,0,0.0380,0.0000,6,1.0000,0.0000
k,jipa,jipa-upsid,37,0,0.0214,0.0000,38,0.9737,0.0000
k,lapsyd,lapsyd-aa,27,0,0.0282,0.0000,27,1.0000,0.0000
k,lapsyd,lapsyd-ea,94,0,0.0261,0.0000,95,0.9895,0.0000
k,lapsyd,lapsyd-er,59,0,0.0419,0.0000,61,0.9672,0.0000
k,lapsyd,lapsyd-jipa,0,57,0.0000,0.0286,57,0.0000,1.0000
k,lapsyd,lapsyd-phoible,138,0,0.0293,0.0000,139,0.9928,0.0000
k,lapsyd,lapsyd-ra,26,0,0.0256,0.0000,26,1.0000,0.0000
k,lapsyd,lapsyd-saphon,101,0,0.0344,0.0000,107,0.9439,0.0000
k,lapsyd,lapsyd-upsid,291,0,0.0308,0.0000,303,0.9604,0.0000
k,phoible,phoible-aa,43,0,0.0238,0.0000,47,0.9149,0.0000
k,phoible,phoible-ea,105,0,0.0224,0.0000,121,0.8678,0.0000
k,phoible,phoible-er,10,0,0.0327,0.0000,12,0.8333,0.0000
k,phoible,phoible-jipa,0,94,0.0000,0.0209,111,0.0000,0.8468
k,phoible,phoible-lapsyd,0,125,0.0000,0.0237,139,0.0000,0.8993
k,phoible,phoible-ra,14,0,0.0201,0.0000,16,0.8750,0.0000
k,phoible,phoible-saphon,40,0,0.0355,0.0000,42,0.9524,0.0000
k,phoible,phoible-upsid,0,55,0.0000,0.0216,61,0.0000,0.9016
k,ra,ra-ea,32,0,0.0223,0.0000,32,1.0000,0.0000
k,ra,ra-jipa,0,6,0.0000,0.0202,6,0.0000,1.0000
k,ra,ra-lapsyd,0,26,0.0000,0.0234,26,0.0000,1.0000
k,ra,ra-phoible,0,16,0.0000,0.0223,16,0.0000,1.0000
k,ra,ra-upsid,0,15,0.0000,0.0210,16,0.0000,0.9375
k,saphon,saphon-jipa,0,6,0.0000,0.0392,6,0.0000,1.0000
k,saphon,saphon-lapsyd,0,105,0.0000,0.0369,107,0.0000,0.9813
k,saphon,saphon-phoible,0,42,0.0000,0.0379,42,0.0000,1.0000
k,saphon,saphon-upsid,0,63,0.0000,0.0376,63,0.0000,1.0000
k,upsid,upsid-aa,30,0,0.0260,0.0000,34,0.8824,0.0000
k,upsid,upsid-ea,73,0,0.0238,0.0000,82,0.8902,0.0000
k,upsid,upsid-er,23,0,0.0404,0.0000,26,0.8846,0.0000
k,upsid,upsid-jipa,0,36,0.0000,0.0259,38,0.0000,0.9474
k,upsid,upsid-lapsyd,0,272,0.0000,0.0309,303,0.0000,0.8977
k,upsid,upsid-phoible,57,0,0.0283,0.0000,61,0.9344,0.0000
k,upsid,upsid-ra,15,0,0.0258,0.0000,16,0.9375,0.0000
k,upsid,upsid-saphon,62,0,0.0380,0.0000,63,0.9841,0.0000
kp,aa,aa-jipa,0,1,0.0000,0.0046,6,0.0000,0.1667
kp,aa,aa-lapsyd,0,13,0.0000,0.0143,27,0.0000,0.4815
kp,aa,aa-phoible,0,21,0.0000,0.0128,47,0.0000,0.4468
kp,aa,aa-upsid,0,17,0.0000,0.0143,34,0.0000,0.5000
kp,jipa,jipa-aa,2,0,0.0082,0.0000,6,0.3333,0.0000
kp,jipa,jipa-lapsyd,1,0,0.0004,0.0000,57,0.0175,0.0000
kp,jipa,jipa-phoible,5,0,0.0011,0.0000,111,0.0450,0.0000
kp,jipa,jipa-upsid,1,0,0.0006,0.0000,38,0.0263,0.0000
kp,lapsyd,lapsyd-aa,16,0,0.0167,0.0000,27,0.5926,0.0000
kp,lapsyd,lapsyd-jipa,0,1,0.0000,0.0005,57,0.0000,0.0175
kp,lapsyd,lapsyd-phoible,7,0,0.0015,0.0000,139,0.0504,0.0000
kp,lapsyd,lapsyd-upsid,22,0,0.0023,0.0000,303,0.0726,0.0000
kp,phoible,phoible-aa,23,0,0.0127,0.0000,47,0.4894,0.0000
kp,phoible,phoible-jipa,0,4,0.0000,0.0009,111,0.0000,0.0360
kp,phoible,phoible-lapsyd,0,8,0.0000,0.0015,139,0.0000,0.0576
kp,phoible,phoible-upsid,0,7,0.0000,0.0028,61,0.0000,0.1148
kp,upsid,upsid-aa,19,0,0.0165,0.0000,34,0.5588,0.0000
kp,upsid,upsid-lapsyd,0,20,0.0000,0.0023,303,0.0000,0.0660
kp,upsid,upsid-phoible,7,0,0.0035,0.0000,61,0.1148,0.0000
kpʰ,aa,aa-phoible,0,1,0.0000,0.0006,47,0.0000,0.0213
kpʰ,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
kpʰ,phoible,phoible-aa,1,0,0.0006,0.0000,47,0.0213,0.0000
kpʰ,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
kpʰ,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
kpʲ,phoible,phoible-aa,2,0,0.0011,0.0000,47,0.0426,0.0000
kpʲ,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
kx,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
kx,ea,ea-lapsyd,0,2,0.0000,0.0005,95,0.0000,0.0211
kx,ea,ea-phoible,0,2,0.0000,0.0004,121,0.0000,0.0165
kx,ea,ea-upsid,0,2,0.0000,0.0006,82,0.0000,0.0244
kx,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
kx,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
kx,lapsyd,lapsyd-upsid,2,0,0.0002,0.0000,303,0.0066,0.0000
kx,phoible,phoible-ea,3,0,0.0006,0.0000,121,0.0248,0.0000
kx,phoible,phoible-jipa,0,3,0.0000,0.0007,111,0.0000,0.0270
kx,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
kx,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
kx,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
kxʰ,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
kxʷ,lapsyd,lapsyd-upsid,1,0,0.0001,0.0000,303,0.0033,0.0000
kxʼː,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
kxː,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
kʰ,aa,aa-phoible,0,1,0.0000,0.0006,47,0.0000,0.0213
kʰ,ea,ea-jipa,0,25,0.0000,0.0103,57,0.0000,0.4386
kʰ,ea,ea-lapsyd,0,37,0.0000,0.0095,95,0.0000,0.3895
kʰ,ea,ea-phoible,0,59,0.0000,0.0124,121,0.0000,0.4876
kʰ,ea,ea-ra,0,18,0.0000,0.0135,32,0.0000,0.5625
kʰ,ea,ea-upsid,0,27,0.0000,0.0082,82,0.0000,0.3293
kʰ,jipa,jipa-ea,17,0,0.0066,0.0000,57,0.2982,0.0000
kʰ,jipa,jipa-lapsyd,11,0,0.0048,0.0000,57,0.1930,0.0000
kʰ,jipa,jipa-phoible,21,0,0.0045,0.0000,111,0.1892,0.0000
kʰ,jipa,jipa-ra,6,0,0.0165,0.0000,6,1.0000,0.0000
kʰ,jipa,jipa-saphon,1,0,0.0063,0.0000,6,0.1667,0.0000
kʰ,jipa,jipa-upsid,10,0,0.0058,0.0000,38,0.2632,0.0000
kʰ,lapsyd,lapsyd-aa,1,0,0.0010,0.0000,27,0.0370,0.0000
kʰ,lapsyd,lapsyd-ea,24,0,0.0067,0.0000,95,0.2526,0.0000
kʰ,lapsyd,lapsyd-jipa,0,11,0.0000,0.0055,57,0.0000,0.1930
kʰ,lapsyd,lapsyd-phoible,18,0,0.0038,0.0000,139,0.1295,0.0000
kʰ,lapsyd,lapsyd-ra,16,0,0.0158,0.0000,26,0.6154,0.0000
kʰ,lapsyd,lapsyd-saphon,14,0,0.0048,0.0000,107,0.1308,0.0000
kʰ,lapsyd,lapsyd-upsid,50,0,0.0053,0.0000,303,0.1650,0.0000
kʰ,phoible,phoible-aa,3,0,0.0017,0.0000,47,0.0638,0.0000
kʰ,phoible,phoible-ea,42,0,0.0090,0.0000,121,0.3471,0.0000
kʰ,phoible,phoible-jipa,0,34,0.0000,0.0076,111,0.0000,0.3063
kʰ,phoible,phoible-lapsyd,0,27,0.0000,0.0051,139,0.0000,0.1942
kʰ,phoible,phoible-ra,12,0,0.0172,0.0000,16,0.7500,0.0000
kʰ,phoible,phoible-saphon,9,0,0.0080,0.0000,42,0.2143,0.0000
kʰ,phoible,phoible-upsid,0,16,0.0000,0.0063,61,0.0000,0.2623
kʰ,ra,ra-ea,21,0,0.0147,0.0000,32,0.6562,0.0000
kʰ,ra,ra-jipa,0,6,0.0000,0.0202,6,0.0000,1.0000
kʰ,ra,ra-lapsyd,0,17,0.0000,0.0153,26,0.0000,0.6538
kʰ,ra,ra-phoible,0,13,0.0000,0.0182,16,0.0000,0.8125
kʰ,ra,ra-upsid,0,11,0.0000,0.0154,16,0.0000,0.6875
kʰ,saphon,saphon-jipa,0,1,0.0000,0.0065,6,0.0000,0.1667
kʰ,saphon,saphon-lapsyd,0,13,0.0000,0.0046,107,0.0000,0.1215
kʰ,saphon,saphon-phoible,0,5,0.0000,0.0045,42,0.0000,0.1190
kʰ,saphon,saphon-upsid,0,6,0.0000,0.0036,63,0.0000,0.0952
kʰ,upsid,upsid-aa,5,0,0.0043,0.0000,34,0.1471,0.0000
kʰ,upsid,upsid-ea,25,0,0.0081,0.0000,82,0.3049,0.0000
kʰ,upsid,upsid-jipa,0,13,0.0000,0.0094,38,0.0000,0.3421
kʰ,upsid,upsid-lapsyd,0,62,0.0000,0.0070,303,0.0000,0.2046
kʰ,upsid,upsid-phoible,16,0,0.0079,0.0000,61,0.2623,0.0000
kʰ,upsid,upsid-ra,10,0,0.0172,0.0000,16,0.6250,0.0000
kʰ,upsid,upsid-saphon,6,0,0.0037,0.0000,63,0.0952,0.0000
kʰː,jipa,jipa-ea,3,0,0.0012,0.0000,57,0.0526,0.0000
kʰː,jipa,jipa-lapsyd,3,0,0.0013,0.0000,57,0.0526,0.0000
kʰː,jipa,jipa-phoible,3,0,0.0006,0.0000,111,0.0270,0.0000
kʰː,jipa,jipa-ra,3,0,0.0083,0.0000,6,0.5000,0.0000
kʰː,jipa,jipa-upsid,3,0,0.0017,0.0000,38,0.0789,0.0000
kʰː,phoible,phoible-ea,4,0,0.0009,0.0000,121,0.0331,0.0000
kʰː,phoible,phoible-jipa,0,4,0.0000,0.0009,111,0.0000,0.0360
kʰː,phoible,phoible-lapsyd,0,4,0.0000,0.0008,139,0.0000,0.0288
kʰː,phoible,phoible-ra,3,0,0.0043,0.0000,16,0.1875,0.0000
kʰː,phoible,phoible-upsid,0,4,0.0000,0.0016,61,0.0000,0.0656
kʱ,upsid,upsid-jipa,0,1,0.0000,0.0007,38,0.0000,0.0263
kʱ,upsid,upsid-phoible,1,0,0.0005,0.0000,61,0.0164,0.0000
kʲ,aa,aa-jipa,0,1,0.0000,0.0046,6,0.0000,0.1667
kʲ,aa,aa-lapsyd,0,1,0.0000,0.0011,27,0.0000,0.0370
