Phoneme,Dataset,Dataset Pair,Absolute Count (DatasetA),Absolute Count (DatasetB),Relative Count (DatasetA),Relative Count (DatasetB),Total Inventories,Percent (DatasetA),Percent (DatasetB)
ã,jipa,jipa-ra,2,0,0.0055,0.0000,6,0.3333,0.0000
ã,jipa,jipa-upsid,5,0,0.0029,0.0000,38,0.1316,0.0000
ã,lapsyd,lapsyd-aa,6,0,0.0063,0.0000,27,0.2222,0.0000
ã,lapsyd,lapsyd-ea,8,0,0.0022,0.0000,95,0.0842,0.0000
ã,lapsyd,lapsyd-er,1,0,0.0007,0.0000,61,0.0164,0.0000
ã,lapsyd,lapsyd-jipa,0,6,0.0000,0.0030,57,0.0000,0.1053
ã,lapsyd,lapsyd-phoible,18,0,0.0038,0.0000,139,0.1295,0.0000
ã,lapsyd,lapsyd-ra,11,0,0.0108,0.0000,26,0.4231,0.0000
ã,lapsyd,lapsyd-saphon,48,0,0.0163,0.0000,107,0.4486,0.0000
ã,lapsyd,lapsyd-upsid,48,0,0.0051,0.0000,303,0.1584,0.0000
ã,phoible,phoible-aa,13,0,0.0072,0.0000,47,0.2766,0.0000
ã,phoible,phoible-ea,4,0,0.0009,0.0000,121,0.0331,0.0000
ã,phoible,phoible-jipa,0,3,0.0000,0.0007,111,0.0000,0.0270
ã,phoible,phoible-lapsyd,0,12,0.0000,0.0023,139,0.0000,0.0863
ã,phoible,phoible-ra,2,0,0.0029,0.0000,16,0.1250,0.0000
ã,phoible,phoible-saphon,15,0,0.0133,0.0000,42,0.3571,0.0000
ã,phoible,phoible-upsid,0,10,0.0000,0.0039,61,0.0000,0.1639
ã,ra,ra-ea,2,0,0.0014,0.0000,32,0.0625,0.0000
ã,ra,ra-lapsyd,0,3,0.0000,0.0027,26,0.0000,0.1154
ã,ra,ra-upsid,0,2,0.0000,0.0028,16,0.0000,0.1250
ã,saphon,saphon-lapsyd,0,42,0.0000,0.0148,107,0.0000,0.3925
ã,saphon,saphon-phoible,0,19,0.0000,0.0171,42,0.0000,0.4524
ã,saphon,saphon-upsid,0,23,0.0000,0.0137,63,0.0000,0.3651
ã,upsid,upsid-aa,15,0,0.0130,0.0000,34,0.4412,0.0000
ã,upsid,upsid-ea,4,0,0.0013,0.0000,82,0.0488,0.0000
ã,upsid,upsid-jipa,0,4,0.0000,0.0029,38,0.0000,0.1053
ã,upsid,upsid-lapsyd,0,53,0.0000,0.0060,303,0.0000,0.1749
ã,upsid,upsid-phoible,12,0,0.0060,0.0000,61,0.1967,0.0000
ã,upsid,upsid-ra,5,0,0.0086,0.0000,16,0.3125,0.0000
ã,upsid,upsid-saphon,32,0,0.0196,0.0000,63,0.5079,0.0000
ãẽ,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
ãi,saphon,saphon-lapsyd,0,1,0.0000,0.0004,107,0.0000,0.0093
ãi,saphon,saphon-upsid,0,1,0.0000,0.0006,63,0.0000,0.0159
ãĩ,lapsyd,lapsyd-saphon,2,0,0.0007,0.0000,107,0.0187,0.0000
ãĩ,lapsyd,lapsyd-upsid,3,0,0.0003,0.0000,303,0.0099,0.0000
ãĩ,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
ãĩ,upsid,upsid-saphon,1,0,0.0006,0.0000,63,0.0159,0.0000
ãi̯,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ãi̯,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ãõ,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ãõ,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ãũ,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
ãũ,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
ãũ,lapsyd,lapsyd-upsid,2,0,0.0002,0.0000,303,0.0066,0.0000
ãu̯,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ãu̯,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ãũ̯,ea,ea-jipa,0,1,0.0000,0.0004,57,0.0000,0.0175
ãũ̯,ea,ea-upsid,0,1,0.0000,0.0003,82,0.0000,0.0122
ãʉ̃,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
ãː,aa,aa-upsid,0,1,0.0000,0.0008,34,0.0000,0.0294
ãː,ea,ea-lapsyd,0,3,0.0000,0.0008,95,0.0000,0.0316
ãː,ea,ea-phoible,0,2,0.0000,0.0004,121,0.0000,0.0165
ãː,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ãː,ea,ea-upsid,0,2,0.0000,0.0006,82,0.0000,0.0244
ãː,jipa,jipa-lapsyd,1,0,0.0004,0.0000,57,0.0175,0.0000
ãː,jipa,jipa-phoible,3,0,0.0006,0.0000,111,0.0270,0.0000
ãː,lapsyd,lapsyd-aa,1,0,0.0010,0.0000,27,0.0370,0.0000
ãː,lapsyd,lapsyd-jipa,0,2,0.0000,0.0010,57,0.0000,0.0351
ãː,lapsyd,lapsyd-phoible,6,0,0.0013,0.0000,139,0.0432,0.0000
ãː,lapsyd,lapsyd-ra,3,0,0.0030,0.0000,26,0.1154,0.0000
ãː,lapsyd,lapsyd-saphon,8,0,0.0027,0.0000,107,0.0748,0.0000
