Dataset,aa,ea,er,jipa,lapsyd,phoible,ra,saphon,upsid
aa,185,0,0,5,24,39,0,0,31
ea,0,285,0,48,77,70,30,0,61
er,0,0,339,3,46,11,0,0,22
jipa,5,48,3,144,56,88,6,6,38
lapsyd,24,77,46,56,584,121,25,97,303
phoible,39,70,11,88,121,839,16,36,56
ra,0,30,0,6,25,16,95,0,15
saphon,0,0,0,6,97,36,0,329,59
upsid,31,61,22,38,303,56,15,59,450
