ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
afad1236-198	Afade	afad1236	Afro-Asiatic	Africa	12.0551	14.6343	36	27	9	0	0	0	0	3.0	b cʼ d f h j k kp kʼ l m n p pfʼ r s t tθʼ w ɓ ɗ ɟ g gb ɬ ʃ ʔ a̟ e i o u ɑ ɔ ɛ ɤ
achu1247-199	Achumawi	achu1247	Palaihnihan	North America	41.0979	-121.191	23	17	6	0	0	0	0	2.8333333333333335	r dʒ h j k l m n p q s t w x ʃ ʔ χ a e̞ i o̞ u ə
adze1240-200	Adzera	adze1240	Austronesian	Papunesia	-6.39394	146.294	25	18	7	0	0	0	3	2.5714285714285716	b dz d f h j kʰ m n pʰ r s tsʰ tʰ ŋ g ɰ ʔ a aː i iː o̞ o̞ː ɯ
east2379-201	Eastern Arrernte	east2379	Pama-Nyungan	Australia	-23.3583	135.046	30	27	3	0	0	0	0	9.0	bⁿ d̠ⁿ d̪ⁿ dⁿ j k l l̠ l̪ m n n̠ n̪ p t t̠ t̪ w ŋ ɖⁿ gⁿ ɭ ɰ ɳ ɻ ɾ ʈ a i u
amel1241-202	Amele	amel1241	Nuclear Trans New Guinea	Papunesia	-5.29126	145.687	20	15	5	0	0	0	0	3.0	b d f h k l m n s t w g gb ʔ ʝ i u æ ɔ ɛ
anga1290-203	Angaataha	anga1290	Angan	Papunesia	-7.15012	146.352	21	12	9	0	2	0	1	1.3333333333333333	j k m n p t tʃ w ŋ ɲ ɺ ʔ a ai au aː e̞ i o̞ u ə̆
aghe1239-204	Aghem	aghe1239	Atlantic-Congo	Africa	6.38956	10.0807	35	25	10	0	0	0	0	2.5	b bv d dz dʒ f j k kp l m n s t ts tʃ w z ŋ ŋm g gb ɣ ɲ ʔ a e i o u ɒ ɔ ɛ ɪ ʊ
apro1235-205	Aproumu Aizi	apro1235	Atlantic-Congo	Africa	5.20273	-4.52192	33	24	9	0	0	0	0	2.6666666666666665	b c d f j k kp l m n p s t v w z ŋ ɓ ɟ g gb ɲ ʃ ʒ a e i o u ɛ ɪ ɯ̞ ʌ
ahte1237-206	Ahtena	ahte1237	Athabaskan-Eyak-Tlingit	North America	61.7068	-144.889	35	30	5	0	0	0	0	6.0	b d dz dɮ h j j̊ kʰ kʼ m n qʰ qʼ s tsʰ tsʼ tɬʰ tɬʼ tʰ tʼ z ŋ g ɢ ɬ ɮ ʁ ʍ ʔ χ a e̞ i o̞ u
ainu1240-207	Hokkaido Ainu	ainu1240	Ainu	Eurasia	43.633654	142.46167	16	11	5	0	0	0	0	2.2	h j k m n p s t tʃ w ɾ a i u ɔ ɛ
akan1250-208	Akan	akan1250	Atlantic-Congo	Africa	6.34756	-1.33254	35	21	14	0	0	0	0	1.5	b cç cçʷ d f h j kʰ m n pʰ r s tʰ çʷ ɟʝ ɟʝʷ g ɥ ɲ ɲʷ a ã e i ĩ o u ũ ɔ ɛ ɪ ɪ̃ ʊ ʊ̃
akaw1239-209	Akawaio	akaw1239	Cariban	South America	6.16277	-60.862	23	13	10	0	3	0	0	1.3	r b d j k m n p s t w z g a ai au e̞ i o̞ u ɔi ə ɨ
alab1237-210	Alabama	alab1237	Muskogean	North America	30.76738	-94.62848	17	14	3	0	0	0	0	4.666666666666667	b h j k l m n p s tʃ t̪ w ɬ ɸ a e o
qawa1238-211	Qawasqar	qawa1238	Kawesqar	South America	-49.303195	-74.707536	19	16	3	0	0	0	0	5.333333333333333	f j k kʼ l m n p s t tʼ tʃ tʃʼ w x ɾ a o̞ ə
alla1248-212	Alladian	alla1248	Atlantic-Congo	Africa	5.22371	-4.42647	36	25	11	0	0	0	0	2.272727272727273	b c d f h j k kp l m n p s t v w z ɟ g gb ɥ ɲ ɾ ʃ ʒ a ã e i o u ɔ ɔ̃ ɛ ɛ̃ ɪ
aleu1260-213	Aleut	aleu1260	Eskimo-Aleut	North America	52.1228	-174.29	27	24	3	0	0	0	0	8.0	h j j̊ k l m m̥ n n̥ q ts t w x ð ŋ ŋ̊ ɣ ɬ ʁ ʃ ʍ ʒ χ a i u
alaw1244-214	Alawa	alaw1244	Mangarrayi-Maran	Australia	-15.5458	134.282	26	22	4	0	0	0	0	5.5	j k l l̠ m ⁿb n ⁿd n̠ ⁿd̠ p r t t̠ w ŋ ⁿg ɭ ɳ ⁿɖ ɹ ʈ a e̞ ɪ ɯ̞
tosk1239-215	Northern Tosk Albanian	tosk1239	Indo-European	Eurasia	41.0	20.0	35	28	7	0	0	0	0	4.0	b cç dʒ d̪ dz f h j k l lˠ m n n̠ p r s̪ tʃ t̪ ts v z̪ ð ɟʝ g ʃ ʒ θ a e̞ i o̞ u y ə
amah1246-216	Amahuaca	amah1246	Pano-Tacanan	South America	-10.2012	-72.3208	22	14	8	0	0	0	0	1.75	h j k m n p s tʃ t w x ɾ ʔ θ a ã o̞ õ̞ ɪ ɪ̃ ɯ ɯ̃
yane1238-217	Yanesha'	yane1238	Arawakan	South America	-10.5454	-75.315	26	23	3	0	0	0	0	7.666666666666667	j k lʲ m mʲ n p pʲ s t tsʰ tʃʰ tʃʲʰ w x ɣ ɲ ɾ ʃ ʈʂʰ ʐ ʔ β a e o
hame1242-218	Hamer-Banna	hame1242	South Omotic	Africa	5.06515	36.5176	35	25	10	0	0	0	0	2.5	b c d h j k l m n p qʼ s t ts w z ŋ ɓ ɗ ɟ ɠ g ɲ ɾ ʃ e e̞ˤ i o u ɐˤ ɑ ɔˤ ɪˤ ʊˤ
amha1245-219	Amharic	amha1245	Afro-Asiatic	Africa	11.708182	39.543456	37	30	7	0	0	0	0	4.285714285714286	b dʒ d f h hʷ j k kʷ kʼʷ kʼ l m n p pʼ s sʷ tʃ tʃʼ t tʼ w z g gʷ ɲ ɾ ʃ ʒ a e̞ i o̞ u ə ɨ
amoo1242-220	Amo	amoo1242	Atlantic-Congo	Africa	10.3229	8.65405	35	25	10	0	0	0	0	2.5	b d dʒ f h j k kp l m n p r s t ts tʃ v w z ŋ g gb ɲ ʃ a e i o u ɐ ɔ ɛ ɪ ʊ
alam1246-221	Alamblak	alam1246	Sepik	Papunesia	-4.66307	143.316	25	18	7	0	0	0	0	2.5714285714285716	b d dʒ j kʰ m n n̠ pʰ s tʰ tʃ w x g ɸ ʃ ɾ a e̞ i o̞ u ə ɨ
guer1243-222	Guerrero Amuzgo	guer1243	Otomanguean	North America	16.77226	-98.18953	37	25	12	0	0	0	0	2.0833333333333335	h j k kʲ kʷ l m ⁿb n ⁿd n̠ ⁿd̠ p r s t ts t̠ tʃ w ⁿg ɾ ʃ ʔ β a ã e̞ ẽ̞ i o̞ õ̞ u æ æ̃ ɒ ɒ̃
ngas1240-223	Ngas	ngas1240	Afro-Asiatic	Africa	9.32042	9.46146	43	32	11	0	1	0	4	2.909090909090909	b bʲ c d dʒ f h j k l m mʲ n p pʲ r s t tʃ v w z ŋ ɓ ɗ ɟ g ɣ ɲ ʃ ʄ ʒ a aː e iː o u uː ɛ ɜi ɨː ɪ
ando1256-224	Andoque	ando1256		South America	-0.53751	-72.0869	26	11	15	0	0	0	0	0.7333333333333333	b dʒ d̪ h k p r̪ tʃ t̪ ɸ ʔ a̟ ã̟ e̞ ẽ̞ i ĩ o̞ õ̞ u ɑ̃ ɒ ə ə̃ ɜ ɨ
anta1253-225	Antakarinya	anta1253	Pama-Nyungan	Australia	-27.1152	134.838	20	17	3	0	0	0	0	5.666666666666667	j k l l̠ m n n̠ p t t̠ w ŋ ɭ ɳ ɻ ɾ ʈ a i u
apin1244-226	Apinayé	apin1244	Nuclear-Macro-Je	South America	-6.10774	-47.6315	30	13	17	0	0	0	0	0.7647058823529411	k ⁿb ⁿd p s t tʃ v ⁿg ⁿɟ ɽ ʒ ʔ a ã e i ĩ o õ u ũ ɔ ɛ ɛ̃ ɤ ɯ ɯ̃ ʌ ʌ̃
apuc1241-227	Apucikwar	apuc1241	Great Andamanese	Eurasia	12.241	92.7965	24	16	8	0	0	0	0	2.0	b dʒ d j k l m n p tʃ t w ŋ g ɲ ɹ a e̞ i o̞ u æ ɔ ɛ
arch1244-228	Archi	arch1244	Nakh-Daghestanian	Eurasia	42.3239	46.8267	91	81	10	0	0	18	0	8.1	r b d dʷ h j kʰ kʷʰ kʼʷ kʷː kʼ kː l m n pʰ pʼ pː qχ qχʷ qχʼʷ qχʷˤ qχʼʷˤ qχʼ qχʼː qχˤ qχʼˤ qχˤː s sʷ sʷː sː tʃʰ tʃʷʰ tʃʼʷ tʃʼ tʃʼː tsʰ tsʷʰ tsʼʷ tsʼ tsʼː tɬʰ tɬʷʰ tɬʼʷ tɬʼ tʰ tʷʰ tʼ tː w z zʷ ħ g gʷ ɬ ɬʷ ɬʷː ɬː ɮ ʁ ʁʷ ʁʷˤ ʁˤ ʃ ʃʷ ʃʷː ʃː ʒ ʒʷ ʔ ʕ χ χʷ χʷː χʷˤ χʷˤː χː χˤ χˤː a aˤ e̞ e̞ˤ i iˤ o̞ o̞ˤ u uˤ
arab1268-229	Arabela	arab1268	Zaparoan	South America	-1.96126	-75.0612	18	11	7	0	2	0	0	1.5714285714285714	h j k m n p r s t w ʃ a ai au e̞ i o̞ u
mapu1245-230	Mapudungun	mapu1245	Araucanian	South America	-38.7392	-71.277	26	20	6	0	0	0	0	3.3333333333333335	j k l l̪ m n n̪ p s t tʃ t̪ w ŋ ɲ ɸ ʈɻ̝̊ ʎ ɻ̝ θ a i u ɔ ɛ ɯ
egyp1253-231	Egyptian Arabic	egyp1253	Afro-Asiatic	Africa	31.0	31.0	35	27	8	0	0	0	5	3.375	b dʒ d̪ d̪ˤ f h j k l̪ m n̪ q r s̪ s̪ˤ t̪ t̪ˤ w z̪ z̪ˤ ħ g ʁ ʃ ʔ ʕ χ a eː iː oː uː æː ɪ ʊ
waor1240-232	Waorani	waor1240		South America	-1.12312	-76.683	21	11	10	0	0	0	0	1.1	b d k m n p t w ŋ g ɲ a ã e̞ ẽ̞ i ĩ o̞ õ̞ æ æ̃
avar1256-233	Avar	avar1256	Nakh-Daghestanian	Eurasia	41.7047	46.558	49	44	5	0	0	15	0	8.8	r b d f h j kxʼː kxː kʰ kʼ l m n pʰ pʼ qχʼː qχː s sː tʃʰ tʃʼ tʃʼː tʃː tsʰ tsʼ tsʼː tsː tɬʼː tɬː tʰ tʼ w xː z ħ g ɬ ɬː ʃ ʃː ʒ ʕ̝ χ χː a e̞ i o̞ u
