ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
qawa1238-1801	Qawasqar	qawa1238	Kawesqar	South America	-49.303195	-74.707536	24	18	6	0	0	0	0	3.0	cç cʼ h j k kʼ l m n p pʼ q s t tʼ w ɾ β a e i o u æ
mapu1245-1802	Mapudungun	mapu1245	Araucanian	South America	-38.7392	-71.277	28	22	6	0	0	0	0	3.6666666666666665	f j k l l̪ m n n̪ p s t tʃ t̪ w ŋ ɣ ɲ ʃ ʈʂ ʎ ʐ θ a e i o u ɯ
acha1250-1803	Achagua	acha1250	Arawakan	South America	4.38649	-72.2005	29	19	10	0	0	0	5	1.9	b d h j k kʷ l m n p s t ts tʃ w ɾ ʃ ʒ ʔ a aː e eː i iː o oː u uː
apur1254-1804	Apurinã	apur1254	Arawakan	South America	-8.21692	-66.7714	34	14	20	0	0	0	10	0.7	h j k m n p s t ts tʃ ɰ ɲ ɾ ʃ a aː ã ãː e eː ẽ ẽː i iː ĩ ĩː o oː õ õː ɨ ɨː ɨ̃ ɨ̃ː
araw1276-1805	Lokono	araw1276	Arawakan	South America	5.64295	-56.9243	21	16	5	0	0	0	0	3.2	b d h j k kʰ l m n s t tʰ w ɸ ɽ ɾ a e i o ɨ
asha1243-1806	Asháninka	asha1243	Arawakan	South America	-11.9311	-73.9073	21	13	8	0	0	0	4	1.625	n h j k m p s t ts tʃ ɾ ʃ β a aː e eː i iː o oː
ajyi1238-1807	Ajyíninka Apurucayali	ajyi1238	Arawakan	South America	-9.82364	-74.61947	25	19	6	0	0	0	3	3.1666666666666665	n h j k m p s t ts tsʰ tʰ tʃ tʃʰ ç ɰ ɲ ɾ ɾʲ ʋ a aː i iː o oː
ashe1272-1808	Ashéninka Perené	ashe1272	Arawakan	South America	-10.9777	-74.9153	27	17	10	0	0	0	5	1.7	n h j k kʲ m p s t ts tsʰ tʃ w ɲ ɾ ɾʲ ʃ a aː e eː i iː o oː ɨ ɨː
pich1237-1809	Pichis Ashéninka	pich1237	Arawakan	South America	-10.47249	-74.60281	29	21	8	0	0	0	4	2.625	n h j k kʲ m mʲ p pʲ s t tʰ tʃ tʃʰ w wʲ ɰ ɲ ɾ ɾʲ ʃ a aː e eː i iː o oː
ucay1237-1810	Ucayali-Yurúa Ashéninka	ucay1237	Arawakan	South America	-9.49424	-73.1836	31	23	8	0	0	0	4	2.875	n h j k kʲ m mʲ p pʲ s t ts tsʰ tʰ tʃ tʃʰ ɰ ɲ ɾ ɾʲ ʃ β βʲ a aː e eː i iː o oː
bani1255-1811	Baniwa do Icana	bani1255	Arawakan	South America	2.17859	-67.7704	24	16	8	0	0	0	4	2.0	b d dz h k m n p t ts tʃ t̪ w ɲ ɺ ɻ a aː e eː i iː u uː
bani1255-1812	Baniwa do Icana	bani1255	Arawakan	South America	2.17859	-67.7704	26	18	8	0	0	0	4	2.25	b d dz h j k m n p r t ts w g ɺ ɾ ʂ ʐ a aː e eː i iː u uː
bare1276-1813	Baré	bare1276	Arawakan	South America	1.91649	-66.828	23	19	4	0	0	0	0	4.75	b d h j k kʰ m n p pʰ s t tʰ tʃ w ɻ ʰm ʱn ʱw a e i u
cabi1241-1814	Cabiyarí	cabi1241	Arawakan	South America	0.16101	-71.0622	17	12	5	0	0	0	0	2.4	h j k m n p t tʃ t̪ w ɾ ʔ a e i o u
caqu1242-1815	Caquinte	caqu1242	Arawakan	South America	-11.4812	-73.4451	26	18	8	0	0	0	4	2.25	n h j k m p s t ts tʲ tʃ ŋ ɣ ɲ ɾ ɾʲ ʃ β a aː e eː i iː o oː
cham1318-1816	Chamicuro	cham1318	Arawakan	South America	-5.1149	-75.6778	29	19	10	0	0	0	5	1.9	h j k l m n p s t ts tʃ w ɲ ɾ ʂ ʃ ʈʂ ʎ ʔ a aː e eː i iː o oː u uː
curr1243-1817	Curripaco	curr1243	Arawakan	South America	0.69618	-67.5028	29	25	4	0	0	0	0	6.25	b d dz h j k kʰ m n p pʰ t ts tʰ w ɸ ɺ ɾ ʂ ʃ ʔ ʰm ʱn ʱɾ β a e i u
enaw1238-1818	Enawené-Nawé	enaw1238	Arawakan	South America	-12.4302	-58.9802	25	13	12	0	0	0	4	1.0833333333333333	d h j k l m n s t w ɲ ɾ ʃ a aː ã e eː ẽ i iː ĩ o oː õ
