ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
abid1235-649	Abidji	abid1235	Atlantic-Congo	Africa	5.65656	-4.58421	39	21	18	0	0	0	0	1.1666666666666667	b c d f h j k kp l m n p r s t w ɟ g gb ɲ ʔ a ã e ẽ i ĩ o õ u ũ ɔ ɔ̃ ɛ ɛ̃ ɪ ɪ̃ ʊ ʊ̃
adio1239-650	Adioukrou	adio1239	Atlantic-Congo	Africa	5.38228	-4.52522	28	21	7	0	0	0	0	3.0	b d dz f h j k kp l m n p r s t tʃ w ŋ g gb ɲ a e i o u ɔ ɛ
ajab1235-651	Aja (Benin)	ajab1235	Atlantic-Congo	Africa	7.06634	1.64992	40	28	12	0	0	0	0	2.3333333333333335	b d dʒ f j k kp l m n p r s t tʃ v w z ŋ ɖ g gb ɣ ɲ ʁ ʃ ʒ χ a ã e i ĩ o u ũ ɔ ɔ̃ ɛ ɛ̃
ajab1235-652	Aja (Benin)	ajab1235	Atlantic-Congo	Africa	7.06634	1.64992	37	23	14	0	0	0	0	1.6428571428571428	b d dʒ f h j k kp l m n s t tʃ v w x z ŋ ɖ g gb ɲ a ã e ẽ i ĩ o õ u ũ ɔ ɔ̃ ɛ ɛ̃
anyi1244-653	Anyin Morofo	anyi1244	Atlantic-Congo	Africa	6.1627	-4.64232	37	21	16	0	0	0	0	1.3125	b d dʒ f h j k kp l m n p s t tʃ w ç ŋʷ g gb ɲ a ã e i ĩ o u ũ ɔ ə ə̃ ɛ ɪ ɪ̃ ʊ ʊ̃
igoo1238-654	Igo	igoo1238	Atlantic-Congo	Africa	7.25499	0.67846	30	23	7	0	0	0	0	3.2857142857142856	b d dʒ f h j k kp l m n p s t tʃ v w z ŋ ɖ g gb ɲ a e i o u ɔ ɛ
akan1250-655	Akan	akan1250	Atlantic-Congo	Africa	6.34756	-1.33254	27	18	9	0	0	0	0	2.0	b d f h j k kʷ l m n nʷ p r s t w ŋ g a e i o u ɔ ɛ ɪ ʊ
akoo1248-656	Akoose	akoo1248	Atlantic-Congo	Africa	4.9243	9.65522	40	22	18	0	0	0	10	1.2222222222222223	b d dʒ h j k l m ⁿb n ⁿd ⁿz p s t tʃ w ŋ ⁿg g ɲ ʔ a aː e eː i iː o oː u uː ɒː ɔ ɔː ə əː ɛ ɛː ɤː
ngas1240-657	Ngas	ngas1240	Afro-Asiatic	Africa	9.32042	9.46146	33	24	9	0	0	0	2	2.6666666666666665	b d dʒ f h k l m n p r s t tʃ v z ŋ ɓ ɗ g ɣ ʃ ʒ ʔ a aː e i o u ɛ ɨ ɨː
anuf1239-658	Anufo	anuf1239	Atlantic-Congo	Africa	10.2839	0.56021	41	22	19	0	0	0	7	1.1578947368421053	b d dʒ f h j k kp l m n p s t tʃ w ŋ ŋm g gb ɲ ʃ a aː ã e eː i iː ĩ o oː u uː ũ ɔ ɔː ɔ̃ ɛ ɛː ɛ̃
suda1236-659	Sudanese Arabic	suda1236	Afro-Asiatic	Africa	17.8021	33.3179	62	54	8	0	0	27	5	6.75	b bː d dː dˤ dˤː dʒ dʒː f fː h hː j jː k kː l lː m mː n nː r rː s sː sˤ sˤː t tː tˤ tˤː v vː w wː x xː z zː zˤ zˤː ħ ħː g gː ɣ ɣː ʃ ʃː ʔ ʔː ʕ ʕː a aː eː i iː oː u uː
avok1242-660	Avokaya	avok1242	Central Sudanic	Africa	4.38639	29.9379	51	37	14	0	0	0	7	2.642857142857143	b d dʳ dz f h j k kp l m ⁿb n ⁿd ⁿdʳ ⁿdz p r s t tʳ ts v w wˀ z ŋ ⁿgb ⁿg ɓ ɗ g gb ⁿv ɲ ʔ ʔʲ a aː i iː u uː ɔ ɔː ə əː ɛ ɛː ɪ ɪː
