Phoneme	Dataset	Dataset_Occurrences	Dataset_Inventory_Ratio	Dataset_Ratio	Global_Occurrences	Global_Inventory_Ratio	Global_Ratio
a	aa	193	0.9948	0.0269	3047	0.8756	0.0261
a	ea	188	0.5193	0.0122	3047	0.8756	0.0261
a	er	391	1.0	0.0416	3047	0.8756	0.0261
a	jipa	118	0.8027	0.0193	3047	0.8756	0.0261
a	lapsyd	535	0.9161	0.0293	3047	0.8756	0.0261
a	phoible	799	0.8888	0.024	3047	0.8756	0.0261
a	ra	78	0.7959	0.019	3047	0.8756	0.0261
a	saphon	354	0.9972	0.0392	3047	0.8756	0.0261
a	upsid	391	0.8689	0.0281	3047	0.8756	0.0261
ae	aa	0	0.0	0.0	16	0.0046	0.0001
ae	ea	3	0.0083	0.0002	16	0.0046	0.0001
ae	er	0	0.0	0.0	16	0.0046	0.0001
ae	jipa	1	0.0068	0.0002	16	0.0046	0.0001
ae	lapsyd	7	0.012	0.0004	16	0.0046	0.0001
ae	phoible	5	0.0056	0.0001	16	0.0046	0.0001
ae	ra	0	0.0	0.0	16	0.0046	0.0001
ae	saphon	0	0.0	0.0	16	0.0046	0.0001
ae	upsid	0	0.0	0.0	16	0.0046	0.0001
ae̞	aa	0	0.0	0.0	4	0.0011	0.0
ae̞	ea	0	0.0	0.0	4	0.0011	0.0
ae̞	er	0	0.0	0.0	4	0.0011	0.0
ae̞	jipa	0	0.0	0.0	4	0.0011	0.0
ae̞	lapsyd	0	0.0	0.0	4	0.0011	0.0
ae̞	phoible	1	0.0011	0.0	4	0.0011	0.0
ae̞	ra	0	0.0	0.0	4	0.0011	0.0
ae̞	saphon	0	0.0	0.0	4	0.0011	0.0
ae̞	upsid	3	0.0067	0.0002	4	0.0011	0.0
ae̞ˤ	aa	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	ea	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	er	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	jipa	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	lapsyd	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	phoible	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	ra	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	saphon	0	0.0	0.0	1	0.0003	0.0
ae̞ˤ	upsid	1	0.0022	0.0001	1	0.0003	0.0
ae̯	aa	0	0.0	0.0	4	0.0011	0.0
ae̯	ea	2	0.0055	0.0001	4	0.0011	0.0
ae̯	er	0	0.0	0.0	4	0.0011	0.0
ae̯	jipa	1	0.0068	0.0002	4	0.0011	0.0
ae̯	lapsyd	0	0.0	0.0	4	0.0011	0.0
ae̯	phoible	1	0.0011	0.0	4	0.0011	0.0
ae̯	ra	0	0.0	0.0	4	0.0011	0.0
ae̯	saphon	0	0.0	0.0	4	0.0011	0.0
ae̯	upsid	0	0.0	0.0	4	0.0011	0.0
ai	aa	1	0.0052	0.0001	132	0.0379	0.0011
ai	ea	20	0.0552	0.0013	132	0.0379	0.0011
ai	er	0	0.0	0.0	132	0.0379	0.0011
ai	jipa	10	0.068	0.0016	132	0.0379	0.0011
ai	lapsyd	37	0.0634	0.002	132	0.0379	0.0011
ai	phoible	43	0.0478	0.0013	132	0.0379	0.0011
ai	ra	0	0.0	0.0	132	0.0379	0.0011
ai	saphon	2	0.0056	0.0002	132	0.0379	0.0011
ai	upsid	19	0.0422	0.0014	132	0.0379	0.0011
aiː	aa	0	0.0	0.0	1	0.0003	0.0
aiː	ea	0	0.0	0.0	1	0.0003	0.0
aiː	er	0	0.0	0.0	1	0.0003	0.0
aiː	jipa	0	0.0	0.0	1	0.0003	0.0
aiː	lapsyd	0	0.0	0.0	1	0.0003	0.0
aiː	phoible	0	0.0	0.0	1	0.0003	0.0
aiː	ra	0	0.0	0.0	1	0.0003	0.0
aiː	saphon	1	0.0028	0.0001	1	0.0003	0.0
