ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	Consonantal	Vocalic	Ratio	Phonemes
fwee1238-852	Fwe	fwee1238	Atlantic-Congo	Africa	-17.72372	24.43151	60	50	10	0	0	50	10	5.0	a aː bʷ d dʷ dʲʷ dz dʒ ɛ ɛ̃ f fʷ g gʷ gǀ h hʷ i ĩ j k kʷ ǀ ǀʰ lʷ m mʲ mʷ ɱ n nʷ ɲ ŋ ɔ ɔː p pʷ rʷ ɻ ɻʲ ɻʷ s sʷ ʃ ʃʷ t tʃ tʷ u uː v vʷ w z zʷ ʒ ʒʷ β βʲ βʷ
yeyi1239-853	Yeyi	yeyi1239	Atlantic-Congo	Africa	-18.9178	23.6088	88	75	13	0	0	75	13	5.769230769230769	a aː b bʲ bʷ c cʰ cʷʰ d dʲ dʷ dz dzʷ dʒ ɛ ɛ̃ ɛː f fʷ g gʲ gʷ gǀ gǃ h hʷ i iː j jʷ ɟ ɟʷ k kʰ kʲ kʷ kʷʰ ǀ ǀʰ ǀʷ ǀʷʰ ǃ ǃʰ m mʲ mʷ ɱ n̪ nʷ ɲ ɲʷ ŋ ŋʷ ɔ ɔ̃ ɔː p pʰ pʲ pʲʰ pʷ r rʷ ɻ ɻʲ s ʃ ʃʷ t̪ tʰ tʲ ts tsʰ tsʷʰ tʃ tʃʰ tʷ tʷʰ u ũ uː v vʷ w z ʒ β βʲ
cavi1250-854	Cavineña	cavi1250	Pano-Tacanan	South America	-13.3544	-66.6277	24	20	4	0	0	20	4	5.0	a b c ɕ d e h i j ɟ k kʷ ʎ m n ɲ p ɹ s t tɕ ts ʊ w
cham1318-855	Chamicuro	cham1318	Arawakan	South America	-5.1149	-75.6778	29	19	10	0	0	19	10	1.9	a aː ç e eː h i iː j k l ʎ m n ɲ o oː p r s ʂ ʃ t ts tʃ u uː w ʔ
chec1245-856	Chechen	chec1245	Nakh-Daghestanian	Eurasia	43.5	45.5	44	32	12	0	0	32	12	2.6666666666666665	a aː b c ç d̪ e eː g h ħ i iː j ɟ k k̰ l m n o oː p pʰ pʼ q q̰ qː r rʱ sː t̪ t̪ʰ t̪ʼ u uː ʊ ʊː v x z ʒ ʔ ʕ
chep1245-857	Chepang	chep1245	Sino-Tibetan	Eurasia	27.7206	84.9017	24	18	6	0	0	18	6	3.0	a b d̪ dz e ə g h i j k l̪ m n̪ ŋ o p r s t̪ ts u w ʔ
east2328-858	Eastern Mari	east2328	Uralic	Eurasia	55.8307	48.405	27	19	8	0	0	19	8	2.375	a b d̪ e ə g i j k l ʎ m n ɲ ŋ o ö p ɾ s ʃ t̪ tʃ u ü z ʒ
leal1235-859	Lealao Chinantec	leal1235	Otomanguean	North America	17.3162	-95.9265	35	28	7	0	0	28	7	4.0	a b d dʲ e f g gʲ gʷ h hʲ i ɨ j k kʲ kʷ l lʲ m n nʲ ɲ ŋ o ɵ p r s ʃ t tʲ u v ʔ
chol1282-860	Chol	chol1282	Mayan	North America	17.4897	-92.4698	26	20	6	0	0	20	6	3.3333333333333335	a b c cʼ e h i ɨ j k kʼ l m ɲ o p pʼ s ʃ tʲ tʼʲ ts tsʼ u w ʔ
chra1242-861	Chrau	chra1242	Austroasiatic	Eurasia	10.8021	107.293	33	20	11	0	2	20	13	1.8181818181818181	aː ɐ b ɓ c d ɗ eː əː ɛ ɛː g h i iː iaː j ɟ k l m n ɲ ŋ oː ɔː p ɽ s t̪ uː uaː w
barb1263-862	Barbareño	barb1263	Chumashan	North America	34.462	-119.699	40	34	6	0	0	34	6	5.666666666666667	a e h i ɨ j j̰ k k̰ kʰ l l̰ m m̰ n n̰ o p p̰ pʰ q q̰ qʰ s sʰ ʃ t t̰ tʰ ts ts̰ tsʰ tʃ tʃ̰ tʃʰ u w w̰ x ʔ
coeu1236-863	Coeur d'Alene	coeu1236	Salishan	North America	47.2958	-116.715	48	40	8	0	0	40	8	5.0	a b d dʒ e ə gʷ h i kʷ kʼʷ l lʼ ɬ m mʼ n nʼ o p pʼ q qʷ qʼʷ qʼ ɹˤ ɹ̰ˤ s ʃ t ts tsʼ tʃ tʃʼ tʼ u w wʼ xʷ y yˀ ʔ ʕ ʕʷ ʕʼʷ ʕʼ χ χʷ
