ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
norw1259-159	Norwegian Bokmål	norw1259	Indo-European	Eurasia	61.112	8.886	46	27	19	0	0	0	9	1.4210526315789473	b d̪ f h j kʰ l̪ l̪̩ m m̥ n̪ pʰ s t̪ʰ ç ŋ ɖ g ɭ ɭ̩ ɳ ɹ̩ ɾ ʃ ʈʰ ʋ ʔ a aː eː e̞ iː o̞ː u uː yː æ æː ø̞ː œ ə ɪ ʉ ʉː ʊ ʏ
stan1293-160	English	stan1293	Indo-European	Eurasia	53.0	-1.0	40	27	13	0	0	0	5	2.076923076923077	b d dʒ f h j kʰ l m n pʰ s tʰ tʃ v w x z ð ŋ g ɻ ʃ ʍ ʒ ʔ θ aː e̞ iː o̞ː uː æ ɐ ɒ ɔ ə əː ɪ ʊ
stan1295-161	German	stan1295	Indo-European	Eurasia	48.649	12.4676	39	23	16	0	0	0	8	1.4375	b d f h j kʰ l m n pf pʰ s ts tʰ v x z ŋ g ʀ ʃ ʒ ʔ aː eː iː oː uː yː øː œ ɐ ɔ ə ɛ ɛː ɪ ʊ ʏ
stan1290-162	French	stan1290	Indo-European	Eurasia	48.0	2.0	40	23	17	0	0	0	1	1.3529411764705883	b d f j k̟ l m n p r s t v w z ŋ g̟ ɥ ɦ ɲ ʀ ʃ ʒ a̟ e i o õ u y æ̃ ø ø̞ œ œ̃ ɒ ɒ̃ ɔ ɛ ɛː
port1283-163	Portuguese	port1283	Indo-European	Eurasia	39.91	-8.1	38	23	15	0	0	0	0	1.5333333333333334	b d̪ f j k l m n p s t̪ v w x z̪ ŋ g ɱ ɲ ɾ ʃ ʎ ʒ a e ẽ ĕ i ĩ ĭ o õ u ũ ŭ ɐ̃ ɔ ɛ
stan1288-164	Spanish	stan1288	Indo-European	Eurasia	40.4414	-1.11788	25	20	5	0	0	0	0	4.0	f j k l m n p r s t tʃ w x ð̚ ɣ ɲ ɾ ʎ β θ a e̞ i o̞ u
roma1327-165	Romanian	roma1327	Indo-European	Eurasia	46.3913	24.2256	31	22	9	0	0	0	0	2.4444444444444446	b d dʒ f h j k l m n p s t ts tʃ v w z g ɾ ʃ ʒ a e i o u ɔ̯ ə ɛ̯ ɨ
russ1263-166	Russian	russ1263	Indo-European	Eurasia	59.0	50.0	38	33	5	0	0	0	0	6.6	b bʲ d d̻ʲ f fʲ j k kʲ lʲ lˠ m mʲ n n̻ʲ p pʲ r rʲ s sʲ t ts tʃʲ t̻ʲ v vʲ x z zʲ g ʃˠ ʒˠ a̟ i o̞ u ɛ
bulg1262-167	Bulgarian	bulg1262	Indo-European	Eurasia	43.3646	25.047	49	37	12	0	0	0	0	3.0833333333333335	b bʲ d dz dʲ dʒ f fʲ j kʰ kʲʰ lʲ lˠ m mʲ n nʲ pʰ pʲʰ r rʲ s sʲ ts tsʲ tʰ tʲʰ tʃ v vʲ x z zʲ g gʲ ʃ ʒ i ĩ u ũ ɑ ɑ̃ ɔ ɔ̃ ɛ ɛ̃ ɤ ɤ̃
lith1251-168	Lithuanian	lith1251	Indo-European	Eurasia	55.1429	23.9601	47	36	11	0	0	0	6	3.272727272727273	b bʲ d dz dʲ dʒʲ j k k̟ lʲ lˠ m mʲ n p pʲ r rʲ s sʲ t ts tsʲ tʲ tʃʲ v vʲ x z g g̟ ɲ ʃ ʃʲ ʒ ʒʲ a aː eː iː oː uː æ æː ɔ ɪ ʊ
