ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
dolg1241-2255	Dolgan	dolg1241	Turkic	Eurasia	71.1083	94.2936	42	22	20	0	4	0	8	1.1	b c d dʒ h j m n p q r r̥ s t tʃ ŋ ɟ g ɢ lˠ ɬ ɲ i iɛ iː u uɔ uː y yœ yː œ œː ɑ ɑː ɔ ɔː ɛ ɛː ɯ ɯɑ ɯː
dark1243-2256	Darkhat	dark1243	Mongolic-Khitan	Eurasia	50.623	99.4449	39	20	19	0	4	0	8	1.0526315789473684	b d dz dʑ l m n p r s t ts tɕ v w x ŋ ɕ g ʝ ae̯ aː e eː i iː u uː y yi̯ yː æː œ̜ œ̜ː ɑ ɔ̜ ɔ̜ː ɞe̯ ʉi̯
jiar1240-2257	Northern Gyalrong	jiar1240	Sino-Tibetan	Eurasia	31.60295	102.22875	63	52	11	0	2	0	0	4.7272727272727275	b c cʰ d dz dʒ f j k kʰ l l̥ m ⁿb n ⁿd ⁿdz ⁿdʒ p pʰ q qʰ r s t ts tsʰ tʰ tʃ tʃʰ v w x z ŋ ⁿg ɖʐ ɟ g ɣ ɲ ⁿɟ ⁿɖʐ ⁿɢ ʁ ʂ ʃ ʈʂ ʈʂʰ ʒ ʔ χ a e i o oi̯ u ɐ ɐi̯ ɔ ə ɛ
juan1238-2258	Juang	juan1238	Austroasiatic	Eurasia	21.2606	85.5845	37	19	18	0	0	0	6	1.0555555555555556	b c d j k l m n p r s t ŋ ɖ ɟ g ɭ ɲ ʈ a aː ã e eː ẽ i iː ĩ o oː õ u uː ũ ɔ ɔː ɔ̃
sout2697-2259	South Azerbaijani	sout2697	Turkic	Eurasia	36.5137	48.4302	33	24	9	0	0	0	0	2.6666666666666665	b cç d̪ dz̪ f h j k l m n̪ p s t̪ ts̪ v x z ɟʝ g ɣ ɾ ʃ ʒ e i o u y æ œ ɑ ɯ
kild1236-2260	Kildin Saami	kild1236	Uralic	Eurasia	68.2158	35.8348	128	113	15	0	3	46	6	7.533333333333333	b bʲ bʲː b̥ː c d dz dzʲ dʑ dʲ dz̥ dz̥ʲ dʑ̥ d̥ː f fʲ fʲː fː k kʲ kʲː kː l lʲ lʲː lː l̥ l̥ʲ l̥ʲː l̥ː m mʲ mʲː mː m̥ m̥ʲ m̥ʲː m̥ː n nʲ nʲː nː n̥ n̥ʲ n̥ʲː n̥ː p pʲ pʲː pː r rʲ rʲː rː r̥ r̥ʲ r̥ʲː r̥ː s sʲ sʲː sː t ts tsʲ tsʲː tsː tɕ tɕː tʲ tː x xʲ xʲː xː z zʲ zʲː zː ç çː ŋ ŋʲ ŋʲː ŋː ɕ ɕː ɟ g gʲ gʲː g̥ː ɲ ɲː ʂ ʂː ʐ ʑ ʝ ʝː ʰk ʰkʲ ʰp ʰpʲ ʰt ʰts ʰtsʲ ʰtɕ ʰtʲ β βʲ βʲː βː äː e̞ e̞ː i iː o̞ o̞ä o̞ː u uä ue̞ uː ɐ ɨ ɨː
russ1263-2261	Russian	russ1263	Indo-European	Eurasia	59.0	50.0	42	36	6	0	0	1	0	6.0	b bʲ d̪ d̪ʲ f fʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ tɕ t̪ ts̪ t̪ʲ v vʲ x xʲ z zʲ ɕː g gʲ ɾʲ ʂ ʐ a e i o u ɨ
iris1253-2262	Irish	iris1253	Indo-European	Eurasia	53.2186	-7.61509	49	35	14	0	3	0	0	2.5	bʲ bˠ c d̠ʲ d̪ˠ fʲ fˠ h j k l l̠ʲ l̪ˠ mʲ mˠ n n̠ʲ n̪ˠ pʲ pˠ sˠ t̠ʲ t̪ˠ vʲ w x ç ŋ ɕ ɟ g ɣ ɲ ɾʲ ɾˠ a au e i ia o u ua æ ɔ ɛ ɤ ɪ ʌ
lowa1242-2263	Lowa	lowa1242	Sino-Tibetan	Eurasia	29.0324	83.8959	43	35	8	0	0	0	0	4.375	b d dz dʒ h j k kʰ l l̥ m n p pʰ r r̥ s t ts tsʰ tʰ tʃ tʃʰ w z ç ŋ ɖ g ɦ ɲ ʃ ʈ ʈʰ ʔ a e i o u æ ɵ ʉ
stod1241-2264	Stod Bhoti	stod1241	Sino-Tibetan	Eurasia	32.497	77.116	41	35	6	0	0	0	0	5.833333333333333	b bʱ c cʰ dʒ d̪ d̪ʱ h j k kʰ l m n p pʰ r tʃ tʃʰ t̪ t̪ʰ w z ŋ ɖ ɖʱ ɟ ɟʱ g gʱ ɲ ʃ ʈ ʈʰ ʒ a e i o u ə
dani1285-2265	Danish	dani1285	Indo-European	Eurasia	54.8655	9.36284	26	15	11	0	0	0	0	1.3636363636363635	f h j k kʰ l m n p pʰ s t tsʰ ʁ ʋ a e i o u y ø œ ɔ ə ɛ
