Dataset	Macroarea	Num_Phonemes_Number	Num_Phonemes_Mean	Num_Phonemes_Proportion_NonZero	Num_Consonants_Number	Num_Consonants_Mean	Num_Consonants_Proportion_NonZero	Num_Vowels_Number	Num_Vowels_Mean	Num_Vowels_Proportion_NonZero	Num_Long_Consonants_Number	Num_Long_Consonants_Mean	Num_Long_Consonants_Proportion_NonZero	Num_Long_Vowels_Number	Num_Long_Vowels_Mean	Num_Long_Vowels_Proportion_NonZero	Num_Diphthongs_Number	Num_Diphthongs_Mean	Num_Diphthongs_Proportion_NonZero	Num_Phonemes_All_Proportion	Num_Consonants_All_Proportion	Num_Vowels_All_Proportion	Num_Long_Consonants_All_Proportion	Num_Long_Vowels_All_Proportion	Num_Diphthongs_All_Proportion	Num_Phonemes_Dataset_Proportion	Num_Consonants_Dataset_Proportion	Num_Vowels_Dataset_Proportion	Num_Long_Consonants_Dataset_Proportion	Num_Long_Vowels_Dataset_Proportion	Num_Diphthongs_Dataset_Proportion	Number_Inventories	Global_All_Proportion	Global_Dataset_Proportion
ea	GLOBAL	15396	42.5304	1.0000	10674	29.4862	1.0000	4076	11.2597	1.0000	198	0.5470	0.0608	1162	3.2099	0.4834	644	1.7790	0.3508	1.2672	1.2614	1.1764	1.1079	1.4922	2.9951	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	362	0.1040	1.0000
ea	Papunesia	218	24.2222	1.0000	170	18.8889	1.0000	48	5.3333	1.0000	0	0.0000	0.0000	5	0.5556	0.1111	0	0.0000	0.0000	1.0059	1.1302	0.7933	0.0000	0.8961	0.0000	0.5695	0.6406	0.4737	0.0000	0.1731	0.0000	9	0.0026	0.0249
er	Australia	9399	24.0384	1.0000	7380	18.8747	1.0000	2019	5.1637	1.0000	0	0.0000	0.0000	550	1.4066	0.4655	0	0.0000	0.0000	0.9991	0.9997	0.9984	0.0000	1.0279	0.0000	1.0000	1.0000	1.0000	nan	1.0000	nan	391	0.1124	1.0000
er	GLOBAL	9399	24.0384	1.0000	7380	18.8747	1.0000	2019	5.1637	1.0000	0	0.0000	0.0000	550	1.4066	0.4655	0	0.0000	0.0000	0.7162	0.8074	0.5395	0.0000	0.6539	0.0000	1.0000	1.0000	1.0000	nan	1.0000	nan	391	0.1124	1.0000
jipa	Africa	1260	50.4000	1.0000	874	34.9600	1.0000	373	14.9200	1.0000	127	5.0800	0.2400	140	5.6000	0.6400	13	0.5200	0.1600	1.3009	1.2915	1.3049	5.3904	1.9771	2.9916	1.2108	1.2213	1.3489	1.9652	1.9100	0.2682	25	0.0072	0.1701
jipa	Australia	101	33.6667	1.0000	82	27.3333	1.0000	17	5.6667	1.0000	0	0.0000	0.0000	6	2.0000	0.6667	2	0.6667	0.3333	1.3993	1.4477	1.0957	0.0000	1.4614	80.5000	0.8088	0.9548	0.5123	0.0000	0.6821	0.3439	3	0.0009	0.0204
jipa	Eurasia	3656	43.0118	1.0000	2416	28.4235	1.0000	977	11.4941	1.0000	155	1.8235	0.1294	222	2.6118	0.3765	263	3.0941	0.4588	1.0456	1.0103	1.0167	2.8283	0.9095	1.8276	1.0333	0.9929	1.0391	0.7054	0.8908	1.5959	85	0.0244	0.5782
jipa	GLOBAL	6119	41.6259	1.0000	4208	28.6259	1.0000	1626	11.0612	1.0000	380	2.5850	0.1701	431	2.9320	0.4218	285	1.9388	0.3129	1.2402	1.2246	1.1556	5.2363	1.3630	3.2641	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	147	0.0422	1.0000
jipa	North America	507	42.2500	1.0000	381	31.7500	1.0000	122	10.1667	1.0000	59	4.9167	0.4167	48	4.0000	0.7500	4	0.3333	0.0833	1.2606	1.2990	1.1556	12.3941	1.5895	1.2040	1.0150	1.1091	0.9191	1.9020	1.3643	0.1719	12	0.0034	0.0816
jipa	Papunesia	413	27.5333	1.0000	319	21.2667	1.0000	91	6.0667	1.0000	39	2.6000	0.2000	10	0.6667	0.1333	3	0.2000	0.0667	1.1434	1.2724	0.9024	9.2733	1.0754	0.3226	0.6614	0.7429	0.5485	1.0058	0.2274	0.1032	15	0.0043	0.1020
jipa	South America	182	26.0000	1.0000	136	19.4286	1.0000	46	6.5714	1.0000	0	0.0000	0.0000	5	0.7143	0.1429	0	0.0000	0.0000	0.9946	1.1669	0.7037	0.0000	0.5844	0.0000	0.6246	0.6787	0.5941	0.0000	0.2436	0.0000	7	0.0020	0.0476
lapsyd	Africa	3694	36.2157	1.0000	2592	25.4118	1.0000	1076	10.5490	1.0000	3	0.0294	0.0196	327	3.2059	0.5098	23	0.2255	0.0588	0.9348	0.9388	0.9226	0.0312	1.1318	1.2972	1.1575	1.1863	1.1296	0.9542	1.4248	0.4434	102	0.0293	0.1747
lapsyd	Australia	1262	24.2692	1.0000	968	18.6154	1.0000	294	5.6538	1.0000	0	0.0000	0.0000	86	1.6538	0.5000	0	0.0000	0.0000	1.0087	0.9860	1.0932	0.0000	1.2085	0.0000	0.7757	0.8690	0.6054	0.0000	0.7350	0.0000	52	0.0149	0.0890
lapsyd	Eurasia	4827	38.0079	1.0000	3274	25.7795	1.0000	1405	11.0630	1.0000	2	0.0157	0.0079	340	2.6772	0.4016	148	1.1654	0.2598	0.9240	0.9163	0.9786	0.0244	0.9323	0.6883	1.2148	1.2035	1.1846	0.5109	1.1899	2.2915	127	0.0365	0.2175
lapsyd	GLOBAL	18272	31.2877	1.0000	12510	21.4212	1.0000	5454	9.3390	1.0000	18	0.0308	0.0120	1314	2.2500	0.3973	297	0.5086	0.1199	0.9322	0.9164	0.9757	0.0624	1.0460	0.8562	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	584	0.1678	1.0000
lapsyd	North America	2927	32.8876	1.0000	2061	23.1573	1.0000	860	9.6629	1.0000	4	0.0449	0.0112	314	3.5281	0.6966	6	0.0674	0.0562	0.9812	0.9474	1.0984	0.1133	1.4020	0.2435	1.0511	1.0810	1.0347	1.4582	1.5680	0.1326	89	0.0256	0.1524
lapsyd	Papunesia	2684	24.1802	1.0000	1808	16.2883	1.0000	792	7.1351	1.0000	5	0.0450	0.0090	85	0.7658	0.1441	76	0.6847	0.1532	1.0041	0.9746	1.0613	0.1607	1.2352	1.1044	0.7728	0.7604	0.7640	1.4615	0.3403	1.3463	111	0.0319	0.1901
lapsyd	South America	2878	27.9417	1.0000	1807	17.5437	1.0000	1027	9.9709	1.0000	4	0.0388	0.0194	162	1.5728	0.2427	44	0.4272	0.0874	1.0689	1.0537	1.0677	0.5646	1.2868	2.7841	0.8931	0.8190	1.0677	1.2600	0.6990	0.8400	103	0.0296	0.1764
phoible	Africa	21152	40.2129	1.0000	15043	28.5989	1.0000	5960	11.3308	1.0000	711	1.3517	0.0913	1586	3.0152	0.4144	99	0.1882	0.0380	1.0380	1.0565	0.9910	1.4343	1.0645	1.0828	1.0844	1.1030	1.0895	1.2476	1.1520	0.2694	526	0.1511	0.5851
phoible	Australia	305	25.4167	1.0000	236	19.6667	1.0000	67	5.5833	1.0000	1	0.0833	0.0833	16	1.3333	0.4167	2	0.1667	0.0833	1.0564	1.0417	1.0796	8.0500	0.9743	20.1250	0.6854	0.7585	0.5368	0.0769	0.5094	0.2386	12	0.0034	0.0133
phoible	Eurasia	5365	41.5891	1.0000	3501	27.1395	1.0000	1494	11.5814	1.0000	182	1.4109	0.0853	417	3.2326	0.4574	370	2.8682	0.4496	1.0110	0.9646	1.0245	2.1883	1.1257	1.6942	1.1215	1.0467	1.1135	1.3022	1.2350	4.1059	129	0.0371	0.1435
phoible	GLOBAL	33337	37.0823	1.0000	23309	25.9277	1.0000	9350	10.4004	1.0000	974	1.0834	0.0790	2353	2.6174	0.3882	628	0.6986	0.1201	1.1049	1.1092	1.0866	2.1946	1.2167	1.1761	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	899	0.2583	1.0000
phoible	North America	2418	34.5429	1.0000	1729	24.7000	1.0000	652	9.3143	1.0000	26	0.3714	0.0714	194	2.7714	0.5429	37	0.5286	0.1143	1.0306	1.0105	1.0587	0.9363	1.1013	1.9092	0.9315	0.9526	0.8956	0.3428	1.0589	0.7567	70	0.0201	0.0779
phoible	Papunesia	2994	24.7438	1.0000	2084	17.2231	1.0000	813	6.7190	1.0000	46	0.3802	0.0413	83	0.6860	0.1488	97	0.8017	0.1488	1.0275	1.0305	0.9994	1.3559	1.1065	1.2931	0.6673	0.6643	0.6460	0.3509	0.2621	1.1476	121	0.0348	0.1346
