ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
iyiv1238-1664	Iyive	iyiv1238	Atlantic-Congo	Africa	6.50437	9.53302	60	53	7	0	0	0	0	7.571428571428571	b bʷ d dz dzʷ dʲ dʒ f fʷ h hʲ hʷ j k kp kʷ lʲ lʷ m ⁿb ⁿbʷ mʷ n ⁿd ⁿdz ⁿdzʷ ⁿz ⁿdʒ p pʷ s sʷ t ts tsʷ tʲ tʷ tʃ tʃʷ v w ŋ ⁿgb ⁿg ⁿgʲ ⁿgʷ g gb gʲ gʷ ɲ ʃ ʃʷ a i o u ɔ ə ɛ
bata1293-1665	Batak Karo	bata1293	Austronesian	Papunesia	2.12787	98.2517	24	16	8	0	0	0	0	2.0	b d dʒ h k l m n p r s t tʃ w ŋ g a e i o u y ə ɯ
taga1270-1666	Tagalog	taga1270	Austronesian	Papunesia	14.06	121.747	24	19	5	0	0	0	0	3.8	b c d f h j k l m n p r s t w ŋ ɟ g ʔ a e i o u
sout2918-1667	Southern Sama	sout2918	Austronesian	Papunesia	4.755836	119.483887	23	17	6	0	0	0	0	2.8333333333333335	b d h j k l m n p s t w ŋ ɟ g ɲ ʔ a e i o u ə
kima1244-1668	Kimaragang	kima1244	Austronesian	Papunesia	6.61982	116.96	23	18	5	0	0	0	0	3.6	b d dʒ j k l m n p s t w ŋ ɓ ɗ g ɾ ʔ a e i u ɤ
bela1260-1669	Lemeting	bela1260	Austronesian	Papunesia	4.96207	114.933	25	19	6	0	1	0	0	3.1666666666666665	b c d h j k l m n p s t w ŋ ɟ g ɲ ʁ ʔ a e i iə o u
ilok1237-1670	Iloko	ilok1237	Austronesian	Papunesia	15.9361	120.993	23	17	6	0	0	0	0	2.8333333333333335	b d h j k l m n p r s t ts w ŋ g ʔ a e i u ɔ ɛ
east2563-1671	Eastern Cham	east2563	Austronesian	Eurasia	11.2853	108.49	30	21	9	0	0	0	0	2.3333333333333335	c cʰ h j k kʰ l m n p pʰ r s t tʰ w ŋ ɓ ɗ ɲ ʔ a e i o u ɔ ə ɛ ɨ
mokl1243-1672	Moklen	mokl1243	Austronesian	Eurasia	8.16761	98.3176	46	19	27	0	8	0	9	0.7037037037037037	b d h k kʰ l m n p pʰ t tʰ tʃ tʃʰ w ŋ g ɲ ʔ a au̯ ay aː e eː i ia iː o oː u uy uə uː y ɔ ɔː ə əy əː ɛ ɛo ɛː ɯ ɯə ɯː
moke1242-1673	Moken	moke1242	Austronesian	Eurasia	10.1474	98.6765	38	20	18	0	2	0	7	1.1111111111111112	b d dʒ h k kʰ l m n p pʰ t tʰ tʃ tʃʰ w ŋ g ɲ ʔ a aː e ea eː i iː o oa oː u uː y ɔ ɔː ə ɛ ɛː
nias1242-1674	Nias	nias1242	Austronesian	Papunesia	0.90691	97.4961	25	19	6	0	0	0	0	3.1666666666666665	b d dʳ dʒ f h j k m n s t tʃ v w x g ʋ ʔ a e i o u ɤ
java1254-1675	Javanese	java1254	Austronesian	Papunesia	-7.001	109.287	33	24	9	0	0	0	0	2.6666666666666665	b d dʒ f h k l m n p r s t tʃ w x z ŋ ɖ g ɲ ʃ ʈ ʔ a e i o u y ɔ ə ɛ
buol1237-1676	Buol	buol1237	Austronesian	Papunesia	0.97727	121.519	23	17	6	0	0	0	0	2.8333333333333335	b d dʒ h k l m n p r s t̪ w ŋ g ʔ β a e i o u y
maka1311-1677	Makasar	maka1311	Austronesian	Papunesia	-5.65551	119.838	23	18	5	0	0	0	0	3.6	b c d h j k l m n p r s t w ŋ ɟ g ɲ a e i o u
mori1268-1678	Mori Bawah	mori1268	Austronesian	Papunesia	-2.56016	121.37	27	22	5	0	0	0	0	4.4	b d h k l m ⁿb ⁿp n ⁿd ⁿs ⁿt p r s t ŋ ⁿk ⁿg g ʔ β a e i o u
kamb1299-1679	Kambera	kamb1299	Austronesian	Papunesia	-9.88447	120.235	29	19	10	0	2	0	3	1.9	dʒ h j k l m ⁿb n ⁿd ⁿdʒ p r t w ŋ ⁿg ɓ ɗ ɲʲ a ai au aː e i iː o u uː
tetu1245-1680	Tetum	tetu1245	Austronesian	Papunesia	-9.11217	125.528	18	13	5	0	0	0	0	2.6	b d f h k l m n r s t w ʔ a e i o u
leti1246-1681	Leti (Indonesia)	leti1246	Austronesian	Papunesia	-8.19808	127.674	22	10	12	0	0	0	5	0.8333333333333334	d k l m n p r s t β a aː e eː i iː o oː u uː ɔ ɛ
east2440-1682	East Makian	east2440	Austronesian	Papunesia	0.07337	127.423	23	18	5	0	0	0	0	3.6	b d dʒ f j k l m n p r s t tʃ w ŋ g ʔ a e i o u
biak1248-1683	Biak	biak1248	Austronesian	Papunesia	-0.9523	135.879	19	14	5	0	0	0	0	2.8	b d j k m n p r s t w g ɸ β a e i o u
ambo1250-1684	Ambonese Malay	ambo1250	Austronesian	Papunesia	-3.71342	128.184	23	18	5	0	0	0	0	3.6	b c d f j k l m n p r s t w ŋ ɟ g ɲ a e i o u
band1353-1685	Banda Malay	band1353	Austronesian	Papunesia	-4.55565	129.905	23	18	5	0	0	0	0	3.6	b c d f j k l m n p r s t w ŋ ɟ g ɲ a e i o u
mala1481-1686	Manado Malay	mala1481	Austronesian	Papunesia	1.48099	124.843	25	19	6	0	0	0	0	3.1666666666666665	b c d f j k l m n p r s t w ŋ ɟ g ɲ ʔ a e i o u ə
kupa1239-1687	Kupang Malay	kupa1239	Austronesian	Papunesia	-10.2526	123.63	25	19	6	0	0	0	0	3.1666666666666665	b c d f j k l m n p r s t w ŋ ɟ g ɲ ʔ a e i o u ə
lara1260-1688	Larantuka Malay	lara1260	Austronesian	Papunesia	-8.4746	122.7619	25	19	6	0	0	0	0	3.1666666666666665	b c d f j k l m n p r s t w ŋ ɟ g ɲ ʔ a e i o u ə
nort2828-1689	North Moluccan Malay	nort2828	Austronesian	Papunesia	-0.86437	128.323	27	21	6	0	0	0	0	3.5	b c d f j k l m n p r s t w x ŋ ɟ g ɲ ʃ ʔ a e i o u ə
indo1316-1690	Indonesian	indo1316	Austronesian	Papunesia	-7.33458	109.716	31	23	8	0	0	0	0	2.875	b d dʒ f h k l m n p r s t tʃ v w x z ŋ g ɲ ʃ ʔ a e i o u y ə ɛ
nucl1460-1691	Madurese	nucl1460	Austronesian	Papunesia	-7.0	113.0	35	27	8	0	0	0	0	3.375	b c cʰ d̪ f h j k kʰ l m n p pʰ r s t̪ t̪ʰ w ŋ ɖ ɟ g ɲ ʈ ʈʰ ʔ a i u ɔ ə ɛ ɤ ɨ
cebu1242-1692	Cebuano	cebu1242	Austronesian	Papunesia	8.38799	124.367	21	18	3	0	0	0	0	6.0	b d dʒ h j k l m n p r s t tʃ w ŋ g ʔ a i u
bali1278-1693	Balinese	bali1278	Austronesian	Papunesia	-8.35714	115.075	24	18	6	0	0	0	0	3.0	b d dʒ h j k l m n p r s t tʃ w ŋ g ɲ a e i o u ə
bugi1244-1694	Buginese	bugi1244	Austronesian	Papunesia	-4.47	119.977	25	19	6	0	0	0	0	3.1666666666666665	b d dʒ h j k l m n p r s t tʃ w ŋ g ɲ ʔ a e i o u ə
cent2087-1695	Coastal-Naga Bikol	cent2087	Austronesian	Papunesia	13.7574	123.403	28	23	5	0	0	0	0	4.6	b d dz f j k l m n p r s t ts v w z ŋ g ɲ ʃ ʎ ʔ a e i o u
hili1240-1696	Hiligaynon	hili1240	Austronesian	Papunesia	10.4018	122.974	25	20	5	0	0	0	0	4.0	b d dʒ f h j k l m n p r s t tʃ v w ŋ g ʔ a e i o u
pamp1243-1697	Pampanga	pamp1243	Austronesian	Papunesia	14.9603	120.502	22	17	5	0	0	0	0	3.4	b d dʒ h k l m n p r s t tʃ w ŋ g ʔ a e i o u
mina1268-1698	Minangkabau	mina1268	Austronesian	Papunesia	-0.896	100.44	33	23	10	0	5	0	0	2.3	b d dʒ f h j k l m n p r s t tʃ w x z ŋ g ɲ ʃ ʔ a ai̯ au e i iə o u ui̯ uə
pang1290-1699	Pangasinan	pang1290	Austronesian	Papunesia	15.9377	120.365	21	16	5	0	0	0	0	3.2	b d dʒ j k l m n p s t tʃ w ŋ g ʔ a e i o u
teng1272-1700	Tengger	teng1272	Austronesian	Papunesia	-7.89069	113.037	42	20	22	0	0	0	0	0.9090909090909091	h j k l m ⁿp n ⁿt ⁿtʃ p r t tʃ w ŋ ⁿk ɲ ⁿʈ ʈ ʔ e e̤ i i̤ o o̤ u ṳ ɑ ɑ̤ ɒ ɒ̤ ɔ ɔ̤ ə ə̤ ɛ ɛ̤ ɪ ɪ̤ ʊ ʊ̤
amha1245-2156	Amharic	amha1245	Afro-Asiatic	Africa	11.708182	39.543456	68	61	7	0	0	29	0	8.714285714285714	b bʷ bʷː bː d dː dʒ dʒː f fʷ fʷː fː h hː j jː k kʷ kʼʷ kʼʷː kʷː kː l lː m mʷ mʷː mː n nː p pʼʷ pʼ pʼː r rː s sː t tʼ tʼː tː tʃ tʃʼ tʃʼː tʃː w wː z zː ŋ ŋː g gʷ gʷː gː ɲ ʃ ʃː ʒ ʒː a e i o u ə ɨ
stan1318-2157	Standard Arabic	stan1318	Afro-Asiatic	Eurasia	27.9625	43.8525	37	29	8	0	2	0	3	3.625	b d̙ˤ d̪ dʒ f h j kʰ l lˤ m n̪ q r s s̙ˤ t̪ʰ t̪̙ˤ w xʀ̥ z ð ð̙ˤ ħ ɣ ʃ ʔ ʕ̙ θ a ai au aː i i̯ː u u̯ː
east2379-2158	Eastern Arrernte	east2379	Pama-Nyungan	Australia	-23.3583	135.046	31	27	4	0	0	0	0	6.75	bⁿ dⁿ d̪ⁿ j k kⁿ l lʲ l̪ m n n̪ p t tʲ t̪ w ŋ ȵ ȶⁿ ɖⁿ ɭ ɰ ɳ ɻ ɾ ʈ a i u ə
assa1263-2159	Assamese	assa1263	Indo-European	Eurasia	26.0876	91.2932	33	23	10	0	0	0	0	2.3	b bʱ d dʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ g gʱ ɹ i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃
bard1255-2160	Bardi	bard1255	Nyulnyulan	Australia	-16.6274	122.906	25	18	7	0	0	0	3	2.5714285714285716	c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻ a aː i iː o u uː
basq1248-2161	Basque	basq1248		Eurasia	43.2787	-1.31622	33	23	10	0	5	0	0	2.3	b c d̪ f j k l m n p r s̪̻ s̺ tʃ t̪ ts̪̻ ts̺ x g ɲ ɾ ʃ ʎ a ai̯ au̯ e ei̯ eu̯ i o oi̯ u
beng1280-2162	Bengali	beng1280	Indo-European	Eurasia	24.0	90.0	72	49	23	0	15	21	1	2.130434782608696	b bʱ bʱː bː d dʑ dʑʱ dʑʱː dʑː dʱ dː d̪ d̪ʱ d̪ʱː d̪ː f h k kʰ kʰː kː l lː m mː n nː p pː s t tɕ tɕʰ tɕʰː tɕː tʰ tʰː tː t̪ t̪ʰ t̪ʰː t̪ː ŋ g gʱ gː ɹ ʃ ʃː a ae ai ao au e ei eu i iu o oe oi oː ou u ui ɔ ɔe ɔo ɛ ɛe ɛo
bulg1262-2163	Bulgarian	bulg1262	Indo-European	Eurasia	43.3646	25.047	30	23	7	0	0	0	0	3.2857142857142856	b d̟ dz̟ dʒ̟ f j k l̟ m n p r̟ s̟ t̟ ts̟ tʃ̟ v x z̟ g ɣ ʃ ʒ a i o u ɐ ɔ ɛ
yuec1235-2166	Yue Chinese	yuec1235	Sino-Tibetan	Eurasia	23.0	113.0	42	21	21	0	10	0	0	1.0	f h j k kʰ kʷ kʷʰ l m n p pʰ r s t ts tsʰ tʰ w ŋ β aːĭ aːŭ a̞ ei i iːŭ ou u uːĭ y œ̞ ɐ ɐi ɐu ɔːĭ ɔ̽ ɛ ɪ̞ ɵ ɵy ʊ̟
dani1285-2167	Danish	dani1285	Indo-European	Eurasia	54.8655	9.36284	69	20	49	0	34	0	0	0.40816326530612246	b̥ b̥ʰ d̥ dz̥ f h j l m n r s w ɹ̪ ŋ ɕ g̊ g̊ʰ ʁ̞ ʋ a e eu̯ eʌ̯ i iu̯ iʌ̯ i̯a i̯e i̯o i̯u i̯y i̯æ i̯ø i̯œ i̯œ̞ i̯ɑ i̯ɒ i̯ɔ i̯ɛ i̯ʌ o oʌ̯ u ui̯ uʌ̯ y yu̯ yʌ̯ æ æu̯ æʌ̯ ø øu̯ øʌ̯ œ œi̯ œu̯ œ̞ œ̞ʌ̯ ɑ ɑi̯ ɑu̯ ɒ ɒu̯ ɔ ɛ ɛu̯ ʌ
sout2832-2168	Southwestern Dinka	sout2832	Nilotic	Africa	8.81115	28.0613	59	20	39	0	0	0	26	0.5128205128205128	b c d d̪ j k l m n n̪ p r t t̪ w ŋ ɟ g ɰ ɲ a aː aˑ a̤ a̤ː a̤ˑ e eː eˑ e̤ e̤ː e̤ˑ i iː iˑ i̤ i̤ː i̤ˑ o oː oˑ o̤ o̤ː o̤ˑ ṳ ṳː ṳˑ ɔ ɔː ɔˑ ɔ̤ ɔ̤ː ɔ̤ˑ ɛ ɛː ɛˑ ɛ̤ ɛ̤ː ɛ̤ˑ
dutc1256-2169	Dutch	dutc1256	Indo-European	Eurasia	52.0	5.0	37	22	15	0	3	0	5	1.4666666666666666	b d f j k l m n p r s t v w x z ŋ ɣ ɦ ʃ ʒ ʔ aː eː i oː u yː øː œy ɑ ɔ ɔu ɛ ɛi ɪ ʏ
dutc1256-2170	Dutch	dutc1256	Indo-European	Eurasia	52.0	5.0	55	22	33	0	7	0	15	0.6666666666666666	b d dʒ f h j k l m n p r s t v x z ŋ g ɣ ʃ β̞ aɪ aː eɪ eː i iː ou oː u uɪ uː y yː æ æ̃ː ø øɪ øː œ œː œ̃ː ɑ ɑː ɑ̃ː ɔ ɔɪ ɔː ɔ̃ː ə ɛ ɛː ɪ ɪə
dutc1256-2173	Dutch	dutc1256	Indo-European	Eurasia	52.0	5.0	58	22	36	0	13	0	12	0.6111111111111112	b d f j k l m n p s t v x z ŋ ɣ ɦ ʀ ʃ ʒ ʔ β̞ aː eː i iː iːə oː oːə u uː uːə y yː yːə æ æː øː œ œy œyː œː ɑ ɑu ɑuː ɑː ɔ ɔu ɔuː ɔː ɔːə ə ɛ ɛi ɛiː ɛː ɪ ʏ
dutc1256-2174	Dutch	dutc1256	Indo-European	Eurasia	52.0	5.0	57	24	33	0	12	0	10	0.7272727272727273	b d f h j k kʲ l m n p pʲ r s t tʲ v x z ŋ ɣ ʃ ʒ β̞ a aɪ aʊ aː ei eə eː iə iː o oː uɪ uː y yː øy øː œ œʏ œː ɒ ɒː ɔ ə əʊ ɛ ɛə ɛɪ ɛː ɞʊ ɪ ʊ ʏ
stan1293-2175	English	stan1293	Indo-European	Eurasia	53.0	-1.0	39	24	15	0	6	0	2	1.6	b d dʒ f h j kʰ l m n pʰ s tʰ tʃ v w z ð ŋ g ɹ ʃ ʒ θ aɪ aʊ eɪ̯ iɪ oʊ uː æ ɑ ɔɪ ə ə˞ː ɛ ɪ ʊ ʌ
stan1293-2176	English	stan1293	Indo-European	Eurasia	53.0	-1.0	39	24	15	0	5	0	0	1.6	b d dʒ f h j kʰ l m n pʰ s tʰ tʃ v w z ð ŋ g ɹ ʃ ʒ θ aɪ aʊ ei i oʊ u æ ɑ ɔ ɔɪ ə˞ ɛ ɪ ʊ ʌ
stan1293-2177	English	stan1293	Indo-European	Eurasia	53.0	-1.0	44	25	19	0	7	0	6	1.3157894736842106	b d dʒ f h j k kʰ l m n pʰ s tʰ tʃ v w z ð ŋ g ɹ ʃ ʒ θ e eː iː oɪ oː æ æɔ æɪ ɐ ɐː ɑe ɔ əʉ ɜː ɪ ɪə ʉː ʊ ʊə
stan1293-2178	English	stan1293	Indo-European	Eurasia	53.0	-1.0	40	24	16	0	5	0	5	1.5	b d dʒ f h j kʰ l m n pʰ s tʰ tʃ v w z ð ŋ g ɹ ʃ ʒ θ a aɪ aʊ eɪ eː iː ɑː ɒ ɔɪ ɔː ə ɛ ɛʉ ɪ ʉː ʊ
stan1293-2179	English	stan1293	Indo-European	Eurasia	53.0	-1.0	45	24	21	0	9	0	5	1.1428571428571428	b d dʒ f h j kx l m n pʰ s ts tʃ v w z ð ŋ g ɹ ʃ ʒ θ e eə i iə iː oe oː æe æo ɐ ɐʉ ɐː ɑe ɒ ɒɯ ɘ ɛ ɵː ʉə ʉː ʊ
stan1293-2180	English	stan1293	Indo-European	Eurasia	53.0	-1.0	39	24	15	0	0	0	9	1.6	b d dʒ f h j k l m n pʰ s tʰ tʃ v w z ð ŋ g ɹ ʃ ʒ θ a aː eː iː oː uː øː ɒ ɒː ɔː ə ɛ ɛː ɪ ʊ
esto1258-2181	Estonian	esto1258	Uralic	Eurasia	58.55	25.82	54	45	9	0	0	28	0	5.0	f fː fˑ h j k kː kˑ l lʲ lʲː lʲˑ lː lˑ m mː mˑ n nʲ nʲː nʲˑ nː nˑ p pː pˑ r rː rˑ s sʲ sʲː sʲˑ sː sˑ t tʲ tʲː tʲˑ tː tˑ v ʃ ʃː ʃˑ e i o u y æ ø ɑ ɤ
