ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	Consonantal	Vocalic	Ratio	Phonemes
kabardianturkish	Kabardian (Turkish)	kaba1278	Abkhaz-Adyge [abkh1242]	Eurasia	43.5082	43.3918	47	44	3	0	0	44	3	14.666666666666666	pʰ b f pʼ fʼ ɬ tʼ tsʼ ɬʼ tʰ ts d dz s z ʃ ʒ ʃʼ ç ʝ kʼʲ gʲ kʼʷ kʷʰ xʷ gʷ qʰ qʼʷ qʷʰ qʼ χ χʷ ʁ ʁʷ ħ h ʔ ʔʷ w m n l ɾ j ə ɐ aː
italian	Italian	ital1282	Indo-European [indo1319]	Eurasia	43.0464	12.6489	30	23	7	0	0	23	7	3.2857142857142856	p b f v m w t̪ d̪ ts dz s z n l ɾ tʃ dʒ ʃ ɲ ʎ j k g i e ɛ a ɔ o u
danish	Danish	dani1285	Indo-European [indo1319]	Eurasia	54.8655	9.36284	26	15	11	0	0	15	11	1.3636363636363635	pʰ p ts t kʰ k m n f s ʋ h j ʁ l i e ɛ a y ø œ u o ɔ ə
faroese	Faroese	faro1244	Indo-European [indo1319]	Eurasia	62.0732	-6.88497	36	16	12	0	8	16	20	1.3333333333333333	pʰ p f v m tʰ t s n r l ʃ j kʰ k h iː ɪ eː ɛ ʏ øː œ a uː ʊ oː ɔ ʊɪ ɛɪ ɔɪ aɪ ʉu ɔu ɛa ɔa
swedishcentral	Swedish (Central)	swed1254	Indo-European [indo1319]	Eurasia	59.800634	17.389526	35	18	17	0	0	18	17	1.0588235294117647	pʰ b m f v t̪ʰ d̪ n̪ s̪ ɹ l̪ ʝ kʰ g ŋ h ɧ ɕ iː ɪ yː ʏ ʉ̟ː ɵ eː ɛː ɛ øː œ ɑː a oː ɔ uː ʊ
scottishgaeliclewis	Scottish Gaelic (Lewis)	scot1245	Indo-European [indo1319]	Eurasia	56.7574	-5.24366	81	33	29	0	19	33	48	1.1379310344827587	pʰ pʲʰ p pʲ tʰ tʲʰ t tʲ kʰ kʲʰ k kʲ m n nʲ nˠ f v s x ɣ fʲ ʃ ç ɣʲ ɾ ðʲ ɾˠ j h l lʲ lˠ i iː ɪ̃ ɪ̃ː e eː ɛ ɛː ɛ̃ ɛ̃ː a aː ã ãː u uː ũ ũː o oː ɔ ɔː ɔ̃ ɔ̃ː ɯ ɯː ɯ̃ː ɤ ɤː ai ɛi ei ui ɤi au ɔu iə ia iɛ uə ua uɛ u̠u ɛ̃ũ ẽɪ̃ ãũ ũã ɪ̃ə̃
welshllanwrtyd	Welsh (Llanwrtyd)	wels1247	Indo-European [indo1319]	Eurasia	52.0	-4.0	48	29	11	0	8	29	19	2.6363636363636362	p pʰ t tʰ k kʰ tʃ dʒ f v θ ð s z l ɬ ʃ χ h r r̥ m m̥ n n̥ ŋ ŋ̊ w j iː ɪ eː ɛ ɑː a oː ɔ uː ʊ ə ai ɔi ʊi əi ɪu ɛu au əu
bretonbothoa	Breton (Bothoa)	bret1244	Indo-European [indo1319]	Eurasia	48.2452	-3.78934	66	32	29	0	5	32	34	1.103448275862069	p b t d k g tʃ dʒ f v s z ʃ ʒ h m m̥ n n̥ j̃ ŋ ŋ̊ l l̥ r r̥ w w̥ ɥ ɥ̥ j j̊ i iː e eː ɛ ɛː æ æː y yː ø øː ə a aː u uː o oː ɔ ɔː ɒ ɒː ĩ ẽ œ̃ æ̃ ɑ̃ ɔ̃ ɛɪ əy əu au ãũ̯
germanstandard	German (Standard)	stan1295	Indo-European [indo1319]	Eurasia	48.649	12.4676	40	24	16	0	0	24	16	1.5	pʰ b m pf f v t̺ʰ d̺ ts s z n l tʃ dʒ ʃ ʒ ç j kʰ g ŋ ʀ h iː yː uː ɪ ʏ ʊ eː øː oː ə ɛ ɛː œ ɔ a aː
dutch	Dutch	dutc1256	Indo-European [indo1319]	Eurasia	52.0	5.0	43	18	22	0	3	18	25	0.8181818181818182	p b m f v ʋ t d n s z ɾ l j k ŋ χ ɦ ɪ ʏ ɛ ə ɑ ɔ i y eː øː aː oː u iː yː ɛː œː ɔː uː ɛ̃ ã ɔ̃ ɛi œy ʌu
french	French	stan1290	Indo-European [indo1319]	Eurasia	48.0	2.0	34	20	14	0	0	20	14	1.4285714285714286	p b m f v t d n s z l ʃ ʒ ɲ k g ʁ j ɥ w i e ɛ y ø œ ə a u o ɔ ɑ̃ ɔ̃ ɛ̃
friulian	Friulian	friu1240	Indo-European [indo1319]	Eurasia	46.1473	13.0493	39	25	14	0	0	25	14	1.7857142857142858	p b m f v t̪ d̪ ts̪ dz̪ n s z tʃ dʒ ʃ ʒ ɾ l ɲ c ɟ j k g w i e ɛ a ɔ o u iː eː ɛː aː ɔː oː uː
luxembourgish	Luxembourgish	luxe1241	Indo-European [indo1319]	Eurasia	49.6839	6.14931	48	26	14	0	8	26	22	1.8571428571428572	pʰ p m f v tʰ t n s z ts l ʃ ʒ tʃ ɕ ʑ j kʰ k ŋ w ʀ χ ʁ h i iː e eː ɛː ə æ aː ɐ ɑ u uː o oː iə ɜi æːi ɑi uə əʊ æːʊ ɑʊ
byangsi	Byangsi	byan1241	Sino-Tibetan [sino1245]	Eurasia	29.92002	80.63653	36	28	8	0	0	28	8	3.5	p t ʈ k pʰ tʰ ʈʰ kʰ b d ɖ g tʃ tʃʰ dʒ s ʂ h m n n̥ ŋ l l̥ r r̥ w j i iː u uː a aː e o
lhomitibetan	Lhomi Tibetan	lhom1239	Sino-Tibetan [sino1245]	Eurasia	27.5948	87.7161	45	23	22	0	0	23	22	1.0454545454545454	p t ʈ k pʰ tʰ ʈʰ kʰ ts tɕ tsʰ tɕʰ s ɕ h l l̥ r m n ŋ w j i iː y u uː e ø o oː a aː i̤ i̤ː y̤ ṳ ṳː e̤ ø̤ o̤ o̤ː a̤ a̤ː
kunmingchinesesouthwestmandarin	Kunming Chinese (Southwest Mandarin)	kunm1234	Sino-Tibetan [sino1245]	Eurasia	25.049711	102.72274	45	25	7	0	13	25	20	3.5714285714285716	p pʰ t tʰ k kʰ f s ʐ ɕ ʂ x tɕ tɕʰ ʈʂ ʈʂʰ ts tsʰ m n ŋ r l w j i ɛ ɘ˞ u o ɔ ɑ ie iu io iɘ ui ɘy iɛ iɔ əu uɑ iɑ ɘi uɛ
shaoxingchinese	Shaoxing Chinese	wuch1236	Sino-Tibetan [sino1245]	Eurasia	29.8621	119.682	48	35	11	0	2	35	13	3.1818181818181817	p pʰ t tʰ k kʰ ʔ b d g ts tsʰ dz tɕ tɕʰ dʑ f s ɕ h v z ʑ ɦ l m n ŋ l̩ m̩ n̩ ŋ̍ j ɥ w ɿ e a o ɤ i u y ɑɒ əɒ ɛ̃ ɵ̃ ẽ
khowar	Khowar	khow1242	Indo-European [indo1319]	Eurasia	36.0	72.0	44	39	5	0	0	39	5	7.8	p b pʰ t̪ d̪ t̪ʰ ʈ ɖ ʈʰ k g kʰ q m n̪ ts dz tsʰ ʈʂ ɖʐ ʈʂʰ tɕ dʑ tɕʰ f s z ʂ ʐ ɕ ʑ x ɣ h ɾ ʋ j lˠ l i u ɛ ɑ ɔ
palula	Palula	phal1254	Indo-European [indo1319]	Eurasia	35.5096	71.8421	52	42	10	0	0	42	10	4.2	p b t̪ d̪ ʈ ɖ k g m n̪ ɳ ts tɕ s z ʂ ɕ ʑ x ɣ h ɾ ɽ β̞ j l pʰ bʰ t̪ʰ d̪ʰ ʈʰ ɖʰ kʰ gʰ mʰ n̪ʰ ʈʂʰ tɕʰ zʰ ʑʰ jʰ lʰ iː i uː u eː e oː o a aː
ushojo	Ushojo	usho1238	Indo-European [indo1319]	Eurasia	35.1584	72.643	53	36	17	0	0	36	17	2.1176470588235294	pʰ tʰ ʈʰ kʰ p t ʈ k b d ɖ g s ɕ ʂ x h z ʑ ʐ ts tɕ ʈʂ dz dʑ ɖʐ m n ŋ ɳ l ɭ ɾ ɽ w j i iː ĩ e ẽ eː ʌ ʌ̃ ɑ ɑː ɑ̃ u uː ũ o oː õ
sanglechi	Sanglechi	sang1344	Indo-European [indo1319]	Eurasia	36.45	71.3	42	31	11	0	0	31	11	2.8181818181818183	p b m t d n ʈ ɖ ɳ k g ts tʃ dʒ w f v s z ð ʝ ç χ ʁ ʃ ʒ ʂ ʐ l ɭ r aː a ɔ o iː i uː u eː e ə
shughni	Shughni	shug1248	Indo-European [indo1319]	Eurasia	37.5018	71.7925	39	29	10	0	0	29	10	2.9	p b t d k g q ts dz tʃ dʒ l m n w f v s z θ ð j x ɣ χ ʁ ʃ ʒ r iː eː ɛ i a aː uː ʊ oː u
sarikoli	Sarikoli	sari1246	Indo-European [indo1319]	Eurasia	37.905	75.1449	38	29	7	0	2	29	9	4.142857142857143	p b t d k g q ts dz tʃ dʒ l m n s z ʃ ʒ f v θ ð x ɣ χ ʁ w j r i e a ə ɨ u o ɛi̯ ɛu̯
yazghulami	Yazghulami	yazg1240	Indo-European [indo1319]	Eurasia	38.2801	71.565	45	37	8	0	0	37	8	4.625	p b t d c ɟ k g kʷ gʷ q qʷ ts dz tʃ dʒ l m n w f v s z θ ð j x ɣ χ ʁ ʃ ʒ χʷ ʁʷ xʷ r i e ə a aː u ʊ o
southwestpashai	Southwest Pashai	sout2671	Indo-European [indo1319]	Eurasia	34.8478	69.8734	52	40	12	0	0	40	12	3.3333333333333335	p pʰ b bʰ t d tʰ dʰ ʈ ɖ ʈʰ ɖʰ k g kʰ gʰ m n ɳ ts tʃ dʒ tʃʰ dʒʰ ʈʂ ʈʂʰ w s z ʃ ʒ ʂ ʐ j χ ʁ h l r ɽ a aː e eː o oː i iː ø u uː ə
gawarbati	Gawarbati	gawa1247	Indo-European [indo1319]	Eurasia	35.1982	71.5428	41	35	6	0	0	35	6	5.833333333333333	p t ʈ k pʰ tʰ ʈʰ kʰ b d ɖ g ts ʈʂ tʃ tsʰ ʈʂʰ dʒ s ʂ ʃ x h z ʒ ɣ m n ɳ r ɽ ɬ l w j i e a o u aː
grangali	Grangali	gran1245	Indo-European [indo1319]	Eurasia	34.6485	70.7323	34	27	7	0	0	27	7	3.857142857142857	p t ʈ k b d ɖ g ts tʃ dz dʒ s ʃ x h z ʒ m n ɳ ŋ r ɽ ɬ l w i e a o u y ə
tirahi	Tirahi	tira1253	Indo-European [indo1319]	Eurasia	34.1792	69.5901	38	27	11	0	0	27	11	2.4545454545454546	p t ʈ k pʰ tʰ kʰ b d ɖ g ts tʃ tʃʰ dʒ s ʃ x h z ɣ m n r l w j a aː ə i iː e eː u uː o oː
torwali	Torwali	torw1241	Indo-European [indo1319]	Eurasia	35.3101	72.5316	58	45	13	0	0	45	13	3.4615384615384617	p t ʈ k pʰ tʰ ʈʰ kʰ b d ɖ g bʰ dʰ ɖʰ gʰ ʈʂ tʃ ʈʂʰ tʃʰ ɖʐ dʒ f s ʂ ʃ x h z ʐ ʒ ɣ m n ɳ ŋ m̥ n̥ ɳ̊ r ɽ l l̥ w j a aː u uː o ɔ i iː ɛ eː æ ə ɨ
wotapurikatarqalai	Wotapuri-Katarqalai	wota1240	Indo-European [indo1319]	Eurasia	34.7033	70.8565	54	34	20	0	0	34	20	1.7	p t ʈ k q pʰ tʰ ʈʰ kʰ b d ɖ g ts ʈʂ tsʰ ʈʂʰ dz dʒ f s ʂ x h z m n ɳ r ɽ ɭ l w j i e a o u iː eː aː oː uː ĩ ẽ ã õ ũ ĩː ẽː ãː õː ũː
induskohistanikanyawali	Indus Kohistani (Kanyawali)	indu1241	Indo-European [indo1319]	Eurasia	35.3389	73.0154	50	40	10	0	0	40	10	4.0	p t ʈ k pʰ tʰ kʰ b d ɖ g bʰ dʰ gʰ ts ʈʂ tʃ tsʰ tʃʰ dʒ f s ʂ ʃ x h v z ʐ ʒ ɣ m n ɳ r ɽ ɽʰ l w j i iː e eː a aː o oː u uː
adyghe	Adyghe	adyg1241	Abkhaz-Adyge [abkh1242]	Eurasia	44.0	39.33	57	54	3	0	0	54	3	18.0	m n r w j b p pʼ pʼʷ d t tʼ tʼʷ gʷ k kʷ kʼ kʼʷ q qʷ ʔʼ ʔʼʷ f z s dz ts tsʼ ʒ ʃ tʃ tʃʼ ʑ ɕ dʑ tɕ tɕʼ ʒʷ ʃʷ ʃʼ ʃʼʷ dʒʷ tʃʷ ɮ ɬ ɬʼ ɣ x xʷ ʁ ʁʷ χ χʷ h a e ə
easternyugur	Eastern Yugur	east2337	Mongolic-Khitan [mong1349]	Eurasia	37.9882	101.762	42	28	14	0	0	28	14	2.0	pʰ tʰ kʰ qʰ p t k q tsʰ tʃʰ ts tʃ s ʃ χ h β ɣ ʁ m n ŋ l r j l̥ n̥ j̊ a e ə ɔ y ɵ u aː eː əː ɔː yː ɵː uː
dongxiang	Dongxiang	dong1285	Mongolic-Khitan [mong1349]	Eurasia	35.5808	103.558	34	28	6	0	0	28	6	4.666666666666667	pʰ tʰ kʰ qʰ p t k q tsʰ tʃʰ ʈʂʰ ts tʃ ʈʂ s ʃ ʂ x h ʐ ʁ m n ŋ l r w j a e i ɨ o u
baoannantoq	Baoan (Ñantoq)	bona1250	Mongolic-Khitan [mong1349]	Eurasia	35.6972	102.995	36	25	11	0	0	25	11	2.272727272727273	pʰ tʰ kʰ p t k q tsʰ tʃʰ ts tʃ f s ʂ ç χ h ʒ m n ŋ l r w j a e i ɵ u ə aː eː iː ɵː uː
caodengrgyalrong	Caodeng rGyalrong	jiar1240	Sino-Tibetan [sino1245]	Eurasia	31.60295	102.22875	63	52	9	0	2	52	11	5.777777777777778	p t c k q pʰ tʰ cʰ kʰ qʰ b d ɟ g ⁿb ⁿd ⁿɟ ⁿg ⁿɢ ts ʈʂ tʃ tsʰ ʈʂʰ tʃʰ dz ɖʐ dʒ ⁿdz ⁿɖʐ ⁿdʒ m n ɲ ŋ f s ʂ ʃ x χ v z ʒ ɣ ʁ r l̥ l w j ʔ a i u e ɛ o ɔ ə ɐ ɐi̯ oi̯
glotibetan	gLo Tibetan	lowa1242	Sino-Tibetan [sino1245]	Eurasia	29.0324	83.8959	43	35	8	0	0	35	8	4.375	p pʰ b t tʰ d ʈ ʈʰ ɖ k kʰ g ʔ s z ʃ ç h ɦ tʃ tʃʰ dʒ ts tsʰ dz m n ɲ ŋ l l̥ r r̥ w j a i u e o æ ʉ ɵ
tshangla	Tshangla	tsha1245	Sino-Tibetan [sino1245]	Eurasia	27.3694	91.7741	39	32	5	0	2	32	7	6.4	p t ʈ k pʰ tʰ ʈʰ kʰ b d ɖ g ts tɕ tsʰ tɕʰ dz dʑ s ɕ z ʑ m n ɲ ŋ l l̥ ɾ w j h i e a o u ai au
zhongutibetan	Zhongu Tibetan	zhon1235	Sino-Tibetan [sino1245]	Eurasia	32.43582	103.44179	68	59	9	0	0	59	9	6.555555555555555	p ʰp pʰ ⁿpʰ b ⁿb m̥ m w t ʰt tʰ ⁿtʰ d ⁿd s z n̥ n l̥ l r̥ r ts ʰts tsʰ ⁿtsʰ dz ⁿdz ʈʂ ʈʂʰ ⁿʈʂʰ ɖʐ ⁿɖʐ ʂ ʐ tʃ ʰtʃ tʃʰ ⁿtʃʰ dʒ ⁿdʒ ʃ ʒ ɲ̊ ɲ k ʰk kʰ ⁿkʰ g ⁿg ŋ̊ ŋ ɣ q qʰ χ ʁ i e ɛ a ə ɔ u o ɑ
spititibetan	Spiti Tibetan	spit1240	Sino-Tibetan [sino1245]	Eurasia	32.526	77.833	40	33	7	0	0	33	7	4.714285714285714	p t ʈ k pʰ tʰ ʈʰ kʰ b d ɖ g m n ɲ ŋ s ʃ ʂ z ʒ h ts tɕ tsʰ tɕʰ dz dʑ l r ɽ w j i e ɛ a u o ɔ
hebrew	Hebrew	hebr1245	Afro-Asiatic [afro1255]	Eurasia	31.1056	35.0179	25	20	5	0	0	20	5	4.0	p b t d k g ʔ f v s z ʃ x h ts m n l ʁ j i ɛ a o u
kangjia	Kangjia	kang1281	Mongolic-Khitan [mong1349]	Eurasia	35.043	101.254	36	27	9	0	0	27	9	3.0	pʰ tʰ kʰ qʰ p t k q tsʰ tʃʰ ts tʃ f s ʃ χ h v z ɣ ʁ m n ŋ l r j a e ə i ɨ ɔ o u ʉ
