ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	Consonantal	Vocalic	Ratio	Phonemes
emmi_amii1238	Ami	amii1238	Western Daly	Australia	-13.5573	130.04	32	27	5	0	0	27	5	5.4	l ɖ i ʐ t̪ ʎ ɻ n̪ ʈ n p o ɛ t g d β k a j r b ɟ w m ŋ ɲ l̪ d̪ c ɳ ɵ
angas_ngas1240	Ngas	ngas1240	Afro-Asiatic	Africa	9.32042	9.46146	42	32	9	0	1	32	10	3.5555555555555554	mʲ m e ɓ ŋ d v pʲ ɜi h ɲ g u z aː n f b ɛ s a j tʃ dʒ c i l ɨː ɟ ʄ k o t ɗ w p ʃ ʒ r bʲ ɨ ɣ
igbo_nucl1417	Igbo	nucl1417	Atlantic-Congo	Africa	4.62705	7.23441	35	27	8	0	0	27	8	3.375	l t̪ ɲ a e z kp n s ʊ ɣ ɪ d̪ b gb o i m tʃ ŋʷ f g ɔ kʷ k gʷ j dʒ ʃ u w ɦ p ɾ ŋ
alabama_alab1237	Alabama	alab1237	Muskogean	North America	30.76738	-94.62848	20	14	6	0	0	14	6	2.3333333333333335	p m ɪ w n’ j ɸ ɪː s oː k b l’ ɬʼ aː h a t̪ o tʃ
siwi_siwi1239	Siwi	siwi1239	Afro-Asiatic	Africa	29.200415	25.519627	44	38	6	0	0	38	6	6.333333333333333	g qʷ j kʷ ʁʷ mˤ zˤ dʒ d b ʜ l o ɦ z χʷ ʃ f ɾ χ t ə a k bˤ w ɾˤ sˤ u tˤ s q n e i gʷ lˤ ʢ dˤ tʃ ʁ ʔ m fˤ
hungarian_hung1274	Hungarian	hung1274	Uralic	Eurasia	46.9068585714	19.6555271429	40	26	14	0	0	26	14	1.8571428571428572	o ʃ tʃ ts̪ r̪ ɒ g p f aː øː eː yː t̪ iː ʒ ø i d̪ y dʒ oː ɲ b m c z̪ n̪ u dz̪ h l̪ j s̪ ɟ ɛ k v uː w
capeverdecreolesantiagodialect_kabu1256	Kabuverdianu	kabu1256	Indo-European	Africa	15.0586	-23.6148	30	22	8	0	0	22	8	2.75	u n ŋ f m l s tʃ ɛ i b j p w e ɔ r ɲ ʒ d o t g ɐ a dʒ z v k ʃ
purepecha_pure1242	Purepecha	pure1242	Tarascan	North America	19.2467	-101.631	27	21	6	0	0	21	6	3.5	kʷ r tʰ x ɛ k kʷʰ n tʃʰ m ts kʰ i w t ɨ p ɽ pʰ a ɔ j u tʃ tsʰ s ʃ
sedang_seda1262	Sedang	seda1262	Austroasiatic	Eurasia	14.7793	108.027	88	41	24	0	23	41	47	1.7083333333333333	ⁿb k i iə ḛ̃ə̰̃ ũ ɔ̃ ĩə̃ ʂ ŋ ⁿd l̥ n̰ ḛə̰ kʰ ã̰ ṵ̃ə̰̃ t o ḭ oə ŋ̊ ĩ j ʍ m̰ o̰ r̰ eo ɛ̃ ⁿɟ w m̥ ie õə̃ ɲ̰ ɛ̰ ũə̃ n ã ṵ ṵo̰ ɲ w̰ ɛ h ḛ̃ ḭ̃ə̰̃ ɔ̰ ḭḛ a̰ o̰ḛ io n̥ ʔ s j̊ u oɛ eə r̥ tʰ l̰ j̰ pʰ uə ḛ ḭə̰ c ɛ̰̃ e ɓ ẽ r l ḭ̃ ẽə̃ ṵə̰ ɔ ɲ̊ ⁿg ŋ̰ ɗ ə̰̃õ̰ a uo p m
suena_suen1241	Suena	suen1241	Nuclear Trans New Guinea	Papunesia	-7.76339	147.534	18	13	5	0	0	13	5	2.6	s m d g i n k a t ɾ dz u w p o e j b
ndyuka_ndyu1242	Aukan	ndyu1242	Indo-European	South America	4.3126	-54.6419	20	15	5	0	0	15	5	3.0	p s d z j l u e b m k n w h i f t g a o
hanis_coos1249	Hanis	coos1249	Coosan	North America	43.4413	-124.16	48	39	9	0	0	39	9	4.333333333333333	s ʔ g kʼ d x j ə ɰ χ dʒ ts tʃʼ q h eː tʃ uː a t ɢ w b gʷ dɮ iː k pʼ kʷ kʼʷ ʃ e tsʼ qʼ p n hʷ tʼ xʷ l dz tɬ tɬʼ aː m u ɬ i
