Phoneme	Dataset	Dataset_Count	Global_Count	Dataset_Ratio	Global_Ratio	Dataset_InvRatio	Global_InvRatio	Phoneme_Dataset_Ratio
a	ALL	6094	6094	0.0261	0.0261	0.8756	0.8756	1.0
a	aa	386	6094	0.0269	0.0261	0.9948	0.8756	1.0
a	ea	376	6094	0.0122	0.0261	0.5193	0.8756	1.0
a	er	782	6094	0.0416	0.0261	1.0	0.8756	1.0
a	jipa	236	6094	0.0193	0.0261	0.8027	0.8756	1.0
a	lapsyd	1070	6094	0.0293	0.0261	0.9161	0.8756	1.0
a	phoible	1598	6094	0.024	0.0261	0.8888	0.8756	1.0
a	ra	156	6094	0.019	0.0261	0.7959	0.8756	1.0
a	saphon	708	6094	0.0392	0.0261	0.9972	0.8756	1.0
a	upsid	782	6094	0.0281	0.0261	0.8689	0.8756	1.0
ae	ALL	32	32	0.0001	0.0001	0.0046	0.0046	0.4444
ae	ea	6	32	0.0002	0.0001	0.0083	0.0046	0.4444
ae	jipa	2	32	0.0002	0.0001	0.0068	0.0046	0.4444
ae	lapsyd	14	32	0.0004	0.0001	0.012	0.0046	0.4444
ae	phoible	10	32	0.0001	0.0001	0.0056	0.0046	0.4444
ae̞	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
ae̞	phoible	2	8	0.0	0.0	0.0011	0.0011	0.2222
ae̞	upsid	6	8	0.0002	0.0	0.0067	0.0011	0.2222
ae̞ˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ae̞ˤ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
ae̯	ALL	8	8	0.0	0.0	0.0011	0.0011	0.3333
ae̯	ea	4	8	0.0001	0.0	0.0055	0.0011	0.3333
ae̯	jipa	2	8	0.0002	0.0	0.0068	0.0011	0.3333
ae̯	phoible	2	8	0.0	0.0	0.0011	0.0011	0.3333
ai	ALL	264	264	0.0011	0.0011	0.0379	0.0379	0.7778
ai	aa	2	264	0.0001	0.0011	0.0052	0.0379	0.7778
ai	ea	40	264	0.0013	0.0011	0.0552	0.0379	0.7778
ai	jipa	20	264	0.0016	0.0011	0.068	0.0379	0.7778
ai	lapsyd	74	264	0.002	0.0011	0.0634	0.0379	0.7778
ai	phoible	86	264	0.0013	0.0011	0.0478	0.0379	0.7778
ai	saphon	4	264	0.0002	0.0011	0.0056	0.0379	0.7778
ai	upsid	38	264	0.0014	0.0011	0.0422	0.0379	0.7778
aiː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aiː	saphon	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ai̯	ALL	34	34	0.0001	0.0001	0.0049	0.0049	0.3333
ai̯	ea	14	34	0.0005	0.0001	0.0193	0.0049	0.3333
ai̯	jipa	10	34	0.0008	0.0001	0.034	0.0049	0.3333
ai̯	phoible	10	34	0.0001	0.0001	0.0056	0.0049	0.3333
ao	ALL	28	28	0.0001	0.0001	0.004	0.004	0.3333
ao	ea	8	28	0.0003	0.0001	0.011	0.004	0.3333
ao	lapsyd	10	28	0.0003	0.0001	0.0086	0.004	0.3333
ao	phoible	10	28	0.0001	0.0001	0.0056	0.004	0.3333
ao̞	ALL	8	8	0.0	0.0	0.0011	0.0011	0.1111
ao̞	upsid	8	8	0.0003	0.0	0.0089	0.0011	0.1111
ao̞ˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ao̞ˤ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
ao̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ao̯	jipa	2	2	0.0002	0.0	0.0068	0.0003	0.1111
au	ALL	232	232	0.001	0.001	0.0333	0.0333	0.6667
au	aa	2	232	0.0001	0.001	0.0052	0.0333	0.6667
au	ea	36	232	0.0012	0.001	0.0497	0.0333	0.6667
au	jipa	28	232	0.0023	0.001	0.0952	0.0333	0.6667
au	lapsyd	62	232	0.0017	0.001	0.0531	0.0333	0.6667
au	phoible	68	232	0.001	0.001	0.0378	0.0333	0.6667
au	upsid	36	232	0.0013	0.001	0.04	0.0333	0.6667
au̜	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
au̜	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
au̯	ALL	28	28	0.0001	0.0001	0.004	0.004	0.3333
au̯	ea	12	28	0.0004	0.0001	0.0166	0.004	0.3333
au̯	jipa	10	28	0.0008	0.0001	0.034	0.004	0.3333
au̯	phoible	6	28	0.0001	0.0001	0.0033	0.004	0.3333
ay	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
ay	phoible	4	4	0.0001	0.0	0.0022	0.0006	0.1111
aɔ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aɔ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
aə	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
aə	ea	2	4	0.0001	0.0	0.0028	0.0006	0.2222
aə	lapsyd	2	4	0.0001	0.0	0.0017	0.0006	0.2222
aɛ	ALL	14	14	0.0001	0.0001	0.002	0.002	0.4444
aɛ	ea	2	14	0.0001	0.0001	0.0028	0.002	0.4444
aɛ	jipa	2	14	0.0002	0.0001	0.0068	0.002	0.4444
aɛ	phoible	8	14	0.0001	0.0001	0.0044	0.002	0.4444
aɛ	upsid	2	14	0.0001	0.0001	0.0022	0.002	0.4444
