Phoneme	Dataset	Dataset_Count	Global_Count	Dataset_Ratio	Global_Ratio	Dataset_InvRatio	Global_InvRatio	Phoneme_Dataset_Ratio
aɛ̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aɛ̯	jipa	2	2	0.0002	0.0	0.0068	0.0003	0.1111
aɨ	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
aɨ	lapsyd	2	6	0.0001	0.0	0.0017	0.0009	0.2222
aɨ	upsid	4	6	0.0001	0.0	0.0044	0.0009	0.2222
aɪ	ALL	56	56	0.0002	0.0002	0.008	0.008	0.4444
aɪ	ea	10	56	0.0003	0.0002	0.0138	0.008	0.4444
aɪ	jipa	16	56	0.0013	0.0002	0.0544	0.008	0.4444
aɪ	lapsyd	10	56	0.0003	0.0002	0.0086	0.008	0.4444
aɪ	phoible	20	56	0.0003	0.0002	0.0111	0.008	0.4444
aɪ̃	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
aɪ̃	ea	4	6	0.0001	0.0	0.0055	0.0009	0.2222
aɪ̃	jipa	2	6	0.0002	0.0	0.0068	0.0009	0.2222
aɯ	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
aɯ	ea	2	8	0.0001	0.0	0.0028	0.0011	0.2222
aɯ	upsid	6	8	0.0002	0.0	0.0067	0.0011	0.2222
aɯ̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aɯ̃	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
aɵ̯	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
aɵ̯	ea	2	4	0.0001	0.0	0.0028	0.0006	0.2222
aɵ̯	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
aʉ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
aʉ	lapsyd	4	4	0.0001	0.0	0.0034	0.0006	0.1111
aʊ	ALL	44	44	0.0002	0.0002	0.0063	0.0063	0.4444
aʊ	ea	6	44	0.0002	0.0002	0.0083	0.0063	0.4444
aʊ	jipa	14	44	0.0011	0.0002	0.0476	0.0063	0.4444
aʊ	lapsyd	10	44	0.0003	0.0002	0.0086	0.0063	0.4444
aʊ	phoible	14	44	0.0002	0.0002	0.0078	0.0063	0.4444
aʊ̃	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
aʊ̃	ea	2	4	0.0001	0.0	0.0028	0.0006	0.2222
aʊ̃	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
aˀ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
aˀ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
aˀ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
aː	ALL	2090	2090	0.0089	0.0089	0.3003	0.3003	1.0
aː	aa	162	2090	0.0113	0.0089	0.4175	0.3003	1.0
aː	ea	144	2090	0.0047	0.0089	0.1989	0.3003	1.0
aː	er	358	2090	0.019	0.0089	0.4578	0.3003	1.0
aː	jipa	98	2090	0.008	0.0089	0.3333	0.3003	1.0
aː	lapsyd	412	2090	0.0113	0.0089	0.3527	0.3003	1.0
aː	phoible	604	2090	0.0091	0.0089	0.3359	0.3003	1.0
aː	ra	74	2090	0.009	0.0089	0.3776	0.3003	1.0
aː	saphon	170	2090	0.0094	0.0089	0.2394	0.3003	1.0
aː	upsid	68	2090	0.0024	0.0089	0.0756	0.3003	1.0
aːi	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
aːi	ea	2	4	0.0001	0.0	0.0028	0.0006	0.2222
aːi	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
aːĭ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aːĭ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
aːi̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aːi̯	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
aːu	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
aːu	ea	4	6	0.0001	0.0	0.0055	0.0009	0.2222
aːu	jipa	2	6	0.0002	0.0	0.0068	0.0009	0.2222
aːŭ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aːŭ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
aːu̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aːu̯	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
aːɨ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aːɨ	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
aːɪ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
aːɪ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
aˑ	ALL	18	18	0.0001	0.0001	0.0026	0.0026	0.3333
aˑ	jipa	6	18	0.0005	0.0001	0.0204	0.0026	0.3333
aˑ	phoible	4	18	0.0001	0.0001	0.0022	0.0026	0.3333
aˑ	ra	8	18	0.001	0.0001	0.0408	0.0026	0.3333
a˞	ALL	8	8	0.0	0.0	0.0011	0.0011	0.4444
a˞	ea	2	8	0.0001	0.0	0.0028	0.0011	0.4444
a˞	jipa	2	8	0.0002	0.0	0.0068	0.0011	0.4444
a˞	phoible	2	8	0.0	0.0	0.0011	0.0011	0.4444
a˞	upsid	2	8	0.0001	0.0	0.0022	0.0011	0.4444
a˞ː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a˞ː	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
a˞ˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a˞ˤ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
aˠ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
aˠ	aa	2	4	0.0001	0.0	0.0052	0.0006	0.2222
aˠ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
aˤ	ALL	14	14	0.0001	0.0001	0.002	0.002	0.5556
aˤ	ea	2	14	0.0001	0.0001	0.0028	0.002	0.5556
aˤ	jipa	2	14	0.0002	0.0001	0.0068	0.002	0.5556
aˤ	lapsyd	2	14	0.0001	0.0001	0.0017	0.002	0.5556
aˤ	phoible	2	14	0.0	0.0001	0.0011	0.002	0.5556
aˤ	upsid	6	14	0.0002	0.0001	0.0067	0.002	0.5556
aˤː	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
aˤː	ea	4	8	0.0001	0.0	0.0055	0.0011	0.2222
aˤː	upsid	4	8	0.0001	0.0	0.0044	0.0011	0.2222
ã	ALL	1184	1184	0.0051	0.0051	0.1701	0.1701	1.0
ã	aa	144	1184	0.01	0.0051	0.3711	0.1701	1.0
ã	ea	74	1184	0.0024	0.0051	0.1022	0.1701	1.0
ã	er	2	1184	0.0001	0.0051	0.0026	0.1701	1.0
ã	jipa	32	1184	0.0026	0.0051	0.1088	0.1701	1.0
ã	lapsyd	202	1184	0.0055	0.0051	0.1729	0.1701	1.0
ã	phoible	258	1184	0.0039	0.0051	0.1435	0.1701	1.0
ã	ra	12	1184	0.0015	0.0051	0.0612	0.1701	1.0
ã	saphon	294	1184	0.0163	0.0051	0.4141	0.1701	1.0
ã	upsid	166	1184	0.006	0.0051	0.1844	0.1701	1.0
ãẽ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãẽ	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
ãẽ̞ˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãẽ̞ˤ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
ãi	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
ãi	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
ãi	saphon	2	4	0.0001	0.0	0.0028	0.0006	0.2222
ãĩ	ALL	12	12	0.0001	0.0001	0.0017	0.0017	0.3333
ãĩ	ea	2	12	0.0001	0.0001	0.0028	0.0017	0.3333
ãĩ	lapsyd	8	12	0.0002	0.0001	0.0068	0.0017	0.3333
ãĩ	upsid	2	12	0.0001	0.0001	0.0022	0.0017	0.3333
ãi̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãi̯	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ãõ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãõ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ãõ̞ˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãõ̞ˤ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
ãũ	ALL	10	10	0.0	0.0	0.0014	0.0014	0.2222
ãũ	ea	4	10	0.0001	0.0	0.0055	0.0014	0.2222
ãũ	lapsyd	6	10	0.0002	0.0	0.0051	0.0014	0.2222
ãu̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãu̯	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ãũ̯	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãũ̯	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ãɛ̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãɛ̃	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ãʉ̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãʉ̃	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
ãː	ALL	186	186	0.0008	0.0008	0.0267	0.0267	0.8889
ãː	aa	8	186	0.0006	0.0008	0.0206	0.0267	0.8889
ãː	ea	30	186	0.001	0.0008	0.0414	0.0267	0.8889
ãː	jipa	8	186	0.0007	0.0008	0.0272	0.0267	0.8889
ãː	lapsyd	46	186	0.0013	0.0008	0.0394	0.0267	0.8889
ãː	phoible	64	186	0.001	0.0008	0.0356	0.0267	0.8889
ãː	ra	2	186	0.0002	0.0008	0.0102	0.0267	0.8889
ãː	saphon	14	186	0.0008	0.0008	0.0197	0.0267	0.8889
ãː	upsid	14	186	0.0005	0.0008	0.0156	0.0267	0.8889
ãˤ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
ãˤ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
ãˤ	upsid	2	4	0.0001	0.0	0.0022	0.0006	0.2222
ãˤː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ãˤː	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
ă	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
ă	lapsyd	2	8	0.0001	0.0	0.0017	0.0011	0.2222
ă	upsid	6	8	0.0002	0.0	0.0067	0.0011	0.2222
ä	ALL	152	152	0.0007	0.0007	0.0218	0.0218	0.2222
ä	ea	148	152	0.0048	0.0007	0.2044	0.0218	0.2222
ä	ra	4	152	0.0005	0.0007	0.0204	0.0218	0.2222
äi̯	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
äi̯	ea	4	4	0.0001	0.0	0.0055	0.0006	0.1111
äu̯	ALL	10	10	0.0	0.0	0.0014	0.0014	0.1111
äu̯	ea	10	10	0.0003	0.0	0.0138	0.0014	0.1111
äː	ALL	86	86	0.0004	0.0004	0.0124	0.0124	0.1111
äː	ea	86	86	0.0028	0.0004	0.1188	0.0124	0.1111
ä̃	ALL	12	12	0.0001	0.0001	0.0017	0.0017	0.1111
ä̃	ea	12	12	0.0004	0.0001	0.0166	0.0017	0.1111
ä̃ː	ALL	10	10	0.0	0.0	0.0014	0.0014	0.1111
ä̃ː	ea	10	10	0.0003	0.0	0.0138	0.0014	0.1111
a̙	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̙	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
a̙ː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̙ː	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
a̙ˠ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̙ˠ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
a̞	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̞	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
a̟	ALL	82	82	0.0004	0.0004	0.0118	0.0118	0.3333
a̟	ea	4	82	0.0001	0.0004	0.0055	0.0118	0.3333
a̟	lapsyd	26	82	0.0007	0.0004	0.0223	0.0118	0.3333
a̟	upsid	52	82	0.0019	0.0004	0.0578	0.0118	0.3333
a̟i	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̟i	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
a̟ː	ALL	16	16	0.0001	0.0001	0.0023	0.0023	0.2222
a̟ː	lapsyd	6	16	0.0002	0.0001	0.0051	0.0023	0.2222
a̟ː	upsid	10	16	0.0004	0.0001	0.0111	0.0023	0.2222
ã̟	ALL	16	16	0.0001	0.0001	0.0023	0.0023	0.2222
ã̟	lapsyd	6	16	0.0002	0.0001	0.0051	0.0023	0.2222
ã̟	upsid	10	16	0.0004	0.0001	0.0111	0.0023	0.2222
ã̟ĩ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ã̟ĩ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
a̠	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̠	aa	2	2	0.0001	0.0	0.0052	0.0003	0.1111
a̠ː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̠ː	aa	2	2	0.0001	0.0	0.0052	0.0003	0.1111
a̤	ALL	54	54	0.0002	0.0002	0.0078	0.0078	0.6667
a̤	ea	8	54	0.0003	0.0002	0.011	0.0078	0.6667
a̤	jipa	4	54	0.0003	0.0002	0.0136	0.0078	0.6667
a̤	lapsyd	4	54	0.0001	0.0002	0.0034	0.0078	0.6667
a̤	phoible	26	54	0.0004	0.0002	0.0145	0.0078	0.6667
a̤	saphon	2	54	0.0001	0.0002	0.0028	0.0078	0.6667
a̤	upsid	10	54	0.0004	0.0002	0.0111	0.0078	0.6667
a̤i̤	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̤i̤	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
a̤ṳ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̤ṳ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
a̤ɯ̤	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̤ɯ̤	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
a̤ː	ALL	18	18	0.0001	0.0001	0.0026	0.0026	0.3333
a̤ː	ea	2	18	0.0001	0.0001	0.0028	0.0026	0.3333
a̤ː	jipa	2	18	0.0002	0.0001	0.0068	0.0026	0.3333
a̤ː	phoible	14	18	0.0002	0.0001	0.0078	0.0026	0.3333
a̤ˑ	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
a̤ˑ	jipa	2	8	0.0002	0.0	0.0068	0.0011	0.2222
a̤ˑ	phoible	6	8	0.0001	0.0	0.0033	0.0011	0.2222
ã̤	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ã̤	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ä̤	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ä̤	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ä̤̃ː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ä̤̃ː	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
ḁ	ALL	8	8	0.0	0.0	0.0011	0.0011	0.3333
ḁ	lapsyd	4	8	0.0001	0.0	0.0034	0.0011	0.3333
ḁ	phoible	2	8	0.0	0.0	0.0011	0.0011	0.3333
ḁ	upsid	2	8	0.0001	0.0	0.0022	0.0011	0.3333
a̰	ALL	74	74	0.0003	0.0003	0.0106	0.0106	0.7778
a̰	ea	10	74	0.0003	0.0003	0.0138	0.0106	0.7778
a̰	jipa	6	74	0.0005	0.0003	0.0204	0.0106	0.7778
a̰	lapsyd	18	74	0.0005	0.0003	0.0154	0.0106	0.7778
a̰	phoible	14	74	0.0002	0.0003	0.0078	0.0106	0.7778
a̰	ra	2	74	0.0002	0.0003	0.0102	0.0106	0.7778
a̰	saphon	16	74	0.0009	0.0003	0.0225	0.0106	0.7778
a̰	upsid	8	74	0.0003	0.0003	0.0089	0.0106	0.7778
a̰ḭ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
a̰ḭ	lapsyd	2	4	0.0001	0.0	0.0017	0.0006	0.2222
a̰ḭ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
a̰ṵ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
a̰ṵ	lapsyd	2	4	0.0001	0.0	0.0017	0.0006	0.2222
a̰ṵ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
a̰ɪ̰	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̰ɪ̰	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
a̰ɯ̰	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̰ɯ̰	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
a̰ː	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
a̰ː	lapsyd	4	6	0.0001	0.0	0.0034	0.0009	0.2222
a̰ː	phoible	2	6	0.0	0.0	0.0011	0.0009	0.2222
a̰ˑ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
a̰ˑ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
ã̰	ALL	26	26	0.0001	0.0001	0.0037	0.0037	0.5556
ã̰	jipa	2	26	0.0002	0.0001	0.0068	0.0037	0.5556
ã̰	lapsyd	10	26	0.0003	0.0001	0.0086	0.0037	0.5556
ã̰	phoible	4	26	0.0001	0.0001	0.0022	0.0037	0.5556
ã̰	saphon	8	26	0.0004	0.0001	0.0113	0.0037	0.5556
ã̰	upsid	2	26	0.0001	0.0001	0.0022	0.0037	0.5556
ã̰ḭ̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ã̰ḭ̃	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
ã̰ṵ̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ã̰ṵ̃	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
b	ALL	4352	4352	0.0186	0.0186	0.6253	0.6253	0.8889
b	aa	376	4352	0.0262	0.0186	0.9691	0.6253	0.8889
b	ea	570	4352	0.0185	0.0186	0.7873	0.6253	0.8889
b	jipa	238	4352	0.0194	0.0186	0.8095	0.6253	0.8889
b	lapsyd	644	4352	0.0176	0.0186	0.5514	0.6253	0.8889
b	phoible	1464	4352	0.022	0.0186	0.8142	0.6253	0.8889
b	ra	190	4352	0.0231	0.0186	0.9694	0.6253	0.8889
b	saphon	296	4352	0.0164	0.0186	0.4169	0.6253	0.8889
b	upsid	574	4352	0.0206	0.0186	0.6378	0.6253	0.8889
bg	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bg	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
bv	ALL	48	48	0.0002	0.0002	0.0069	0.0069	0.5556
bv	aa	2	48	0.0001	0.0002	0.0052	0.0069	0.5556
bv	lapsyd	6	48	0.0002	0.0002	0.0051	0.0069	0.5556
bv	phoible	26	48	0.0004	0.0002	0.0145	0.0069	0.5556
bv	ra	8	48	0.001	0.0002	0.0408	0.0069	0.5556
bv	upsid	6	48	0.0002	0.0002	0.0067	0.0069	0.5556
bvʱ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bvʱ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
bvʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bvʷ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
bʰ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bʰ	jipa	2	2	0.0002	0.0	0.0068	0.0003	0.1111
bʰː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bʰː	jipa	2	2	0.0002	0.0	0.0068	0.0003	0.1111
bʱ	ALL	218	218	0.0009	0.0009	0.0313	0.0313	0.6667
bʱ	ea	50	218	0.0016	0.0009	0.0691	0.0313	0.6667
bʱ	jipa	12	218	0.001	0.0009	0.0408	0.0313	0.6667
bʱ	lapsyd	28	218	0.0008	0.0009	0.024	0.0313	0.6667
bʱ	phoible	40	218	0.0006	0.0009	0.0222	0.0313	0.6667
bʱ	ra	70	218	0.0085	0.0009	0.3571	0.0313	0.6667
bʱ	upsid	18	218	0.0006	0.0009	0.02	0.0313	0.6667
bʱː	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
bʱː	jipa	4	8	0.0003	0.0	0.0136	0.0011	0.2222
bʱː	phoible	4	8	0.0001	0.0	0.0022	0.0011	0.2222
bʲ	ALL	134	134	0.0006	0.0006	0.0193	0.0193	0.8889
bʲ	aa	4	134	0.0003	0.0006	0.0103	0.0193	0.8889
bʲ	ea	44	134	0.0014	0.0006	0.0608	0.0193	0.8889
bʲ	jipa	8	134	0.0007	0.0006	0.0272	0.0193	0.8889
bʲ	lapsyd	16	134	0.0004	0.0006	0.0137	0.0193	0.8889
bʲ	phoible	42	134	0.0006	0.0006	0.0234	0.0193	0.8889
bʲ	ra	2	134	0.0002	0.0006	0.0102	0.0193	0.8889
bʲ	saphon	2	134	0.0001	0.0006	0.0028	0.0193	0.8889
bʲ	upsid	16	134	0.0006	0.0006	0.0178	0.0193	0.8889
bʲʱ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bʲʱ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
bʲː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
bʲː	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
bʳ	ALL	6	6	0.0	0.0	0.0009	0.0009	0.1111
bʳ	phoible	6	6	0.0001	0.0	0.0033	0.0009	0.1111
bʷ	ALL	124	124	0.0005	0.0005	0.0178	0.0178	0.7778
bʷ	aa	4	124	0.0003	0.0005	0.0103	0.0178	0.7778
bʷ	jipa	2	124	0.0002	0.0005	0.0068	0.0178	0.7778
bʷ	lapsyd	14	124	0.0004	0.0005	0.012	0.0178	0.7778
bʷ	phoible	98	124	0.0015	0.0005	0.0545	0.0178	0.7778
bʷ	ra	2	124	0.0002	0.0005	0.0102	0.0178	0.7778
