ID	Glottocode	Dataset	Name	Family	Macroarea	Latitude	Longitude	Num_Phonemes	Num_Consonants	Num_Vowels	Num_Clusters	Num_Long_Consonants	Num_Long_Vowels	Num_Diphthongs	Ratio	Phonemes	Consonants	Vowels	Diphthongs
aari1239-1483	aari1239	phoible	Aari	South Omotic	Africa	5.9503	36.5721	36	26	10	0	0	5	0	2.6000	a aː b dʒ d̪ e̞ː f g iː i̞ j k l m n o̞ː q r s ts tsʼ tʃ tʃʼ t̪ u uː w z ɓ̥ ɔ̝ ɗ ɛ ɦ ʃ ʒ ʔ	b dʒ d̪ f g j k l m n q r s ts tsʼ tʃ tʃʼ t̪ w z ɓ̥ ɗ ɦ ʃ ʒ ʔ	a aː e̞ː iː i̞ o̞ː u uː ɔ̝ ɛ	
abar1238-1617	abar1238	phoible	Mungbam	Atlantic-Congo	Africa	6.5805	10.2267	32	24	8	0	0	0	0	3.0000	a b dz̪ dʑ d̪ e f g gb h i j k kp l̪ m n̪ o p s̪ ts̪ tɕ t̪ u w ŋ ɔ ɕ ə ɛ ɥ ɲ	b dz̪ dʑ d̪ f g gb h j k kp l̪ m n̪ p s̪ ts̪ tɕ t̪ w ŋ ɕ ɥ ɲ	a e i o u ɔ ə ɛ	
abau1245-1160	abau1245	phoible	Abau	Sepik	Papunesia	-3.9722	141.3240	14	9	5	0	0	0	0	1.8000	e h i j k m n o p s u w ɑ ɾ	h j k m n p s w ɾ	e i o u ɑ	
abid1235-649	abid1235	aa	Abidji	Atlantic-Congo	Africa	5.6566	-4.5842	39	21	18	0	0	0	0	1.1667	a ã b c d e ẽ f g gb h i ĩ j k kp l m n o õ p r s t u ũ w ɔ ɔ̃ ɛ ɛ̃ ɟ ɪ ɪ̃ ɲ ʊ ʊ̃ ʔ	b c d f g gb h j k kp l m n p r s t w ɟ ɲ ʔ	a ã e ẽ i ĩ o õ u ũ ɔ ɔ̃ ɛ ɛ̃ ɪ ɪ̃ ʊ ʊ̃	
abid1235-1526	abid1235	phoible	Abidji	Atlantic-Congo	Africa	5.6566	-4.5842	36	21	15	0	0	0	0	1.4000	a ã b cç d e f g gb h i ĩ j k kp l m n o õ p r s t u ũ w ɔ ɔ̃ ɟʝ ɪ ɪ̃ ɲ ʊ ʊ̃ ʔ	b cç d f g gb h j k kp l m n p r s t w ɟʝ ɲ ʔ	a ã e i ĩ o õ u ũ ɔ ɔ̃ ɪ ɪ̃ ʊ ʊ̃	
abipon_abip1241	abip1241	lapsyd	Abipon	Guaicuruan	South America	-29.0000	-61.0000	25	15	10	0	0	5	0	1.5000	a aː e eː h i iː j k l m n o oː p q t tʃ w ɣ ɨ ɨː ɲ ɾ ʁ	h j k l m n p q t tʃ w ɣ ɲ ɾ ʁ	a aː e eː i iː o oː ɨ ɨː	
abip1241-1914	abip1241	saphon	Abipon	Guaicuruan	South America	-29.0000	-61.0000	23	13	10	0	0	5	0	1.3000	a aː c e eː h i iː k l m n o oː p q t ə əː ɣ ɲ ɾ ʁ	c h k l m n p q t ɣ ɲ ɾ ʁ	a aː e eː i iː o oː ə əː	
abip1241-235	abip1241	upsid	Abipon	Guaicuruan	South America	-29.0000	-61.0000	20	15	5	0	0	0	0	3.0000	a e̞ h i j k l m n o̞ p q r t tʃ w ɣ ɨ ɲ ʁ	h j k l m n p q r t tʃ w ɣ ɲ ʁ	a e̞ i o̞ ɨ	
abis1238-1923	abis1238	saphon	Aewa		South America	-1.2841	-75.0844	27	17	10	0	0	0	0	1.7000	a ã e h i ĩ j k kʲ kʷ l m n o õ p s t ts tʃ u ũ w ɨ ɾ ʃ ʔ	h j k kʲ kʷ l m n p s t ts tʃ w ɾ ʃ ʔ	a ã e i ĩ o õ u ũ ɨ	
abkh1244-2468	abkh1244	ea	Abkhaz	Abkhaz-Adyge	Eurasia	43.0562	41.1591	62	59	3	0	0	1	0	19.6667	ä äː b d dz dʑʷ dʒ dʷ f fʼ g gʲ gʷ j kʰ kʲʰ kʷʰ kʼ kʼʲ kʼʷ l m n pʰ pʼ qʼ qʼʲ qʼʷ r s tsʰ tsʼ tʃʰ tʃʲʷʰ tʃʼ tʃʼʲʷ tʰ tʷʰ tʼ tʼʷ v w z ħ ħʷ ɖʐ ɥˤ ɨ ʁ ʁʲ ʁʷ ʂ ʃ ʃʷ ʈʂʰ ʈʂʼ ʐ ʒ ʒʷ χ χʲ χʷ	b d dz dʑʷ dʒ dʷ f fʼ g gʲ gʷ j kʰ kʲʰ kʷʰ kʼ kʼʲ kʼʷ l m n pʰ pʼ qʼ qʼʲ qʼʷ r s tsʰ tsʼ tʃʰ tʃʲʷʰ tʃʼ tʃʼʲʷ tʰ tʷʰ tʼ tʼʷ v w z ħ ħʷ ɖʐ ɥˤ ʁ ʁʲ ʁʷ ʂ ʃ ʃʷ ʈʂʰ ʈʂʼ ʐ ʒ ʒʷ χ χʲ χʷ	ä äː ɨ	
